date,Goldfinch,Centrifuge,Credix
2020-10-17,,20165.14407,
2020-10-18,,20179.06802,
2020-10-19,,20163.35196,
2020-10-20,,20135.5929,
2020-10-21,,27818.67583,
2020-10-22,,27720.09234,
2020-10-23,,133244.36926,
2020-10-24,,133673.76179,
2020-10-25,,203242.86836,
2020-10-26,,203476.12841,
2020-10-27,,139677.1391,
2020-10-28,,139463.3191,
2020-10-29,,185051.43302,
2020-10-30,,120665.22512,
2020-10-31,,218666.39007,
2020-11-01,,218621.75165,
2020-11-02,,217827.29401,
2020-11-03,,233311.75449,
2020-11-04,,233356.41463,
2020-11-05,,176375.59094,
2020-11-06,,196701.18897,
2020-11-07,,196581.43576,
2020-11-08,,196646.76901,
2020-11-09,,197469.56702,
2020-11-10,,191997.15201,
2020-11-11,,201524.34229,
2020-11-12,,202223.66972,
2020-11-13,,232509.18234,
2020-11-14,,213550.59867,
2020-11-15,,211722.89926,
2020-11-16,,211456.84472,
2020-11-17,,230137.62283,
2020-11-18,,229731.125,
2020-11-19,,202147.45956,
2020-11-20,,372403.6548,
2020-11-21,,371338.31966,
2020-11-22,,371195.97571,
2020-11-23,,372005.657,
2020-11-24,,371946.05605,
2020-11-25,,431503.19073,
2020-11-26,,493918.86023,
2020-11-27,,516000.92603,
2020-11-28,,445050.63745,
2020-11-29,,509385.73579,
2020-11-30,,386149.66407,
2020-12-01,,385440.93379,
2020-12-02,,425374.34123,
2020-12-03,,425082.33825,
2020-12-04,,474689.54698,
2020-12-05,,475605.40919,
2020-12-06,,516128.46897,
2020-12-07,,515710.60163,
2020-12-08,,425696.98691,
2020-12-09,,431039.0515,
2020-12-10,,428752.19343,
2020-12-11,,429502.50186,
2020-12-12,,427862.6274,
2020-12-13,,427374.28249,
2020-12-14,,427351.48362,
2020-12-15,,427309.57575,
2020-12-16,,427839.99907,
2020-12-17,,541709.02539,
2020-12-18,,512132.78396,
2020-12-19,,513983.45356,
2020-12-20,,513406.94673,
2020-12-21,,589981.76247,
2020-12-22,,423158.97439,
2020-12-23,,531843.21213,
2020-12-24,,553266.80479,
2020-12-25,,553145.1499,
2020-12-26,,582614.43055,
2020-12-27,,592339.8439,
2020-12-28,,687224.17075,
2020-12-29,,619771.2769,
2020-12-30,,546295.42044,
2020-12-31,,418413.88554,
2021-01-01,,495698.87858,
2021-01-02,,472476.36182,
2021-01-03,,314439.03919,
2021-01-04,,312870.75482,
2021-01-05,,313550.55658,
2021-01-06,,297566.68982,
2021-01-07,,342812.20233,
2021-01-08,,469669.60549,
2021-01-09,,239863.08479,
2021-01-10,,240305.63043,
2021-01-11,,273784.53292,
2021-01-12,,282478.65231,
2021-01-13,,376821.8669,
2021-01-14,,378629.9751,
2021-01-15,,508442.40035,
2021-01-16,,508079.85331,
2021-01-17,,337760.99017,
2021-01-18,,337487.96843,
2021-01-19,,364834.64408,
2021-01-20,,376659.09604,
2021-01-21,,290380.75937,
2021-01-22,,152475.8864,
2021-01-23,,164686.51678,
2021-01-24,,174303.81082,
2021-01-25,,236969.00938,
