name,id,symbol
#MetaHash,metahash,mhc
$FOLK,folk,folk
$PAPER,paper-dab1cd41-029d-4207-b87f-fd98d6fe737c,$paper
$STIMMY,stimmy,stimmy
.Alpha,alphatoken,.alpha
0.exchange,zero-exchange,zero
00 Token,zer0zer0,00
01coin,01coin,zoc
0x,0x,zrx
0xBitcoin,oxbitcoin,0xbtc
0xDAO,0xdao,oxd
0xDAO V2,0xdao-v2,oxd v2
0xMonero,0xmonero,0xmr
0xPAD,0xpad,0xpad
0xTrade,0xtrade,0xt
0xWallet Token,0xwallet-token,0xw
0x_nodes,bios,bios
0xcert,0xcert,zxc
1 Dollar,1-dollar,oneusd
1-UP,1-up,1-up
11Minutes,eleventoken,elvn
12Ships,12ships,tshp
1337,e1337,1337
1BCH,1bch,1bch
1BOX,1box,1box
1Doge,1doge,1doge
1ETH,1eth,1eth
1Hive Water,1hive-water,water
1Million,1million-token,1mt
1MillionNFTs,1million-nfts,1mil
1Move Token,1move token,1mt
1Reward Token,1reward-token,1rt
1SAFU,1safu,safu
1Sol,1sol,1sol
1TRONIC,1tronic,1trc
1World,1world,1wo
1eco,1eco,1eco
1inch,1inch,1inch
1peco,1peco,1peco
1sol.io (Wormhole),1sol-io-wormhole,1sol
2044 Nuclear Apocalypse,2044-nuclear-apocalypse,2044
20WETH-80BAL,20weth-80bal,20weth-80bal
28VCK,28vck,vck
2ACoin,2acoin,arms
2G Carbon Coin,2g-carbon-coin,2gcc
2SHARE,2share,2shares
2crazyNFT,2crazynft,2crz
2gather,2gather,two
2key.network,2key,2key
2local,2local-2,2lc
2omb,2omb-finance,2omb
300FIT,300fit,fit
37Protocol,37protocol,37c
3OMB,30mb-token,3omb
3QT,3qt,3qt
3Share,3shares,3share
3air,3air,3air
3gg,3gg,3gg
3xcalibur Ecosystem Token,3xcalibur,xcal
4 Meta World,4mw,4mw
42-coin,42-coin,42
4ART Coin,4artechnologies,4art
4D Twin Maps,4d-twin-maps,map
4INT,4int,4int
4JNET,4jnet,4jnet
4New,4new,kwatt
4PLAY,4play,4play
4thpillar technologies,the-4th-pillar,four
50Cent,50cent,50c
5G-CASH,5g-cash,vgc
