date,n-transactions-total
2009-01-02,1.0
2009-01-11,170.0
2009-01-15,658.0
2009-01-19,1102.0
2009-01-23,1498.0
2009-01-27,2087.0
2009-01-31,2577.0
2009-02-04,3094.0
2009-02-08,3608.0
2009-02-12,4117.0
2009-02-16,4631.0
2009-02-20,5113.0
2009-02-24,5566.0
2009-02-28,5994.0
2009-03-04,6420.0
2009-03-08,6877.0
2009-03-12,7325.0
2009-03-16,7794.0
2009-03-20,8265.0
2009-03-24,8671.0
2009-03-28,9134.0
2009-04-01,9595.0
2009-04-05,10071.0
2009-04-09,10484.0
2009-04-13,10949.0
2009-04-17,11421.0
2009-04-21,11916.0
2009-04-25,12345.0
2009-04-29,12809.0
2009-05-03,13298.0
2009-05-07,13820.0
2009-05-11,14211.0
2009-05-15,14736.0
2009-05-19,15186.0
2009-05-23,15481.0
2009-05-27,15934.0
2009-05-31,16342.0
2009-06-04,16661.0
2009-06-08,16817.0
2009-06-12,17165.0
2009-06-16,17470.0
2009-06-20,17794.0
2009-06-24,18125.0
2009-06-28,18415.0
2009-07-02,18744.0
2009-07-06,19078.0
2009-07-10,19388.0
2009-07-14,19695.0
2009-07-18,19863.0
2009-07-22,20146.0
2009-07-26,20347.0
2009-07-30,20498.0
2009-08-03,20578.0
2009-08-07,20917.0
2009-08-11,21243.0
2009-08-15,21480.0
2009-08-19,21544.0
2009-08-23,21602.0
2009-08-27,21747.0
2009-08-31,22085.0
2009-09-04,22355.0
2009-09-08,22647.0
2009-09-12,22904.0
2009-09-16,23170.0
2009-09-20,23485.0
2009-09-24,23714.0
2009-09-28,24080.0
2009-10-02,24410.0
2009-10-06,24622.0
2009-10-10,24907.0
2009-10-14,25166.0
2009-10-18,25430.0
2009-10-22,25810.0
2009-10-26,26109.0
2009-10-30,26348.0
2009-11-03,26514.0
2009-11-07,26766.0
2009-11-11,27054.0
2009-11-15,27378.0
2009-11-19,27718.0
2009-11-23,28079.0
2009-11-27,28420.0
2009-12-01,28700.0
2009-12-05,28983.0
2009-12-09,29416.0
2009-12-13,29858.0
2009-12-17,30386.0
2009-12-21,31161.0
2009-12-25,31781.0
2009-12-29,32431.0
2010-01-02,32970.0
2010-01-06,33700.0
2010-01-10,34348.0
2010-01-14,34979.0
2010-01-18,35504.0
2010-01-22,36106.0
2010-01-26,36839.0
2010-01-30,37599.0
2010-02-03,38377.0
2010-02-07,39266.0
2010-02-11,40031.0
2010-02-15,40858.0
2010-02-19,41719.0
2010-02-23,42672.0
2010-02-27,43358.0
2010-03-03,44067.0
2010-03-07,44794.0
2010-03-11,45377.0
2010-03-15,45921.0
2010-03-19,46500.0
2010-03-23,47300.0
2010-03-27,48081.0
2010-03-31,48917.0
2010-04-04,49604.0
2010-04-08,50361.0
2010-04-12,51392.0
2010-04-16,52348.0
2010-04-20,56469.0
2010-04-24,57321.0
2010-04-28,58196.0
2010-05-02,58937.0
2010-05-06,59641.0
2010-05-10,60320.0
2010-05-14,60929.0
2010-05-18,61576.0
2010-05-22,62481.0
2010-05-26,63581.0
2010-05-30,64565.0
2010-06-03,65370.0
2010-06-07,66142.0
2010-06-11,67050.0
2010-06-15,68029.0
2010-06-19,68831.0
2010-06-23,69785.0
2010-06-27,70670.0
2010-07-01,71722.0
2010-07-05,72722.0
2010-07-09,73640.0
2010-07-13,78013.0
2010-07-17,87077.0
2010-07-21,89069.0
2010-07-25,92593.0
2010-07-29,97304.0
2010-08-02,98688.0
2010-08-06,100653.0
2010-08-10,102078.0
2010-08-14,103830.0
2010-08-18,105292.0
2010-08-22,106748.0
2010-08-26,108229.0
2010-08-30,109452.0
2010-09-03,110912.0
2010-09-07,112057.0
2010-09-11,113387.0
2010-09-15,115054.0
2010-09-19,116607.0
2010-09-23,119213.0
2010-09-27,121246.0
2010-10-01,123661.0
2010-10-05,125319.0
2010-10-09,126831.0
2010-10-13,128249.0
2010-10-17,129843.0
2010-10-21,132614.0
2010-10-25,134691.0
2010-10-29,136731.0
2010-11-02,138100.0
2010-11-06,139625.0
2010-11-10,141400.0
2010-11-14,142837.0
2010-11-18,158960.0
2010-11-22,188510.0
2010-11-26,199066.0
2010-11-30,200881.0
2010-12-04,202649.0
2010-12-08,204643.0
2010-12-12,206698.0
2010-12-16,209166.0
2010-12-20,211611.0
2010-12-24,213954.0
2010-12-28,216356.0
2011-01-01,218674.0
2011-01-05,222672.0
2011-01-09,227034.0
2011-01-13,232147.0
2011-01-17,236125.0
2011-01-21,239950.0
2011-01-25,244687.0
2011-01-29,248951.0
2011-02-02,254850.0
2011-02-06,258311.0
