Date,DepositUSD,WithdrawUSD,DepositTxs,WithdrawTxs
2022-10-16,179991,321396,7,96
2022-10-17,1222519,2010695,63,1043
2022-10-18,13689380,2363497,84,2127
2022-10-19,1679738,1600787,83,2670
2022-10-20,10565508,3693500,79,2838
2022-10-21,33192515,2079048,93,3708
2022-10-22,483306,2522140,129,5153
2022-10-23,1496543,7123355,98,5412
2022-10-24,1382235,7962303,79,5709
2022-10-25,38180522,8534894,112,4840
2022-10-26,2853207,10620597,91,4455
2022-10-27,4849607,8531314,116,3769
2022-10-28,1418547,7967183,161,3921
2022-10-29,5976728,7999804,235,5040
2022-10-30,1715400,4054345,146,3092
2022-10-31,1607208,7025794,144,3268
2022-11-01,616765,4338856,87,2254
2022-11-02,471070,4788341,111,2418
2022-11-03,2137881,8189162,128,2921
2022-11-04,1370687,6346411,177,3533
2022-11-05,1602538,8831951,190,4218
2022-11-06,1469424,6212502,133,2756
2022-11-07,3702562,9943174,71,1915
2022-11-08,819640,13373733,52,1199
2022-11-09,530872,7099297,65,988
2022-11-10,10790214,1825582,63,844
2022-11-11,1964692,1462246,47,1368
2022-11-12,1807542,12022163,207,2922
2022-11-13,43158138,10431235,151,2920
2022-11-14,2717056,13147004,163,3181
2022-11-15,1552116,17452463,139,3733
2022-11-16,3123248,11351848,190,2983
2022-11-17,2707784,8575678,127,4780
2022-11-18,20578484,8215973,131,4890
2022-11-19,2156861,10885409,157,4776
2022-11-20,1749586,15476249,150,3994
2022-11-21,19935404,16325525,152,4029
2022-11-22,65403699,17945231,142,4157
2022-11-23,6126572,21921897,162,3379
2022-11-24,3839667,26156366,170,4441
2022-11-25,4503026,14093660,177,3842
2022-11-26,1477560,9398194,132,3679
2022-11-27,4436653,5348735,161,3106
2022-11-28,263468,12197036,129,3739
2022-11-29,26594600,11549929,198,3454
2022-11-30,471710,10025754,164,4531
2022-12-01,87172719,11028102,146,4074
2022-12-02,14492993,12239118,154,4058
2022-12-03,964786,8614859,186,4010
2022-12-04,16704242,7335632,250,3756
2022-12-05,21312654,8157649,175,3203
2022-12-06,8567003,11710327,249,3202
2022-12-07,661965,7965617,108,2608
2022-12-08,5277972,10711922,191,1657
2022-12-09,62465152,11284229,329,3161
2022-12-10,8285683,8991376,303,2704
2022-12-11,2122501,13879100,276,3017
2022-12-12,1638762,21224708,231,3041
2022-12-13,1930985,5879965,217,3208
2022-12-14,2243769,14045959,265,3460
2022-12-15,10104247,15493050,258,3260
2022-12-16,736434,12867910,281,2762
2022-12-17,5734381,3154673,129,2451
2022-12-18,1761677,5168077,197,2500
2022-12-19,2467620,3836799,311,2710
2022-12-20,8245316,9076350,187,2728
2022-12-21,3514107,3297339,229,2092
2022-12-22,5143316,4848610,212,1906
2022-12-23,1030531,1026886,177,2044
2022-12-24,187518,1290914,256,2044
2022-12-25,13196802,3831252,209,1903
2022-12-26,50429898,1910822,231,1695
2022-12-27,3329313,5073957,204,1540
2022-12-28,6171722,5427226,117,1544
2022-12-29,680176,1643318,129,1488
2022-12-30,4325384,13411801,90,1408
2022-12-31,1305183,1974071,143,1152
2023-01-01,655046,2347412,123,1495
2023-01-02,1161535,5908302,219,1452
2023-01-03,15812754,4137456,191,1662
2023-01-04,497386,4074612,188,1334
2023-01-05,3467786,2995287,227,1395
2023-01-06,8393868,1655650,283,1377
2023-01-07,642660,1415351,140,1410
2023-01-08,1257443,5468098,122,1469
2023-01-09,2373751,4364417,179,1784
2023-01-10,15884454,4327051,134,1663
2023-01-11,1799876,6395650,99,1689
2023-01-12,4144114,8746904,181,1707
2023-01-13,1322848,7143839,122,1767
2023-01-14,1357262,2603244,153,1739
2023-01-15,4668335,7848995,102,1594
2023-01-16,8267670,7785034,161,1674
2023-01-17,4877352,6108496,97,1551
2023-01-18,542378,11743174,165,1832
2023-01-19,2095437,10773046,100,1721
2023-01-20,1931304,10467347,174,2044
2023-01-21,2984299,6736169,163,1890
2023-01-22,3154821,10608321,109,2146
2023-01-23,1057216,11378869,143,2252
2023-01-24,16320448,6075817,109,1964
2023-01-25,2713415,10651570,92,1952
2023-01-26,2431213,12131556,205,2147
2023-01-27,13043147,10070992,152,2177
2023-01-28,5053529,14739560,172,2512
2023-01-29,5369349,16401043,271,2280
2023-01-30,8111422,13832999,168,2392
2023-01-31,1069946,15640275,166,2622
2023-02-01,5161536,18216794,160,2609
2023-02-02,733876,15460478,102,2402
2023-02-03,3584411,16268164,180,3197
2023-02-04,4902709,14285012,228,3966
2023-02-05,3889982,26735329,152,3158
2023-02-06,3591159,33249895,98,3236
2023-02-07,2517239,48350635,116,3464
2023-02-08,13402977,18607709,141,2506
2023-02-09,662243,33888621,125,3089
2023-02-10,3019745,12022819,229,4309
2023-02-11,363362,12427055,276,3504
2023-02-12,742600,23150694,227,2692
2023-02-13,2614286,24411161,153,3000
2023-02-14,2624502,26216057,110,3304
2023-02-15,1623057,44945458,163,3681
2023-02-16,2718867,32534415,188,4161
2023-02-17,596064,43241307,352,4554
2023-02-18,1720150,35413141,337,5068
2023-02-19,2244969,41044159,191,5795
2023-02-20,3192125,56215127,116,5203
2023-02-21,2224522,29241348,147,4833
2023-02-22,12192275,45085299,144,4991
2023-02-23,2459806,27727248,164,4680
2023-02-24,2103444,471328350,471,4621
2023-02-25,2852951,19104176,295,5600
2023-02-26,13014070,25364075,249,5092
2023-02-27,11009415,26062397,198,4658
2023-02-28,11646877,21286135,165,3511
2023-03-01,6720673,13614614,268,3756
2023-03-02,1561661,9350158,252,3251
2023-03-03,461031501,10364253,197,3499
2023-03-04,1055685,17607600,204,2981
2023-03-05,3715996,10662229,143,2714
2023-03-06,2953001,10071948,161,3078
2023-03-07,4304165,4679461,208,2938
2023-03-08,18742624,9162549,167,3067
2023-03-09,2746528,12218125,195,2879
2023-03-10,2635114,42787123,92,1729
2023-03-11,727153,11925425,327,3093
2023-03-12,4845405,42531818,246,2806
2023-03-13,4955444,25797121,175,2996
2023-03-14,2092750,26426497,176,2733
2023-03-15,22110363,45910838,402,5388
2023-03-16,7702276,33237378,246,4171
2023-03-17,4931441,22065203,262,4321
2023-03-18,54775914,62760756,265,4548
2023-03-19,4260282,33350416,269,5058
2023-03-20,9415735,30720018,377,5575
2023-03-21,2933381,74754938,295,6267
2023-03-22,21225951,271626328,505,18354
2023-03-23,2373709,47937285,376,5468
2023-03-24,1405433,15596120,254,3287
2023-03-25,1687416,16337509,230,3671
2023-03-26,1707986,19653909,197,4233
2023-03-27,6662606,27044751,146,2903
2023-03-28,5191365,13504245,167,3010
2023-03-29,9343539,9491815,335,2804
2023-03-30,12848227,20766200,549,2762
2023-03-31,3184098,13455069,340,2683
2023-04-01,1584976,12682329,321,2415
2023-04-02,11836608,95679412,296,2178
2023-04-03,8992832,27126304,258,1951
2023-04-04,9642652,26885725,186,2232
2023-04-05,10726740,15572712,192,1912
2023-04-06,1538167,17184669,200,1828
2023-04-07,1135352,8840944,157,1670
2023-04-08,2188893,11007094,200,1593
2023-04-09,5231140,18688313,236,1764
2023-04-10,1138675,31378219,160,1613
2023-04-11,31236138,20737406,151,1730
2023-04-12,959219,28085062,106,1439
2023-04-13,4234122,34223829,123,1627
2023-04-14,1133239,14181647,118,1544
2023-04-15,26871838,9774609,115,1168
2023-04-16,23324756,24427052,100,1692
2023-04-17,27973102,13682354,102,1466
2023-04-18,38554262,8135793,70,1579
2023-04-19,17267875,15942866,90,1540
2023-04-20,4212547,36515864,107,1420
2023-04-21,6124643,9528206,89,1651
2023-04-22,22119136,22337526,69,1319
2023-04-23,42739055,6133299,135,1048
2023-04-24,75355214,19774279,110,1049
2023-04-25,32569715,56938127,80,1238
2023-04-26,26901209,32903364,77,1053
2023-04-27,916196,12230115,87,913
2023-04-28,5367934,16628933,68,1114
2023-04-29,21495103,4546374,47,1207
2023-04-30,11747125,7959804,59,1224
2023-05-01,84973533,23233871,272,1170
2023-05-02,22785744,22134174,116,966
2023-05-03,29452820,80887940,60,1265
2023-05-04,20479289,13304149,39,1050
2023-05-05,445742,20608946,29,1008
2023-05-06,5775201,22735129,41,871
2023-05-07,20661397,21394528,51,937
2023-05-08,1197784,19773073,68,1476
2023-05-09,28574204,9174642,51,921
2023-05-10,35874765,34149015,39,787
2023-05-11,48303401,8637190,86,1059
2023-05-12,2044486,7060472,61,914
2023-05-13,34279022,28028499,102,841
2023-05-14,27172784,13577182,49,789
2023-05-15,2596756,25203984,52,837
2023-05-16,31909901,7154682,55,823
2023-05-17,18301209,16255135,71,803
2023-05-18,60349264,9297744,58,759
2023-05-19,21757346,2967024,69,830
2023-05-20,16985381,13011919,62,848
2023-05-21,21524632,15510370,57,844
2023-05-22,6969080,10954485,46,748
2023-05-23,32729958,12721362,71,817
2023-05-24,5389066,13219538,61,1009
2023-05-25,6005674,11833790,57,859
2023-05-26,2501902,8257092,68,713
2023-05-27,2235466,6613674,57,695
2023-05-28,65947929,13092960,56,695
2023-05-29,6952717,25743297,45,617
2023-05-30,8050010,20278455,66,742
