Name,ID,Chains
stargate,12,"Arbitrum, BSC, Avalanche, Polygon, Ethereum, Optimism, Fantom"
zksync,26,"Ethereum, zkSync Era"
polygon,1,"Ethereum, Polygon"
arbitrum,2,"Ethereum, Arbitrum"
avalanche,3,"Ethereum, Avalanche"
avalanche-btc,15,Avalanche
optimism,4,"Ethereum, Optimism"
across,19,"Ethereum, Arbitrum, Optimism, Polygon"
synapse,11,"Arbitrum, Optimism, BSC, Avalanche, Ethereum, Polygon, Klaytn, Aurora, Fantom, Moonbeam, Moonriver, Harmony"
celer,10,"BSC, Ethereum, Arbitrum, Optimism, Polygon, Avalanche, Fantom"
hop,13,"Ethereum, Optimism, Arbitrum, Polygon"
meson,28,"BSC, Polygon, Arbitrum, Avalanche, Optimism, Ethereum, Fantom, Aurora"
polygon_zkevm,23,"Ethereum, Polygon zkEVM"
symbiosis,27,"Arbitrum, Polygon, BSC, Ethereum, Optimism, Avalanche, Telos, Kava, Boba, Boba BNB, zkSync Era, Arbitrum Nova, Polygon zkEVM"
portal,9,"Ethereum, BSC, Polygon, Avalanche, Fantom"
xdai,16,"Ethereum, Gnosis"
allbridge,22,"Ethereum, Polygon, Avalanche, BSC, Fantom"
multichain,5,"BSC, Ethereum, Avalanche, Polygon, Fantom, Arbitrum, Optimism"
rainbowbridge,18,"Ethereum, Aurora"
