date,volume
2020-01-01,129418677.13235493
2020-01-02,109189793.5519585
2020-01-03,124842111.78850216
2020-01-04,106403953.88837829
2020-01-05,123956719.95610817
2020-01-06,199331679.9177375
2020-01-07,180605896.88262457
2020-01-08,150123633.09341955
2020-01-09,133569574.35900179
2020-01-10,159842638.48612243
2020-01-11,141751601.93855274
2020-01-12,145225768.31679854
2020-01-13,158328787.5934005
2020-01-14,239635084.33554685
2020-01-15,298567302.03324217
2020-01-16,245304908.17195648
2020-01-17,408329747.5787082
2020-01-18,486613377.9251481
2020-01-19,403982577.1534986
2020-01-20,418946319.3449115
2020-01-21,315293526.66839516
2020-01-22,255681929.27772906
2020-01-23,296443559.9263718
2020-01-24,296643777.79291594
2020-01-25,248010771.34995174
2020-01-26,256751057.281082
2020-01-27,269260821.171033
2020-01-28,330040500.7462268
2020-01-29,308945835.6044048
2020-01-30,292814575.50231653
2020-01-31,278978236.8353678
2020-02-01,267136901.76797992
2020-02-02,359701241.03916925
2020-02-03,295818690.62992054
2020-02-04,319627298.142275
2020-02-05,368865342.8258263
2020-02-06,365005943.9542937
2020-02-07,371703529.1228526
2020-02-08,330654918.71930194
2020-02-09,322198402.43832827
2020-02-10,343535399.11231446
2020-02-11,381630904.540192
2020-02-12,515890987.7147464
2020-02-13,626611555.1783521
2020-02-14,479736405.1282516
2020-02-15,439770264.07901603
2020-02-16,452653903.70703244
2020-02-17,431120431.6246608
2020-02-18,384238079.2532142
2020-02-19,330934632.6136806
2020-02-20,371084949.81493014
2020-02-21,318700939.32573926
2020-02-22,280887238.2054213
2020-02-23,287592976.267914
2020-02-24,309892830.75260085
2020-02-25,307962036.47404444
2020-02-26,387756898.4559516
2020-02-27,350271862.0572688
2020-02-28,317160035.25697124
2020-02-29,238936469.15140676
2020-03-01,280149557.71692234
2020-03-02,333602234.0554265
2020-03-03,306179589.75859463
2020-03-04,276148729.6214875
2020-03-05,304416292.9726867
2020-03-06,321799062.716616
2020-03-07,309459478.56560767
2020-03-08,364703923.3159711
2020-03-09,465137661.93447363
2020-03-10,345905122.1997723
2020-03-11,307422321.72787356
2020-03-12,380748304.2715083
2020-03-13,625635756.168649
2020-03-14,301471044.8401954
2020-03-15,284640955.0263761
2020-03-16,369282090.8371038
2020-03-17,301301007.7818773
2020-03-18,310282901.33652467
2020-03-19,402932023.2719591
2020-03-20,348235782.1777349
2020-03-21,311205550.3521079
2020-03-22,291236509.3166588
2020-03-23,315920459.2950129
2020-03-24,287290375.46273005
2020-03-25,257257930.34781277
2020-03-26,259769578.98498186
2020-03-27,235853790.38980934
2020-03-28,290411550.4396144
2020-03-29,219293043.8890793
2020-03-30,258724057.33760446
2020-03-31,284015671.2895336
2020-04-01,276007427.87949127
2020-04-02,352096106.4788257
2020-04-03,330287362.64146256
2020-04-04,289282570.80220944
2020-04-05,291235750.50848365
2020-04-06,501379427.7782738
2020-04-07,457732214.0419384
2020-04-08,343904413.4409026
2020-04-09,355194794.99558717
2020-04-10,395516319.98372996
2020-04-11,345752204.65820616
2020-04-12,390826579.5466593
2020-04-13,470867394.9088264
2020-04-14,377372365.9374562
2020-04-15,420088284.0568789
2020-04-16,546305319.790594
