date,avax_AAVE V2,avax_AAVE V3,ethereum_AAVE V2,ethereum_AAVE V3,fantom_AAVE V2,fantom_AAVE V3,harmony_AAVE V2,harmony_AAVE V3,optimism_AAVE V2,optimism_AAVE V3,polygon_AAVE V2,polygon_AAVE V3,total_fees
2021-04-01,0,0,244306.17140280406,0,0,0,0,0,0,0,15.049947932418332,0,244321.22135073648
2021-04-02,0,0,244869.9941927489,0,0,0,0,0,0,0,147.6622956253757,0,245017.65648837428
2021-04-03,0,0,326863.6284722504,0,0,0,0,0,0,0,287.70703282601824,0,327151.33550507645
2021-04-04,0,0,325085.5223008427,0,0,0,0,0,0,0,453.7579924647349,0,325539.28029330744
2021-04-05,0,0,275000.42755387985,0,0,0,0,0,0,0,330.1875682194934,0,275330.61512209935
2021-04-06,0,0,228635.38755930506,0,0,0,0,0,0,0,518.1966566640759,0,229153.58421596914
2021-04-07,0,0,223408.1920060055,0,0,0,0,0,0,0,368.47731273304356,0,223776.66931873854
2021-04-08,0,0,195467.18860388506,0,0,0,0,0,0,0,589.4957345558942,0,196056.68433844094
2021-04-09,0,0,189300.0250719293,0,0,0,0,0,0,0,303.9702813888738,0,189603.99535331817
2021-04-10,0,0,253223.97020565238,0,0,0,0,0,0,0,569.8369196417286,0,253793.80712529412
2021-04-11,0,0,271508.14350718044,0,0,0,0,0,0,0,311.10794274623333,0,271819.2514499267
2021-04-12,0,0,248188.75286590535,0,0,0,0,0,0,0,241.60033476017466,0,248430.35320066553
2021-04-13,0,0,243881.50100346917,0,0,0,0,0,0,0,662.0901354257521,0,244543.59113889493
2021-04-14,0,0,299272.9855442965,0,0,0,0,0,0,0,10296.439563931946,0,309569.42510822846
2021-04-15,0,0,367774.6177983735,0,0,0,0,0,0,0,47605.24603881026,0,415379.8638371838
2021-04-16,0,0,334619.8274950753,0,0,0,0,0,0,0,82673.36286769372,0,417293.190362769
2021-04-17,0,0,265211.50264379487,0,0,0,0,0,0,0,76490.92492111992,0,341702.4275649148
2021-04-18,0,0,266182.88685470424,0,0,0,0,0,0,0,67098.77773546717,0,333281.6645901714
2021-04-19,0,0,227416.56394154383,0,0,0,0,0,0,0,83475.72865865758,0,310892.29260020144
2021-04-20,0,0,195309.29274098715,0,0,0,0,0,0,0,87144.65502810238,0,282453.94776908954
