protocol_name,total24h,change_1d,change_7d,change_1m
Arbitrum Exchange V2,0.0,,,
Arbitrum Exchange V3,0.0,,,
ApeSwap AMM,1.0754996473702185,546.32,-29.83,-72.25
Auragi Finance,0.7692647077377369,-40.26,-82.39,-84.69
Balancer V2,3889.0666407475683,68.08,140.26,113.48
Camelot V2,4318.321589583966,-24.29,-42.74,-82.9
Camelot V3,1066.844721812991,-10.15,19.93,-2.67
Chronos,684.52498003037,56.97,-3.82,-67.74
Curve DEX,1359.1997650034548,7.57,101.8,-31.08
DODO,1.8844345499154416,-41.83,-47.39,-84.43
E3,2.886525272206057,84.25,,
El Dorado Exchange,1407.273714460892,2.8,-37.83,-95.06
Elk,0.0,,,
Frax Swap,0.0,,,
GMX,18120.484953944637,-43.82,-13.79,-82.13
KyberSwap Classic,0.0,,,
KyberSwap Elastic,372.8354099434398,-13.58,-61.95,-54.23
Level Finance,2471.8207498609218,-92.58,-77.5,-91.22
Ramses V1,520.8846192008393,32.47,38.57,-69.56
Ramses V2,2117.552783097141,103.94,26.89,3.63
SolidLizard,94.4803127986529,88.04,-10.23,-68.17
SushiSwap,805.3846195373128,82.01,1.73,253.02
SushiSwap V3,0.0,,,
Trader Joe DEX,36.37581027702394,58.23,-4.03,157.33
Joe V2,1037.902962557108,77.36,-3.37,-45.25
WOOFi Swap,593.508419,2.4,-29.18,-58.68
Y2K V1,3.3426277147214405,0.0,,
Y2K V2,0.0,,,
Zyberswap AMM,0.7523218161592653,22.06,-76.69,-72.44
Zyberswap V3,87.37486781453367,41.44,-33.6,-81.25
ZyberSwap Stableswap,0.007297862456336882,,23780.51,27.6
Abracadabra,21.400270083453506,-65.17,88.18,-8.38
Angle,1.4373487665391924,1.73,-5.33,-82.79
Arbitrum,32889.922207513286,-5.1,-8.09,-15.74
Azuro,-306.39247919351124,-77.7,934.7,1475.51
BetSwirl,24.572272470132575,-1.149752489767641e+17,4.7883681542618136e+16,9.629470206619518e+16
Buffer Finance,390.26535,3.31,-74.62,-86.27
Chainlink,8.475691199191285,-21.08,-31.12,-20.68
Chainlink,3387.2208304586393,237.06,72.12,-22.05
Cryptex V2,30.411053281808123,169.98,93.24,-14.23
Gains Network,23133.411825741132,372.19,28.34,-52.79
Gamma,96.59288546665208,197.5,-10.23,-64.33
GND Protocol,0.0,,,
Liquid Bolt,0.546379379928112,0.0,,
Maestro,0.0,,,
MUX Protocol,15642.355300738795,405.24,173.81,-49.31
NFTEarth,0.0,,,
Paraswap,441.6887,549.79,211.04,0.72
Pendle,116.21126412860903,-27.04,-45.85,
Predy V3.2,0.0,,,
Radiant V2,33602.61646758393,2.71,13.82,11.82
Rainbow,7.248850578823594,50.25,-93.76,-91.64
Stargate,507.79841743965414,25.51,27.72,
Stealcam,0.0,,,
Synapse,2520.9379799999997,-2.08,-2.31,-29.66
Unlimited Network,46.999403920000006,-50.14,-69.71,-92.13
Vesta Finance,544.9443544194341,-32.5,-6.88,-72.54
Zonic,0.80719695,,3025.64,1607.0
Uniswap V3,0.0,,,
