Name,Chain,Category
0.exchange,Avalanche,Dexes
0.exchange,Binance,Dexes
0.exchange,Polygon,Dexes
01,Solana,Dexes
0vix,Polygon,Lending
0vix,Polygon zkEVM,Lending
0x,Ethereum,Dexes
0x NODES,Avalanche,Yield Aggregator
0x NODES,Binance,Yield Aggregator
0x NODES,Ethereum,Yield Aggregator
0x NODES,Fantom,Yield Aggregator
0x NODES,Metis,Yield Aggregator
0x NODES,Polygon,Yield Aggregator
0x0.ai,Ethereum,Privacy
0xAcid,Arbitrum,Liquid Staking
0xDAO,Fantom,Yield
0xLend,Kucoin,Lending
10KSwap,Starknet,Dexes
1BCH,smartBCH,Dexes
1Beam,Moonbeam,Dexes
1Pulse,Pulse,Dexes
1Swap,Moonriver,Dexes
1inch Network,Binance,Dexes
1inch Network,Ethereum,Dexes
2Doge Finance,Fantom,Algo-Stables
2Pi Network,Avalanche,Yield
2Pi Network,Binance,Yield
2Pi Network,Optimism,Yield
2Pi Network,Polygon,Yield
2omb Finance,Fantom,Algo-Stables
3xcalibur,Arbitrum,Dexes
4Swap,Mixin,Dexes
88mph,Avalanche,Lending
88mph,Ethereum,Lending
88mph,Fantom,Lending
88mph,Polygon,Lending
8ightDAO,Harmony,Reserve Currency
AAVE V1,Ethereum,Lending
AAVE V2,Avalanche,Lending
AAVE V2,Ethereum,Lending
AAVE V2,Polygon,Lending
AAVE V3,Arbitrum,Lending
AAVE V3,Avalanche,Lending
AAVE V3,Ethereum,Lending
AAVE V3,Fantom,Lending
AAVE V3,Harmony,Lending
AAVE V3,Metis,Lending
AAVE V3,Optimism,Lending
AAVE V3,Polygon,Lending
ABC Pool,Conflux,Staking Pool
ABEL Finance,Aptos,Lending
ABcDeFX,Echelon,Dexes
ABcDeFX,Fantom,Dexes
ABcDeFX,Kava,Dexes
ABcDeFX,Kucoin,Dexes
ABcDeFX,MultiVAC,Dexes
ACoconut,Binance,Yield
ACoconut,Ethereum,Yield
ACryptoS,Arbitrum,Yield Aggregator
ACryptoS,Astar,Yield Aggregator
ACryptoS,Avalanche,Yield Aggregator
ACryptoS,Binance,Yield Aggregator
ACryptoS,Canto,Yield Aggregator
ACryptoS,Cronos,Yield Aggregator
ACryptoS,Ethereum,Yield Aggregator
ACryptoS,Fantom,Yield Aggregator
ACryptoS,Harmony,Yield Aggregator
ACryptoS,Kava,Yield Aggregator
ACryptoS,Moonbeam,Yield Aggregator
ACryptoS,Moonriver,Yield Aggregator
ACryptoS,Optimism,Yield Aggregator
ACryptoS,Polygon,Yield Aggregator
ACryptoS,xDai,Yield Aggregator
ADAO,Astar,Yield
ADAX Pro,Cardano,Dexes
AGS Finance,Astar,Dexes
ALEX,Stacks,Dexes
API3,Ethereum,Oracle
APWine,Ethereum,Yield Aggregator
APWine,Polygon,Yield Aggregator
APY Finance,Ethereum,Yield
ARCx,Ethereum,Insurance
ARPA Staking,Ethereum,Staking Pool
AUX Exchange,Aptos,Dexes
AVNU,Starknet,Dexes
Aada,Cardano,Lending
Aave Arc,Ethereum,Lending
Aavegotchi,Ethereum,Gaming
Aavegotchi,Polygon,Gaming
Aboard Exchange,Arbitrum,Derivatives
Aboard Exchange,Avalanche,Derivatives
Aboard Exchange,zkSync Era,Derivatives
Abracadabra,Arbitrum,CDP
Abracadabra,Avalanche,CDP
Abracadabra,Ethereum,CDP
Abracadabra,Fantom,CDP
Acala,Acala,Chain
Acala Dollar,Acala,CDP
Acala LCDOT,Acala,Liquid Staking
Acala Liquid-Staking,Acala,Liquid Staking
Acala Swap,Acala,Dexes
Across,Ethereum,Cross Chain
Acumen,Solana,Lending
Ad-Astra Bridge,Ethereum,Bridge
AdaSwap,Milkomeda,Dexes
Adamant Finance,Arbitrum,Yield
Adamant Finance,Cronos,Yield
Adamant Finance,Polygon,Yield
Adena Finance,Harmony,Dexes
Aelin,Ethereum,Services
Aelin,Optimism,Services
Aequinox,Binance,Dexes
Aerie Lab,Ethereum,Dexes
Aevo,Ethereum,Options
Affine DeFi,Ethereum,Yield Aggregator
Affine DeFi,Polygon,Yield Aggregator
AfraSwap,Binance,Dexes
Aftermath Finance,Sui,Dexes
AgarthaDAO,Avalanche,Reserve Currency
Agave,xDai,Lending
Agile Finance,Cronos,Lending
Agility LSD,Ethereum,Indexes
Agni.finance,Mantle,Dexes
Agora,Metis,Lending
AirSwap,Ethereum,Dexes
Ajira Pay Finance,Arbitrum,Payments
Ajira Pay Finance,Binance,Payments
Ajira Pay Finance,Kava,Payments
Ajira Pay Finance,Polygon,Payments
Ajna,Ethereum,Lending
Akiba Finance,Kava,Algo-Stables
Aktionariat,Ethereum,RWA
Aktionariat,Optimism,RWA
Aladdin DAO,Ethereum,Yield Aggregator
Alchemist,Ethereum,Yield
Alchemix,Ethereum,Synthetics
Alchemix,Fantom,Synthetics
Alchemix,Optimism,Synthetics
Alcor Exchange,EOS,Dexes
Alcor Exchange,Wax,Dexes
Aldrin,Solana,Dexes
Algebra DEX,Polygon,Dexes
Algem,Astar,Liquid Staking
AlgoBlocks,Binance,Services
AlgoRai Finance,Algorand,Options Vault
Algodex,Algorand,Dexes
Algofi Lend,Algorand,Lending
Algofi Swap,Algorand,Dexes
Algomint,Algorand,Algo-Stables
AlienFi,Arbitrum,Dexes
AliensFarm,Tezos,Dexes
Alita Finance,Binance,Dexes
Alium Swap,Binance,Dexes
Alkemi,Ethereum,Lending
Allbridge,Aurora,Bridge
Allbridge,Avalanche,Bridge
Allbridge,Binance,Bridge
Allbridge,Celo,Bridge
Allbridge,Ethereum,Bridge
Allbridge,Fantom,Bridge
Allbridge,Fuse,Bridge
Allbridge,Harmony,Bridge
Allbridge,Heco,Bridge
Allbridge,Near,Bridge
Allbridge,Polygon,Bridge
Allbridge,Solana,Bridge
Allbridge,Terra,Bridge
Alligator,Avalanche,Dexes
Allinx,Binance,Yield
Almond,Solana,Yield
