date,1AAVE,1DAI,1ETH,1INCH,1USDC,1USDT,1WBTC,AAVE,AAVE.E,AGEUR,AMPL,ARB,AVAX,BAL,BAT,BTC,BTC.B,BUSD,CBETH,CRV,CVX,DAI,DAI.E,DPI,ENJ,ENS,ETH,EURS,FEI,FRAX,FTM,FUSDT,G-UNI,GHO,GHST,GUSD,JEUR,KNC,KNCL,LDO,LEND,LINK,LINK.E,LUSD,M.DAI,M.USDC,M.USDT,MAI,MANA,MATICX,METIS,MIMATIC,MKR,OP,RAI,REN,RENFIL,RETH,RPL,SAVAX,SETH,SNX,STETH,STMATIC,SUSD,SUSHI,TUSD,UNI,UNKNOWN (0x1985365e9f78359a9B6AD760e32412f4a445E862),USDC,USDC.E,USDP,USDT,USDT.E,UST,WAVAX,WBTC,WBTC.E,WETH,WETH.E,WFTM,WMATIC,WONE,WSTETH,XSUSHI,YFI,ZRX
2020-05-19,,,,,,,,,,,,,,,1792178.22175,,,45902.47036,,,,1913939.12256,,,,,,,,,,,,,,,,,2853268.86176,,263912681.33932,5743118.64061,,,,,,,2361387.30781,,,,810.66287,,,,,,,,,122478.3059,,,54066.49116,,170182.03868,,0.0,2050328.58009,,,2918703.28861,,,,94.27992,,27995.69606,,,,,,,,635513.63715
2020-05-20,,,,,,,,,,,,,,,1791584.32533,,,45891.21606,,,,1838175.94959,,,,,,,,,,,,,,,,,2856877.51038,,264911161.07269,5743218.86928,,,,,,,3260688.94223,,,,814.48361,,,,,,,,,194169.71582,,,57631.94457,,152442.4912,,0.0,2639634.09834,,,2918104.39134,,,,92.7539,,27876.93571,,,,,,,,596450.36434
2020-05-21,,,,,,,,,,,,,,,1794352.93405,,,64171.14897,,,,1704595.39615,,,,,,,,,,,,,,,,,2923577.89435,,264734537.01343,5779429.93775,,,,,,,2845633.90578,,,,815.3388,,,,,,,,,183561.36004,,,60074.92254,,227704.62186,,0.0,2433883.20287,,,2814683.44232,,,,92.71728,,27962.12236,,,,,,,,620392.83649
2020-05-22,,,,,,,,,,,,,,,1831570.02612,,,64171.14897,,,,1764301.45058,,,,,,,,,,,,,,,,,2998106.49461,,264429201.04101,5952604.4961,,,,,,,3293524.98887,,,,832.46001,,,,,,,,,172767.96606,,,60436.26056,,243572.47888,,0.0,2251167.5231,,,2777368.4567,,,,92.43985,,28103.13584,,,,,,,,632914.66089
2020-05-23,,,,,,,,,,,,,,,1786762.35685,,,64171.14897,,,,1671604.85526,,,,,,,,,,,,,,,,,3002252.15554,,264561344.42712,5859529.50912,,,,,,,3364651.99599,,,,865.08454,,,,,,,,,178006.20648,,,48105.45997,,243659.55306,,0.0,2313784.97106,,,2239984.80028,,,,85.64088,,30374.58018,,,,,,,,637874.99237
2020-05-24,,,,,,,,,,,,,,,1785862.51454,,,56802.54717,,,,1912103.38149,,,,,,,,,,,,,,,,,3009897.88809,,264519528.66908,5881817.32032,,,,,,,3329951.99599,,,,863.68147,,,,,,,,,183992.9016,,,60518.23394,,247507.89614,,0.0,2558796.52922,,,2179070.90059,,,,87.12099,,32407.53329,,,,,,,,658985.99237
2020-05-25,,,,,,,,,,,,,,,1785863.76454,,,56802.54717,,,,1912870.57961,,,,,,,,,,,,,,,,,3060936.09394,,264460637.20919,5908499.7414,,,,,,,3196101.76063,,,,864.36525,,,,,,,,,188540.38598,,,60182.77334,,252288.29923,,0.0,2567160.36312,,,1853787.5413,,,,87.1315,,33392.07837,,,,,,,,646886.7653
2020-05-26,,,,,,,,,,,,,,,1780752.09938,,,52977.57665,,,,2103269.5006,,,,,,,,,,,,,,,,,3055753.51618,,264855629.02526,5882417.33719,,,,,,,3247435.44375,,,,864.71454,,,,,,,,,150012.20194,,,59622.70621,,244678.14509,,0.0,2503369.11713,,,1958545.77119,,,,90.67387,,33459.91686,,,,,,,,659312.18447
2020-05-27,,,,,,,,,,,,,,,1783154.8192,,,50293.22852,,,,2193170.78561,,,,,,,,,,,,,,,,,3058485.00944,,264897046.54555,5986584.64912,,,,,,,3250501.44375,,,,868.33244,,,,,,,,,191430.19741,,,64405.87688,,231935.81471,,0.0,2399965.87437,,,2784070.95596,,,,90.34786,,33559.69466,,,,,,,,652382.76978
2020-05-28,,,,,,,,,,,,,,,1781348.9628,,,40311.80943,,,,2213809.22168,,,,,,,,,,,,,,,,,3107295.77429,,264932345.76041,5995722.20928,,,,,,,3162330.33183,,,,864.81167,,,,,,,,,204111.19193,,,62131.95693,,199790.5084,,0.0,2508679.53199,,,3021413.87608,,,,89.76713,,33440.7717,,,,,,,,631898.49349
2020-05-29,,,,,,,,,,,,,,,1782230.08361,,,40381.80943,,,,2273259.76843,,,,,,,,,,,,,,,,,3132652.92436,,272658229.23532,5964854.06992,,,,,,,3195379.22862,,,,721.94449,,,,,,,,1.47057,215933.31584,,,42083.59817,,211068.85983,,0.0,2802039.14511,,,2665603.1257,,,,89.80134,,33364.2247,,,,,,,,632869.11406
2020-05-30,,,,,,,,,,,,,,,1828325.86489,,,40491.73648,,,,2401976.09675,,,,,,,,,,,,,,,,,3116819.04008,,292159372.64129,6038282.08791,,,,,,,3180075.49947,,,,674.48915,,,,,,,,,106262.53625,,,70221.69702,,209988.92202,,0.0,2886469.53202,,,2495612.3896,,,,86.77231,,33583.77732,,,,,,,,643245.16305
2020-05-31,,,,,,,,,,,,,,,1828418.34335,,,40592.04507,,,,2873538.95086,,,,,,,,,,,,,,,,,3137157.72718,,292120242.87133,6055155.16018,,,,,,,3180275.49947,,,,726.66312,,,,,,,,,117256.80037,,,67487.13923,,205656.62234,,0.0,3268603.2225,,,2427874.5726,,,,89.21772,,33606.62126,,,,,,,,723368.88701
2020-06-01,,,,,,,,,,,,,,,1827966.80487,,,31561.07688,,,,2765726.87287,,,,,,,,,,,,,,,,,2774970.36616,,296631628.69464,6060961.56684,,,,,,,5708802.89765,,,,680.3909,,,,,,,,,125628.48579,,,59039.5009,,181738.60767,,0.0,3196446.94152,,,2511096.07161,,,,88.44389,,33746.7256,,,,,,,,715616.4992
2020-06-02,,,,,,,,,,,,,,,1880949.76988,,,31561.0731,,,,2432818.10989,,,,,,,,,,,,,,,,,2755121.9229,,296431076.68761,6062326.55105,,,,,,,5668888.15648,,,,705.74817,,,,,,,,,177571.92562,,,40052.50342,,185099.44251,,0.0,2982966.08848,,,2700630.27822,,,,89.13725,,34167.28696,,,,,,,,715766.4992
2020-06-03,,,,,,,,,,,,,,,1877600.8707,,,34130.0731,,,,2334552.97498,,,,,,,,,,,,,,,,,2746094.82299,,331749272.58192,6088595.13518,,,,,,,5680562.05041,,,,718.79176,,,,,,,,,211921.07623,,,47452.52409,,184468.4586,,0.0,2824501.65901,,,2694641.10002,,,,101.10104,,33977.8206,,,,,,,,722877.31582
