date,makerdao,liquity,lybra-finance,abracadabra,crvusd,raft,inverse-finance-firm,qidao,reflexer,reserve,gravita-protocol,mimo-protocol,angle,defi-franc,inverse-finance-frontier,mstable-cdp,dsu-money,tai.money,davos-protocol,interest-protocol,dam-finance,bao-ballast,xdollar,ramp,unit-protocol,h2odata,dyad,fluidity-money,mahadao-arth,deus-finance,parasset,homecoin,Total
2023-07-26,"$5,120,181,214.13","$747,105,601.31","$374,212,156.43","$178,527,492.53","$132,581,863.47","$54,777,561.08","$50,128,807.54","$6,736,013.83","$26,511,194.04","$26,003,043.22","$25,811,807.58","$18,768,025.47","$17,894,769.28","$10,736,369.25","$7,927,911.77","$4,019,125.03","$228,965.85","$3,845,172.72","$379,748.37","$385,242.35","$327,178.25","$309,931.72","$26,363.24","$80,643.28","$200,275.65","$127,009.52","$80,079.71","$34,651.27","$34,354.81","$6,428.09",$0.01,$0.00,"$6,807,989,000.78"
2023-07-25,"$5,143,795,551.94","$749,464,652.76","$373,644,784.06","$178,974,748.71","$132,339,317.96","$59,066,975.48","$50,203,948.98","$6,675,589.72","$26,545,343.77","$26,012,713.11","$25,824,660.54","$18,775,159.11","$17,892,494.39","$10,773,639.96","$7,918,978.19","$4,018,487.02","$229,142.08","$3,846,450.90","$380,913.08","$385,598.15","$327,245.99","$310,012.94","$26,422.21","$80,253.25","$200,871.42","$127,416.10","$75,201.85","$34,684.59","$34,455.94","$6,428.09",$0.01,$0.00,"$6,837,992,142.33"
2023-07-24,"$5,139,043,245.30","$747,700,245.56","$372,640,728.17","$183,222,311.40","$125,093,264.45","$59,088,605.35","$50,469,371.25","$6,722,406.68","$26,428,399.52","$25,988,045.10","$25,593,204.91","$18,619,229.85","$18,026,685.20","$10,808,362.27","$8,008,363.52","$4,017,702.64","$228,814.94","$3,834,042.43","$379,822.18","$385,002.41","$327,215.23","$310,327.61","$26,328.59","$82,648.56","$200,050.98","$129,172.18","$55,025.73","$34,634.09","$42,622.80","$6,427.49",$0.01,$0.00,"$6,827,512,306.38"
2023-07-23,"$5,291,701,493.93","$759,082,179.86","$382,526,009.99","$187,535,890.34","$130,647,484.95","$58,220,314.33","$52,086,286.33","$6,940,654.49","$26,846,093.49","$26,036,644.69","$26,015,690.29","$19,045,405.49","$18,049,019.45","$11,052,097.11","$8,246,946.77","$4,019,179.84","$228,849.05","$3,908,309.79","$387,326.33","$391,438.09","$327,008.08","$309,995.27","$26,864.46","$84,581.13","$204,244.75","$135,234.79","$51,310.39","$34,652.99","$43,524.78","$6,423.42",$0.01,$0.00,"$7,014,191,154.67"
2023-07-22,"$5,237,843,839.13","$748,417,962.35","$377,255,597.51","$187,538,067.57","$128,065,568.61","$57,274,809.90","$51,643,000.50","$6,878,068.15","$26,482,737.67","$26,004,422.92","$25,697,662.51","$18,794,841.35","$17,987,803.03","$11,079,138.25","$8,318,538.60","$4,020,459.80","$228,810.70","$4,798,834.47","$381,957.75","$388,067.14","$326,961.28","$309,991.55","$26,535.24","$83,768.90","$201,531.33","$135,182.08","$49,243.59","$34,636.21","$42,935.68","$6,422.50",$0.01,$0.00,"$6,940,317,396.29"
2023-07-21,"$5,321,742,671.89","$761,655,105.66","$385,685,107.40","$192,778,791.17","$135,713,118.50","$58,256,733.66","$52,380,250.03","$7,056,339.70","$26,947,776.24","$26,046,199.36","$25,899,680.85","$19,051,739.35","$18,061,954.18","$11,236,341.48","$8,185,439.59","$4,021,143.24","$228,864.16","$4,868,692.37","$388,045.61","$392,576.99","$326,649.53","$310,017.59","$26,942.22","$85,090.94","$205,084.01","$140,474.65",,"$34,644.95","$43,689.64","$6,425.64",$0.01,$0.00,"$7,061,775,590.61"
2023-07-20,"$5,361,237,154.33","$759,044,330.61","$387,752,048.11","$193,096,106.55","$139,720,719.33","$58,012,797.90","$53,001,470.52","$7,113,485.77","$26,800,223.34","$26,043,614.63","$25,823,403.58","$18,999,803.19","$17,886,798.94","$11,184,705.25","$8,346,086.31","$4,014,182.09","$228,818.67","$3,909,964.48","$387,919.26","$390,359.13","$316,728.77","$309,825.69","$26,864.22","$86,071.05","$204,586.41","$137,579.18",,"$34,637.79","$43,572.97","$6,427.06",$0.01,$0.00,"$7,104,160,285.14"
2023-07-19,"$5,407,450,783.45","$759,232,065.00","$387,702,696.57","$193,092,945.88","$130,418,918.96","$58,037,497.99","$52,685,698.46","$6,776,977.09","$26,817,240.98","$25,797,303.16","$25,421,164.56","$19,049,466.30","$17,876,346.40","$11,248,631.21","$8,531,991.67","$4,019,342.44","$228,868.24","$3,912,992.29","$387,754.68","$389,331.64","$286,461.69","$310,327.61","$26,897.38","$86,244.41","$204,713.16","$141,450.00",,"$34,647.92","$43,600.64","$6,424.75",$0.01,$0.00,"$7,140,218,784.56"
2023-07-18,"$5,504,417,422.50","$766,196,081.99","$391,426,405.76","$193,064,081.37","$113,386,072.94","$58,490,661.82","$53,058,215.61","$6,858,205.71","$28,306,397.77","$25,367,648.59","$24,880,868.14","$19,216,135.82","$17,784,631.83","$11,410,150.05","$8,409,262.36","$4,024,296.51","$228,796.01","$3,973,478.60","$389,016.92","$397,446.93","$286,897.34","$310,327.61","$27,109.76","$86,688.36","$206,590.01","$146,401.60",,"$34,623.65","$44,004.82","$6,434.52",$0.01,$0.00,"$7,232,434,354.91"
2023-07-17,"$5,532,183,936.98","$768,229,275.67","$375,933,467.71","$193,189,359.37","$116,481,294.08","$58,534,045.45","$54,565,263.83","$6,966,592.64","$28,235,857.82","$25,334,207.34","$24,474,038.61","$19,306,655.59","$17,765,104.74","$11,449,640.64","$8,804,790.83","$4,022,537.93","$228,871.57","$3,984,414.26","$391,839.41","$402,108.35","$286,610.73","$304,592.00","$27,176.33","$87,375.38","$207,212.40","$150,156.68",,"$34,645.92","$44,118.26","$6,428.09",$0.01,$0.00,"$7,251,631,618.65"
