date,stusdt,ondo-finance,matrixdock,realt-tokens,tangible,maple-rwa,lofty,solv-protocol-v3,aktionariat,toucan-protocol,openeden-t-bills,tprotocol,meld-gold,solv-protocol,cache.gold,stream-finance,solid-world,invar-finance,frigg.eco,elyfi,naos-finance,citadao,florence-finance,Total
2023-07-26,"$415,960,936.51","$152,194,642.10","$99,188,318.62","$82,353,287.00","$67,640,078.08","$31,036,652.66","$26,357,279.02","$25,922,465.93","$16,495,800.70","$15,479,584.76","$12,737,673.98","$4,528,384.81","$3,170,008.52","$2,891,110.64","$1,738,516.54","$696,209.18","$529,412.81","$208,000.00","$182,495.10","$48,174.33","$13,631.72",$0.00,$0.00,"$959,372,663.01"
2023-07-25,"$415,966,695.81","$152,223,260.50","$99,226,717.43","$82,287,910.00","$67,311,997.07","$31,033,616.49","$26,388,993.26","$25,857,784.76","$16,482,694.33","$15,456,254.94","$12,862,174.11","$4,586,436.34","$3,157,180.92","$2,861,323.74","$1,733,265.21","$696,209.18","$526,150.13","$208,000.00","$182,529.41","$48,206.52","$13,636.99",$0.00,$0.00,"$959,111,037.15"
2023-07-24,"$415,869,756.33","$150,195,537.94","$98,833,960.30","$82,280,174.94","$65,635,260.88","$31,025,496.92","$26,359,229.85","$24,266,245.65","$16,535,414.76","$15,406,609.11","$12,860,863.72","$4,518,568.50","$3,136,716.05","$2,947,296.02","$1,728,891.00","$696,143.74","$526,150.13","$207,980.45","$182,508.60","$48,174.14","$13,631.01",$0.00,$0.00,"$953,274,610.02"
2023-07-23,"$415,892,873.64","$149,981,784.01","$98,864,510.24","$82,228,086.69","$65,098,370.45","$31,000,656.10","$26,359,071.67","$24,644,298.92","$16,525,829.62","$15,583,451.56","$12,852,722.03","$4,518,132.68","$3,156,143.57","$2,961,607.74","$1,734,259.14","$695,703.04","$532,332.05","$207,848.78","$182,507.51","$48,211.51","$13,637.21",$0.00,$0.00,"$953,082,038.17"
2023-07-22,"$416,365,983.21","$150,152,036.32","$98,777,190.80","$82,216,319.52","$64,115,291.16","$30,991,020.69","$26,388,993.26","$24,370,246.65","$16,494,627.81","$15,455,218.63","$12,850,882.75","$4,514,599.41","$3,159,434.18","$3,017,209.14","$1,736,169.36","$695,603.48","$529,927.97","$207,819.04","$182,714.68","$48,197.39","$13,633.38",$0.00,$0.00,"$952,283,118.84"
2023-07-21,"$418,177,361.92","$150,152,036.32","$98,774,020.41","$82,256,558.31","$64,047,320.50","$31,000,986.85","$26,393,388.17","$24,698,238.67","$16,048,463.44","$15,664,185.85","$12,857,172.31","$4,575,346.74","$3,160,956.64","$3,141,793.17","$1,736,611.21","$695,943.93","$528,897.65","$207,920.75","$182,714.68","$48,392.92","$13,679.76",$0.00,$0.00,"$954,361,990.23"
2023-07-20,"$417,713,837.78","$149,683,488.10","$98,828,306.51","$82,209,308.17","$62,621,696.01","$31,002,608.81","$26,367,021.15","$24,624,296.33","$16,072,538.06","$15,594,471.40","$12,860,001.96","$4,577,836.17","$3,162,093.98","$3,170,531.44","$1,740,164.19","$696,097.09","$528,897.65","$209,966.19","$182,532.15","$47,942.36","$13,570.54",$0.00,$0.00,"$951,907,206.03"
2023-07-19,"$314,474,275.78","$149,574,998.78","$95,733,802.33","$82,179,790.28","$62,014,453.70","$30,986,279.09","$26,359,936.56","$24,506,099.76","$16,067,428.57","$15,462,689.02","$12,855,384.48","$4,775,620.19","$3,183,695.46","$3,169,972.79","$1,744,598.75","$695,847.15","$528,395.59","$209,890.80","$182,446.91","$48,213.99","$13,638.35",$0.00,$0.00,"$844,767,458.32"
2023-07-18,"$314,368,357.76","$154,567,719.55","$94,625,818.25","$82,304,768.55","$61,982,010.06","$31,028,120.42","$26,360,375.85","$29,274,027.80","$16,066,981.29","$15,589,462.34","$12,874,934.83","$4,745,448.34","$3,177,591.53","$3,137,689.33","$1,750,306.04","$696,905.39","$525,138.12","$226,226.00","$182,501.85","$48,431.06","$13,689.69",$0.00,$0.00,"$853,546,504.05"
2023-07-17,"$213,866,397.02","$136,001,797.29","$94,583,509.58","$82,024,244.00","$60,542,103.02","$30,731,798.78","$26,364,752.40","$29,306,513.22","$16,173,585.95","$15,606,502.11","$12,862,072.76","$4,754,122.98","$3,142,593.47","$3,196,514.50","$1,728,561.52","$696,209.18","$524,623.78","$226,000.00","$182,532.15","$48,207.66","$13,633.79",$0.00,$0.00,"$732,576,275.16"
