Date,TVL
2022-07-24T20:00:00,13159130.43022
2022-07-25T20:00:00,50329320.48312
2022-07-26T20:00:00,149331372.6685
2022-07-27T20:00:00,68016085.77883
2022-07-28T20:00:00,63718482.75448
2022-07-29T20:00:00,60701220.09533
2022-07-30T20:00:00,53783133.54601
2022-07-31T20:00:00,53352130.00146
2022-08-01T20:00:00,53126588.02832
2022-08-02T20:00:00,55290025.98088
2022-08-03T20:00:00,58553417.89044
2022-08-04T20:00:00,75337666.78456
2022-08-05T20:00:00,80824452.0303
2022-08-06T20:00:00,84327887.15642
2022-08-07T20:00:00,90860748.15049
2022-08-08T20:00:00,100598673.25032
2022-08-09T20:00:00,101408677.27959
2022-08-10T20:00:00,104892994.70531
2022-08-11T20:00:00,121723629.94059
2022-08-12T20:00:00,134137846.17597
2022-08-13T20:00:00,134733609.93623
2022-08-14T20:00:00,135485831.98884
2022-08-15T20:00:00,129519581.44948
2022-08-16T20:00:00,115577622.30363
2022-08-17T20:00:00,115250441.79938
2022-08-18T20:00:00,113466718.84898
2022-08-19T20:00:00,109972022.34327
2022-08-20T20:00:00,107202708.24822
2022-08-21T20:00:00,105034079.78873
2022-08-22T20:00:00,102437547.4331
2022-08-23T20:00:00,92272745.3403
2022-08-24T20:00:00,93190056.32934
2022-08-25T20:00:00,93502796.08024
2022-08-26T20:00:00,90060933.99666
2022-08-27T20:00:00,89580569.41486
2022-08-28T20:00:00,88337556.97641
2022-08-29T20:00:00,88366571.6985
2022-08-30T20:00:00,73333559.35426
2022-08-31T20:00:00,73847812.31366
2022-09-01T20:00:00,79820831.64678
2022-09-02T20:00:00,81527156.57407
2022-09-03T20:00:00,79066781.42813
2022-09-04T20:00:00,76264591.36316
2022-09-05T20:00:00,70485010.27174
2022-09-06T20:00:00,63958966.57248
2022-09-07T20:00:00,63094608.18761
2022-09-08T20:00:00,62722365.48577
2022-09-09T20:00:00,60311333.74781
2022-09-10T20:00:00,56625783.76104
2022-09-11T20:00:00,56338060.51718
2022-09-12T20:00:00,52261809.53728
2022-09-13T20:00:00,51071898.06473
2022-09-14T20:00:00,46242093.18435
2022-09-15T20:00:00,47436945.14599
2022-09-16T20:00:00,53769366.17211
2022-09-17T20:00:00,54824665.15587
2022-09-18T20:00:00,55334583.54002
2022-09-19T20:00:00,57669871.90742
2022-09-20T20:00:00,56299104.21376
2022-09-21T20:00:00,55371852.04799
2022-09-22T20:00:00,55023925.16482
2022-09-23T20:00:00,52915756.56908
2022-09-24T20:00:00,51338954.60798
2022-09-25T20:00:00,50980731.65924
2022-09-26T20:00:00,51109608.26702
2022-09-27T20:00:00,51222905.3548
2022-09-28T20:00:00,51181380.30862
2022-09-29T20:00:00,45388592.78929
2022-09-30T20:00:00,43799979.755
2022-10-01T20:00:00,45299271.82009
2022-10-02T20:00:00,44915124.27517
2022-10-03T20:00:00,43316933.42628
2022-10-04T20:00:00,44310297.69387
2022-10-05T20:00:00,45345188.66368
2022-10-06T20:00:00,42659280.7207
2022-10-07T20:00:00,40544341.83646
2022-10-08T20:00:00,39908594.7116
2022-10-09T20:00:00,33623188.57697
2022-10-10T20:00:00,30425638.22035
2022-10-11T20:00:00,30344783.09159
2022-10-12T20:00:00,30021570.65393
2022-10-13T20:00:00,29059566.09391
2022-10-14T20:00:00,28793017.33842
2022-10-15T20:00:00,28348620.95848
2022-10-16T20:00:00,28465087.8131
2022-10-17T20:00:00,28487951.09355
2022-10-18T20:00:00,28351319.05927
2022-10-19T20:00:00,24040567.49836
2022-10-20T20:00:00,22912958.51184
2022-10-21T20:00:00,22296908.52894
2022-10-22T20:00:00,20273313.26816
2022-10-23T20:00:00,24545997.45296
2022-10-24T20:00:00,27214054.7199
2022-10-25T20:00:00,23973774.49912
2022-10-26T20:00:00,26090937.95377
2022-10-27T20:00:00,27710303.21008
2022-10-28T20:00:00,28030366.33064
2022-10-29T20:00:00,27782846.05372
2022-10-30T20:00:00,27758992.81189
2022-10-31T20:00:00,28406328.44574
2022-11-01T20:00:00,30313380.66589
2022-11-02T20:00:00,30363523.75194
2022-11-03T20:00:00,32334435.57237
2022-11-04T20:00:00,33824964.5508
2022-11-05T20:00:00,34283296.56471
2022-11-06T19:00:00,35388657.28473
2022-11-07T19:00:00,36977761.46977
2022-11-08T19:00:00,33154350.08243
2022-11-09T19:00:00,27974671.94587
2022-11-10T19:00:00,28840677.33626
2022-11-11T19:00:00,27802990.33821
2022-11-12T19:00:00,28133213.05984
2022-11-13T19:00:00,27861021.83521
2022-11-14T19:00:00,25413531.62475
2022-11-15T19:00:00,25716399.35092
2022-11-16T19:00:00,27421095.76649
2022-11-17T19:00:00,27509803.03221
2022-11-18T19:00:00,28404144.55506
2022-11-19T19:00:00,28317835.81267
2022-11-20T19:00:00,28591228.07816
2022-11-21T19:00:00,28195606.88258
2022-11-22T19:00:00,27457322.97561
2022-11-23T19:00:00,26474502.29533
2022-11-24T19:00:00,26134325.56818
2022-11-25T19:00:00,25806146.31451
2022-11-26T19:00:00,26168502.09455
2022-11-27T19:00:00,27313698.75411
2022-11-28T19:00:00,27237411.60074
2022-11-29T19:00:00,28413142.11368
2022-11-30T19:00:00,22256923.57143
2022-12-01T19:00:00,22974485.42252
2022-12-02T19:00:00,23307461.97748
2022-12-03T19:00:00,23416465.71902
2022-12-04T19:00:00,24053838.31814
2022-12-05T19:00:00,24637153.41117
2022-12-06T19:00:00,25101986.43922
2022-12-07T19:00:00,25632755.22831
2022-12-08T19:00:00,26777679.09969
2022-12-09T19:00:00,26004175.64884
2022-12-10T19:00:00,27280246.59325
2022-12-11T19:00:00,27773906.46708
2022-12-12T19:00:00,28313885.24947
