date,tvl
"March 18, 2021",148988798.24
"March 19, 2021",153204288.86
"March 20, 2021",147690914.44
"March 21, 2021",151935325.31
"March 22, 2021",152981122.24
"March 23, 2021",162065402.5018374
"March 24, 2021",156101310.64592892
"March 25, 2021",144439504.2605513
"March 26, 2021",135610450.40169644
"March 27, 2021",147786656.29307032
"March 28, 2021",172583243.64011288
"March 29, 2021",189014227.96783084
"March 30, 2021",202157669.2722773
"March 31, 2021",209794032.69011864
"April 01, 2021",216074735.94859114
"April 02, 2021",236083654.8331508
"April 03, 2021",236307231.69622087
"April 04, 2021",236512419.78635132
"April 05, 2021",236284644.65767843
"April 06, 2021",272660065.5954001
"April 07, 2021",268791820.9087477
"April 08, 2021",279546574.6688294
"April 09, 2021",294784826.89947766
"April 10, 2021",331055199.46587217
"April 11, 2021",647826457.0840124
"April 12, 2021",739114209.5556201
"April 13, 2021",725197241.305347
"April 14, 2021",789380856.0295309
"April 15, 2021",845183862.5064905
"April 16, 2021",832431639.8632382
"April 17, 2021",824389987.2730196
"April 18, 2021",731812653.0909623
"April 19, 2021",752985413.1512896
"April 20, 2021",679436371.5910349
"April 21, 2021",829344534.7906561
"April 22, 2021",856891182.3249676
"April 23, 2021",944231587.5999343
"April 24, 2021",901200586.603217
"April 25, 2021",916208113.0685759
"April 26, 2021",1069894340.2829714
"April 27, 2021",1276677939.6301022
"April 28, 2021",1329654493.3927011
"April 29, 2021",1323930069.2580082
"April 30, 2021",1251700240.4599268
"May 01, 2021",1335936753.8767867
"May 02, 2021",1470780216.7259598
"May 03, 2021",1540847057.5361006
"May 04, 2021",1556253722.2330506
"May 05, 2021",1508702506.7711363
"May 06, 2021",1539822922.3495839
"May 07, 2021",1537938602.990172
"May 08, 2021",1548041002.828897
"May 09, 2021",1599948716.220486
"May 10, 2021",1622269712.0391583
"May 11, 2021",1571029533.2857697
"May 12, 2021",1633176756.1833777
"May 13, 2021",1435048916.3005795
"May 14, 2021",1496478540.336538
"May 15, 2021",1382212604.3576107
"May 16, 2021",1549574579.4225926
"May 17, 2021",1125804868.2388303
"May 18, 2021",1296947874.5948384
"May 19, 2021",875150587.0234966
"May 20, 2021",973602541.7477264
"May 21, 2021",715568965.1572738
"May 22, 2021",790006617.7010562
"May 23, 2021",658552592.5185677
"May 24, 2021",768757432.0915242
"May 25, 2021",612657113.2915151
"May 26, 2021",857310002.0400642
"May 27, 2021",850953176.9917727
"May 28, 2021",791685441.8789343
"May 29, 2021",736826755.894881
"May 30, 2021",813407821.1933496
"May 31, 2021",880378004.7806386
"June 01, 2021",670808190.0460433
"June 02, 2021",848207713.3666939
"June 03, 2021",760054300.8320394
"June 04, 2021",740082594.1937898
"June 05, 2021",725056469.9186598
"June 06, 2021",742389345.6983978
"June 07, 2021",735811188.0169965
"June 08, 2021",719055647.8671144
"June 09, 2021",689235757.312327
"June 10, 2021",638617904.0216374
"June 11, 2021",556162146.3083323
"June 12, 2021",534624147.7000936
"June 13, 2021",541039252.9802617
"June 14, 2021",556519806.9151511
"June 15, 2021",584211544.4082599
"June 16, 2021",547748099.094904
"June 17, 2021",540478964.5781317
"June 18, 2021",516185476.8402861
"June 19, 2021",502604658.9470278
"June 20, 2021",506128154.7326025
"June 21, 2021",466164685.5957997
"June 22, 2021",447502806.1844121
"June 23, 2021",444512249.71740377
"June 24, 2021",448430967.7950816
