Date,TVL
2018-06-28,20541.94079040033
2018-06-29,20614.458266145004
2018-06-30,20597.007378884686
2018-07-01,20522.01392276653
2018-07-02,20549.85943076856
2018-07-03,20568.292126840628
2018-07-04,20626.645284854058
2018-07-05,20617.728410027878
2018-07-06,20734.87673729013
2018-07-07,20819.2197626574
2018-07-08,20649.342105762647
2018-07-09,20663.202204581718
2018-07-10,20729.03068529677
2018-07-11,22391.763466950488
2018-07-12,20728.51559239572
2018-07-13,21768.457615733387
2018-07-14,23295.557789214665
2018-07-15,22878.569028173966
2018-07-16,24409.13337776949
2018-07-17,23619.354707707553
2018-07-18,21974.114970620554
2018-07-19,23290.869459578156
2018-07-20,22465.075872257017
2018-07-21,25299.709590152717
2018-07-22,24389.616118732607
2018-07-23,27299.524163840724
2018-07-24,20543.090458991297
2018-07-25,20493.57645310419
2018-07-26,20501.433452000903
2018-07-27,20534.059488416904
2018-07-28,20533.858847470437
2018-07-29,20492.842519368885
2018-07-30,20472.117476455733
2018-07-31,20500.414648219106
2018-08-01,20544.645001070236
2018-08-02,20507.264203313713
2018-08-03,20522.54909603736
2018-08-04,20538.561828359423
2018-08-05,19324.991903970178
2018-08-06,21977.275549609218
2018-08-07,20167.515425194157
2018-08-08,22961.87951038035
2018-08-09,20548.732384760417
2018-08-10,20134.035179938655
2018-08-11,20278.657659208533
2018-08-12,20025.408721142983
2018-08-13,20327.766690003235
2018-08-14,20561.359877108862
2018-08-15,26016.39507218708
2018-08-16,28806.61253250374
2018-08-17,28434.77074492411
2018-08-18,28164.094751794022
2018-08-19,28275.44993728181
2018-08-20,27882.98466050525
2018-08-21,27819.478890320406
2018-08-22,27690.12377854473
2018-08-23,25987.84577926335
2018-08-24,28197.2120848131
2018-08-25,28011.55777555556
2018-08-26,27982.375384688858
2018-08-27,27884.518930542654
2018-08-28,28520.14452610631
2018-08-29,28493.015255705715
2018-08-30,28252.721227841157
2018-08-31,27733.0036458646
2018-09-01,27808.30041750616
2018-09-02,28343.106993909565
2018-09-03,28325.47535819003
