timestamp,tvlUSD,apy
09/28/2022,415374,0.0
09/29/2022,409455,0.0
09/30/2022,409565,0.0
10/01/2022,405307,0.00977
10/02/2022,398557,0.03911
10/03/2022,400800,0.0
10/04/2022,412462,0.0
10/05/2022,417313,0.0
10/06/2022,414800,0.0
10/07/2022,410665,0.0
10/08/2022,405015,0.0
10/09/2022,407891,0.0
10/10/2022,386778,0.0
10/11/2022,376634,0.03276
10/12/2022,380009,0.02164
10/13/2022,372708,0.05309
10/14/2022,381270,0.0
10/15/2022,376154,0.0
10/16/2022,386966,0.0
10/17/2022,391954,0.0
10/18/2022,383307,0.0
10/19/2022,377703,0.0
10/20/2022,372258,0.02036
10/21/2022,372804,0.0
10/22/2022,380693,0.01684
10/23/2022,392025,0.0
10/24/2022,387014,0.0
10/25/2022,407506,0.11634
10/26/2022,437045,0.07708
10/27/2022,425949,0.0
10/28/2022,429129,0.0
10/29/2022,430167,0.13505
10/30/2022,430819,0.0
10/31/2022,393344,0.80566
11/01/2022,419678,0.0
11/02/2022,390265,0.0
11/03/2022,394488,0.0
11/04/2022,404657,0.0
11/05/2022,401159,0.0
11/06/2022,400044,0.0
11/07/2022,396613,0.0
11/08/2022,345390,0.21856
11/09/2022,275599,0.50565
11/10/2022,325128,0.10575
11/11/2022,307954,0.0
11/12/2022,306698,0.0
11/13/2022,312374,0.0
11/14/2022,310692,0.0
11/15/2022,322337,0.0
11/16/2022,307004,0.0
11/17/2022,313493,0.0
11/18/2022,313681,0.0
11/19/2022,317146,0.0
11/20/2022,302472,0.0
11/21/2022,293594,0.0
11/22/2022,300777,0.0
11/23/2022,315377,0.0
11/24/2022,317545,0.0
11/25/2022,325543,0.02565
11/26/2022,321076,0.03524
11/27/2022,324015,0.0
11/28/2022,317154,0.0
11/29/2022,332899,0.08877
11/30/2022,355722,0.10485
12/01/2022,352322,0.07089
12/02/2022,365960,0.23801
12/03/2022,354893,0.03933
12/04/2022,362466,0.02563
12/05/2022,355600,0.0
12/06/2022,355491,0.0
12/07/2022,348526,0.02944
12/08/2022,363132,0.0
12/09/2022,353766,0.0
12/10/2022,358036,0.0
12/11/2022,357044,0.0
12/12/2022,357018,0.0
12/13/2022,373280,0.05575
12/14/2022,369039,0.0
12/15/2022,359234,0.0
12/16/2022,340983,0.0
12/17/2022,334579,0.02645
12/18/2022,343937,0.0
12/19/2022,331931,0.0
12/20/2022,346755,0.0
12/21/2022,344693,0.0
12/22/2022,348391,0.0
12/23/2022,347699,0.0
12/24/2022,350849,0.02498
12/25/2022,350186,0.0
12/26/2022,349434,0.0
12/27/2022,348178,0.02201
12/28/2022,339312,0.04282
12/29/2022,341733,0.02921
12/30/2022,346811,0.03185
12/31/2022,345854,0.06672
01/01/2023,353539,0.16778
01/02/2023,364136,0.19734
01/03/2023,358818,0.0
01/04/2023,375938,0.0998
01/05/2023,372758,0.0
01/06/2023,380159,0.05887
01/07/2023,381793,0.0
01/08/2023,384786,0.0
01/09/2023,410627,0.29289
01/10/2023,413295,0.0
01/11/2023,424288,0.0
01/12/2023,448060,0.2043
01/13/2023,455592,0.0
01/14/2023,483845,0.07155
01/15/2023,495414,0.08469
01/16/2023,499876,0.04885
01/17/2023,495898,0.04125
01/18/2023,493384,1.58754
01/19/2023,497053,0.15231
01/20/2023,550449,0.0
01/21/2023,538715,0.0
01/22/2023,520457,0.0
01/23/2023,538305,0.0
01/24/2023,541364,0.22529
01/25/2023,546088,0.0
01/26/2023,553447,0.0
01/27/2023,554003,0.0
01/28/2023,542364,0.0
01/29/2023,563967,0.0
01/30/2023,534367,0.0
01/31/2023,542364,0.0
02/01/2023,560932,0.0
02/02/2023,579598,0.06122
02/03/2023,782737,0.0
02/04/2023,785695,0.0
02/05/2023,757190,0.0
02/06/2023,786779,0.0
02/07/2023,800193,0.0
02/08/2023,777453,0.0
02/09/2023,836616,0.83915
02/10/2023,809286,0.48404
02/11/2023,828849,0.14141
02/12/2023,832790,0.01815
02/13/2023,792599,1.02364
02/14/2023,820138,0.11219
02/15/2023,885962,0.08481
02/16/2023,893071,0.05554
02/17/2023,940370,0.53179
02/18/2023,941423,0.17041
02/19/2023,922643,0.0
02/20/2023,907452,0.0
02/21/2023,870571,0.09259
02/22/2023,881104,0.0
02/23/2023,894820,0.0
02/24/2023,854576,0.03028
02/25/2023,849908,0.01768
02/26/2023,880997,0.0
02/27/2023,866987,0.0
02/28/2023,854870,0.10921
03/01/2023,865260,0.031
03/02/2023,840989,0.20523
03/03/2023,792510,0.0881
03/04/2023,772329,0.19369
03/05/2023,785740,0.0
03/06/2023,772629,0.0
03/07/2023,746608,0.42239
03/08/2023,760296,0.03234
03/09/2023,729730,0.06258
03/10/2023,722166,0.12803
03/11/2023,707680,0.9309
03/12/2023,734067,0.30079
03/13/2023,886511,0.31463
03/14/2023,889813,0.34837
03/15/2023,826663,0.03965
03/16/2023,859577,0.0
03/17/2023,895997,0.08896
03/18/2023,889540,0.03448
03/19/2023,901450,0.07698
03/20/2023,855996,0.22447
03/21/2023,860937,0.02048
03/22/2023,822314,0.0
03/23/2023,853354,0.0
03/24/2023,821451,0.0
03/25/2023,823293,0.00221
03/26/2023,865428,0.0
03/27/2023,830965,0.0355
03/28/2023,902441,0.2625
03/29/2023,904119,0.04423
03/30/2023,869453,0.0
03/31/2023,890349,0.0
04/01/2023,896875,0.0
04/02/2023,875354,0.0
04/03/2023,880518,0.0
