Chain,Project,Symbol,Pool_ID,APY,TVL
Fantom,autofarm,FUSDT-WBTC-WETH(TRICRYPTO),7eb37c20-d13b-4e9b-8e8d-018045865e9b,225.05121,"$34,513"
Polygon,smardex,WBTC-SDEX,1cf9a191-e5a6-41a1-9394-78ab1bc17f91,109.78869,"$103,552"
Arbitrum,smardex,WBTC-SDEX,80769b37-9e96-418f-8568-7f00a58b8878,104.67663,"$423,477"
Hydra,hydradex-v3,WBTC-WHYDRA,584f4ed1-3ced-4962-880a-a6f05fd35df8,94.94954,"$60,694"
Polygon,gamma,WBTC-GIDDY,0cdeb95d-b9b0-4600-9393-a67fba277ab9,91.92356,"$298,940"
Arbitrum,kyberswap-elastic,WBTC-JOE,c1b416d5-7580-4e4a-b548-24fcb7d73255,88.71514,"$41,162"
Obyte,oswap-amm,GBYTE-WBTC,21640a2f-346b-43a0-ba3c-e03bb327b64c,60.5571,"$43,652"
Fantom,beethoven-x,WFTM-LZUSDC-LZWETH-LZWBTC,90ed3874-670d-4553-be7e-7edff6d51774,50.23114,"$375,190"
Polygon,hmx,USDC-USDT-WBTC-ETH-MATIC,cf2faa5f-5da1-47ad-925e-d219e4a1fb57,49.23139,"$810,841"
Solana,orca,SOL-WBTC,7331c619-dd89-49fa-9080-3c3c6f81bbe1,41.31456,"$79,938"
Ethereum,vesper,WBTC,d50904e3-23e3-4fac-8676-b3f3e2d9ff1d,40.27,"$114,037"
Polygon,uniswap-v3,WMATIC-WBTC,2cbe6285-7ff3-4985-8930-76b9beb53ee1,39.02807,"$14,801"
Oasis,beefy,WBTC-ROSE,b981d6a9-62be-469d-a842-462d3c6906ab,38.82293,"$64,510"
Arbitrum,gamma,WBTC-USDC,3c56239f-eee7-444b-917f-48e2c7bb647c,36.75206,"$92,384"
Arbitrum,liondex,WBTC-ETH-USDC,ec999890-8f09-4a68-9188-ddd5cef36a45,35.7572,"$519,673"
Polygon,autofarm,WETH-WBTC,97ae35bf-3f09-4b44-bc12-0454bab8a526,35.74967,"$14,825"
Polygon,pearlfi,WBTC-USDR,baa0716b-5bd9-4d43-9070-853fe042a4a2,35.36608,"$1,782,852"
Neo,flamingo-finance,FWBTC-FUSD,b4d2cf53-8daa-4ad7-99d2-09dc1951089c,34.96324,"$1,128,217"
Polygon,beefy,WBTC-USDC,045713e1-b18d-40c4-bf60-5ddbedee1cfe,33.09072,"$63,822"
Polygon,beefy,WBTC-USDR,f12c3a8a-78ec-4e95-85fd-376b31041dc5,31.5553,"$227,178"
Polygon,gamma,WBTC-USDC,30f27dfa-3e55-4864-a81d-1a1926216a4c,31.24344,"$545,568"
Optimism,clipper,ETH-USDC-USDT-WBTC-DAI-LINK-OP,d9c5ad98-0130-41be-a041-9e2555424326,29.08423,"$688,726"
Optimism,beefy,WBTC-WETH-USDC-USDT-DAI-OP-LINK-SNX,5174e732-0f55-40d1-9ad3-cdb4853b3eae,28.87727,"$51,505"
Ethereum,beefy,MULTIBTC-SBTC-WBTC,5af6e1cd-920c-4abf-8046-8473aaee93ab,26.85655,"$44,069"
Fantom,beethoven-x,WFTM-AXLWBTC-ERN-AXLWETH,24f90ada-31d6-4176-b1a6-e1d0b6efd279,26.52234,"$81,407"
Polygon zkEVM,gamma,USDC-WBTC,d921edcf-4993-42a8-8c14-909cfb65ec20,25.77596,"$151,563"
Polygon,kyberswap-elastic,WBTC-TBTC,d9ec6fcd-f154-44b3-917f-b8c1086b1167,23.64891,"$263,297"
Ethereum,smardex,WBTC-WETH,bb7af6b8-a165-4dc4-8c6b-36843df70174,22.13018,"$2,858,371"
Polygon,gamma,WBTC-MAI,9453680a-208f-466f-a200-ade6d4b49baa,20.94417,"$10,019"
Polygon,beefy,CRV-DAI-USDC-USDT-WBTC-ETH,947ccf47-5fbc-48a2-8906-4cf940b51e3b,20.48567,"$663,413"
Cronos,vvs-finance,WBTC-USDT,b9c0d615-b3f8-4f04-9046-c70bb089ea31,19.36444,"$15,905"
Moonbeam,beefy,WBTCWH,294ba7d2-9503-42c6-8e02-61ddd6619d55,19.36011,"$52,484"
Neo,flamingo-finance,FLM-FWBTC,4a00e2bc-9c2a-4556-a33e-205391bcde4e,19.17147,"$1,841,175"
Ethereum,convex-finance,BADGER-WBTC,36786ce1-d170-4f05-82b1-7d67a401d5a1,18.16871,"$467,160"
Hydra,hydradex-v3,WBTC-ETH,851cb056-7ef2-4c64-9e2e-64205ea762b9,18.13282,"$190,687"
Polygon zkEVM,gamma,USDC-WBTC,3c50e3c3-8707-46ed-893e-09e7a05a6b9e,17.99206,"$38,206"
Polygon,gamma,WBTC-USDC,db4b553c-acfb-4f11-b0a5-f919d94f51fd,17.30921,"$137,241"
Optimism,kyberswap-elastic,WBTC-USDT,0116f2cb-8a13-4db0-912b-7c51b0ef3ad0,16.57618,"$353,691"
