name,display_name,change_1d,change_7d,change_1m
0x,0x - RFQ,-7.91,15.62,-53.95
10KSwap,10KSwap,34.6,7.41,52.84
3xcalibur,3xcalibur,40.91,-39.7,-82.97
4Swap,4Swap,-12.06,-24.43,-45.21
Arbitrum Exchange V2,Arbitrum Exchange V2,266.94,200.18,54.94
Arbitrum Exchange V3,Arbitrum Exchange V3,-22.04,-16.46,-60.43
DerpDEX,DerpDEX,-6.25,97.23,
MantisSwap,MantisSwap,37.66,-74.9,-76.28
SmarDex,SmarDex,50.3,80.41,285.62
ABcDeFX,ABcDeFX,0,-73.66,-99.85
Acala Swap,Acala Swap,-27.67,-11.07,-48.91
Aequinox,Aequinox,208.47,-94.28,-56.48
Agni Finance,Agni Finance,57.51,,
AirSwap,AirSwap,,,
Aldrin,Aldrin,,,
ALEX,ALEX,-30.45,18.66,-77.37
Algofi Swap,Algofi Swap,-8.57,-7.67,-84.88
AlienFi,AlienFi,15.65,530.39,-6.07
Ambient,Ambient,-52.07,-8.51,-22.22
AmpleSwap,AmpleSwap,-81.89,-9.42,70.86
ApeSwap AMM,ApeSwap AMM,-12.92,-34.59,-41.27
ArcherSwap,ArcherSwap,,,
Archly Finance,Archly Finance,84.78,-14.22,1244.85
Arctic,Arctic,18.81,-68.88,48.67
Ashswap,Ashswap,91.2,-6.82,1532.59
Astroport Classic,Astroport Classic,,,
AstroSwap,AstroSwap,-46.73,-77.5,-36.58
Auragi Finance,Auragi Finance,68.84,-89.28,-93.8
AuraSwap,AuraSwap,-74.43,-78.94,40.44
AutoShark,AutoShark,6.82,279.73,0.52
AUX Exchange,AUX Exchange,,,
Axial,Axial,,,
BabyDogeSwap,BabyDogeSwap,-17.09,34.36,-7.92
BabySwap,BabySwap,-10.36,-35.18,17.21
Balancer V1,Balancer V1,160.39,243.95,-32.26
Balancer V2,Balancer V2,105.28,-4.32,-88.86
Bancor V3,Bancor V3,74.02,115.09,-9.97
Bancor V2.1,Bancor V2.1,-97.71,-89.83,51.25
BeamSwap Classic,BeamSwap Classic,-68.56,-56.22,-11
BeamSwap Stable AMM,BeamSwap Stable AMM,-72.78,-94.04,395.31
Beethoven X,Beethoven X,-32.6,-9.22,-48.1
BenSwap,BenSwap,-7.73,-37.43,-94.32
Bisq,Bisq,12.41,-17.53,-39.8
BiSwap V2,BiSwap V2,0.99,2.74,-83.15
Blue Planet,Blue Planet,66.62,256.97,241.92
BXH,BXH,369.81,-68.89,-18.42
Camelot V2,Camelot V2,-21.49,-42.09,-61.97
Camelot V3,Camelot V3,-33.47,-21.86,-19.91
Canto Dex,Canto Dex,27.43,-44.77,0.18
Capricorn Finance,Capricorn Finance,0,-94.81,
CarbonSwap,CarbonSwap,1261.35,28.83,23.58
Cetus,Cetus,16.95,-29.45,-49.17
ChampagneSwap,ChampagneSwap,,,
CherrySwap,CherrySwap,-29.95,9.97,-4.51
Chronos,Chronos,-18.49,-21.86,-70.36
ClaimSwap V1,ClaimSwap V1,64.8,-30.15,-58.21
Clipper,Clipper,-2.04,28.78,16.06
Clober,Clober,-53.72,6.31,12847.24
Cometh,Cometh,-43.26,-34.39,-24.84
Complus Network,Complus Network,-28.76,-33.61,-22.62
Concordex,Concordex,,258.39,
Cone,Cone,-73.84,-65.6,-82
Covo V2,Covo V2 - SWAP,,,
Crema Finance,Crema Finance,65.62,-52.12,-23.96
Crodex,Crodex,,,
CroSwap,CroSwap,-48.94,-34.39,-74.98
CryptoSwap,CryptoSwap,461.6,304.09,485.09
Curve DEX,Curve DEX,43.25,2.56,-25.5
DAO Swap,DAO Swap,,11118.59,1232.67
Darkness,Darkness,,,
DeepBook,DeepBook,-28.88,-24.39,
Defi Kingdoms,Defi Kingdoms,,,
Defi Swap,Defi Swap,-15.22,-29.83,-29.26
DefiBox,DefiBox,42.28,-83.44,-59.36
DefiChain DEX,DefiChain DEX,-8.21,-29.46,-30.83
DefiPlaza,DefiPlaza,53.28,-27.82,-48.07
Demex,Demex,171.73,-84.25,-65.39
Dexalot,Dexalot,-31.22,69.74,-47.7
Dexter,Dexter,-62.82,51.68,77.17
DFX Finance,DFX Finance,-62.91,-17.99,125.71
Dfyn Network,Dfyn Network,-22.3,-52.43,21.96
Dinosaur Eggs,Dinosaur Eggs,-29.24,304.74,239.78
DODO,DODO,-16.06,-8.06,-59.08
Dove Swap V3,Dove Swap V3,4.52,-13.28,-72.43
DPEX,DPEX,5508.78,,-53.99
Dystopia,Dystopia,42.01,0.97,-16.02
E3,E3,1131.88,-17.74,-58.56
EchoDEX,EchoDEX,7.3,-36.7,
El Dorado Exchange,El Dorado Exchange - SWAP,,,-99.7
Elk,Elk,20.77,-17.66,-32.52
Ellipsis Finance,Ellipsis Finance,170,10286.01,1.73
EmpireDEX,EmpireDEX,-67.82,-78.39,-53.19
Energiswap,Energiswap,-14.56,-9.06,-27.25
Equalizer Exchange,Equalizer Exchange,119.21,95.27,-11.77
Equilibre,Equilibre,28.69,-35.27,7.02
Equity,Equity,-34.4,,892072.86
ExinSwap,ExinSwap,-73.79,51.58,-65.71
FairySwap V1,FairySwap V1,,,
Fathom Dex,Fathom Dex,-61.77,162.35,2619.35
Ferro,Ferro,299.13,69.69,1176.18
Flamingo Finance,Flamingo Finance,228.97,240.03,-60.83
FlowX Finance,FlowX Finance,-3.55,2039.92,16539.4
Forge,Forge,57.45,108.18,56.58
Frax Swap,Frax Swap,20.74,-3.73,-49.81
Fulcrom,Fulcrom - SWAP,76.2,74.33,397.14
FusionX V2,FusionX V2,-7.42,-88.01,
FusionX V3,FusionX V3,-65.5,-86.84,
FX Swap,FX Swap,-1.06,4.37,1828.68
FXDX,FXDX,129.1,41.25,698.69
Gin Finance,Gin Finance,,,
Glide Finance,Glide Finance,26.11,499.01,3.03
