chain,platform,pool_tokens,pool_rewards,liquidity_locked,apy,apy_max
ethereum,saddle,"['FRAX', 'USDC', 'alUSD']",['SDL'],$1.01,19405589.49%,48513973.72%
ethereum,convex,['FRAX'],['FXS'],"$231,066.52",8168744.81%,8169949.09%
ethereum,convex,['FRAX'],['FXS'],$169.54,1125030.15%,1125035.73%
ethereum,convex,"['FRAX', 'USDP']","['CRV', 'CVX']","$13,458.51",833824.61%,833824.61%
ethereum,pickle,"['FRAX', 'alUSD', 'FEI', 'LUSD']","['PICKLE', 'SDL']","$22,958.08",48042.69%,84393.08%
arbitrum,arbidex,"['FRAX', 'DAI+']",['ARX'],"$5,932.65",17892.49%,17892.49%
arbitrum,arbidex,"['FRAX', 'WETH']",['ARX'],"$25,646.33",13106.81%,13106.81%
arbitrum,arbidex,"['FRAX', 'USD+']",['ARX'],"$8,329.56",12743.76%,12743.76%
ethereum,pickle,"['cvxFXS', 'FXS']",['PICKLE'],"$31,214.83",12360.37%,21637.24%
ethereum,stakedao,['FRAX'],"['ANGLE', 'SDT']","$41,452.36",12058.88%,12058.88%
ethereum,saddle,"['FRAX', 'USDC', 'USDT']",['SDL'],$331.01,11732.11%,29330.27%
arbitrum,arbidex,"['FRAX', 'frxETH']",['ARX'],"$11,873.34",11175.24%,11175.24%
ethereum,convex,['FRAX'],['FXS'],"$1,230,874.74",10774.86%,11238.89%
ethereum,convex,"['FRAX', 'USDC', 'cvxCRV']","['CRV', 'CVX']","$1,236,290.80",10669.09%,10669.09%
optimism,saddle,"['FRAX', 'USDC']",['SDL'],"$5,643.51",9801.14%,23571.91%
bsc,thena,"['FRAX', 'FXS']",['THE'],$0.00,8966.02%,8966.02%
optimism,saddle,"['FRAX', 'USDC', 'sUSD']",['SDL'],$885.69,8807.57%,21884.75%
moonriver,alphadex,"['FRAX', 'USDC']",['ROAR'],"$9,392.79",8349.54%,8349.54%
ethereum,angle,['FRAX'],"['FRAX', 'ANGLE']","$39,621.93",8274.52%,20686.29%
ethereum,convex,"['FRAX', 'USDC', 'STG']","['CRV', 'CVX']","$2,252,909.33",8079.32%,8079.32%
ethereum,convex,['FRAX'],['FXS'],"$2,824,730.78",7030.96%,8583.35%
ethereum,convex,"['FRAX', 'FPI']","['CRV', 'CVX', 'FXS']","$2,849,962.68",6720.19%,6720.19%
arbitrum,ramses,"['FRAX', 'AGEUR']",['RAM'],$1.53,6680.14%,16700.36%
moonriver,alphadex,"['FRAX', 'WMOVR']",['ROAR'],"$13,936.83",5630.96%,5630.96%
optimism,saddle,"['FRAX', 'USDC', 'USX']",['SDL'],"$1,505.84",5227.17%,12918.77%
ethereum,saddle,"['FRAX', 'USDC', 'veFRAX-FRAXBP']",['SDL'],$780.60,4974.90%,12437.24%
arbitrum,saddle,"['FRAX', 'USDC', 'USDs']",['SDL'],"$3,636.01",4624.01%,10976.22%
ethereum,pickle,"['FRAX', 'USDC']",['FXS'],$159.73,4025.34%,9918.89%
bsc,thena,"['BNBx', 'FRAX']",['THE'],$0.00,3897.86%,3897.86%
ethereum,convex,['FRAX'],['FXS'],"$11,402,483.14",3855.52%,6295.09%
ethereum,convex,"['FXS', 'cvxFXS']","['CRV', 'CVX']","$12,179,453.79",3753.44%,3753.44%
ethereum,convex,['FRAX'],['FXS'],"$1,019,716.30",3408.06%,3968.84%
arbitrum,saddle,"['FRAX', 'alUSD', 'USX', 'USDs']","['FXS', 'SDL']","$340,125.80",3325.49%,13301.95%
ethereum,convex,"['FRAX', 'USDC', 'ALCX']","['CRV', 'CVX']","$1,068,191.88",3268.40%,3268.40%
ethereum,convex,['FRAX'],['FXS'],"$1,443,441.03",3246.28%,4008.03%
ethereum,convex,"['FRAX', 'USDC']","['CRV', 'CVX']","$29,405,541.53",3246.18%,3246.18%
ethereum,convex,['FRAX'],"['FXS', 'CRV', 'CVX']","$976,858.68",3220.05%,15962.29%
bsc,thena,"['BNBx', 'FRAX']",['THE'],$0.00,3214.33%,3214.33%
ethereum,convex,['FRAX'],['FXS'],"$104,817.37",3075.34%,4141.03%
ethereum,convex,"['FRAX', 'USDC', 'msUSD']","['CRV', 'CVX']","$1,556,621.81",3056.27%,3056.27%
