date,Arbitrum_borrowed,Arbitrum_TVL
2022/03/14,$0.00,$0.00
2022/03/15,$0.00,$0.00
2022/03/16,$0.00,$0.00
2022/03/17,"$240,285.54","$4,963,566.16"
2022/03/18,"$1,460,341.16","$6,329,853.15"
2022/03/19,"$1,397,146.46","$4,861,311.03"
2022/03/20,"$1,644,719.05","$5,349,336.57"
2022/03/21,"$1,614,032.46","$5,134,665.40"
2022/03/22,"$1,692,056.07","$5,010,186.86"
2022/03/23,"$2,029,739.71","$5,305,485.19"
2022/03/24,"$2,153,649.74","$4,806,937.71"
2022/03/25,"$2,203,610.36","$5,349,480.46"
2022/03/26,"$2,413,850.75","$5,581,733.29"
2022/03/27,"$2,303,587.39","$5,735,185.65"
2022/03/28,"$2,372,084.04","$6,287,599.57"
2022/03/29,"$2,652,880.26","$7,135,883.62"
2022/03/30,"$2,697,222.85","$7,071,206.14"
2022/03/31,"$2,937,917.65","$8,328,415.11"
2022/04/01,"$2,973,073.98","$8,208,013.69"
2022/04/02,"$4,651,586.78","$9,986,473.78"
2022/04/03,"$3,810,765.66","$10,541,723.61"
2022/04/04,"$3,965,020.51","$10,989,629.05"
2022/04/05,"$4,010,886.88","$11,301,577.71"
2022/04/06,"$4,127,417.11","$11,129,194.21"
2022/04/07,"$4,001,067.46","$10,399,145.99"
2022/04/08,"$4,150,533.08","$10,800,250.10"
2022/04/09,"$4,258,277.35","$10,292,235.97"
2022/04/10,"$4,578,616.26","$10,785,088.58"
2022/04/11,"$4,650,779.95","$10,704,265.65"
2022/04/12,"$4,629,934.94","$10,277,213.61"
2022/04/13,"$4,602,328.43","$10,548,818.51"
2022/04/14,"$4,645,167.03","$10,913,822.91"
2022/04/15,"$4,856,636.86","$11,224,961.78"
2022/04/16,"$4,865,581.37","$11,584,367.73"
2022/04/17,"$4,616,394.34","$12,307,730.37"
2022/04/18,"$5,204,686.38","$13,103,292.93"
2022/04/19,"$5,453,093.47","$13,370,802.13"
2022/04/20,"$5,803,928.78","$15,422,738.22"
2022/04/21,"$5,667,812.00","$15,548,852.91"
2022/04/22,"$5,877,915.93","$15,336,645.59"
2022/04/23,"$5,840,296.69","$15,562,804.07"
2022/04/24,"$5,560,697.66","$15,021,095.90"
2022/04/25,"$5,558,404.30","$15,025,389.60"
2022/04/26,"$5,380,312.26","$15,317,028.81"
2022/04/27,"$5,428,267.98","$14,664,091.97"
2022/04/28,"$5,840,008.85","$15,500,892.55"
2022/04/29,"$5,808,017.90","$16,045,328.02"
2022/04/30,"$6,400,650.04","$17,204,707.59"
2022/05/01,"$6,607,082.73","$17,307,807.15"
2022/05/02,"$6,833,185.03","$18,109,271.40"
2022/05/03,"$6,430,826.62","$17,994,746.87"
2022/05/04,"$6,441,530.34","$23,365,988.06"
2022/05/05,"$6,690,116.00","$24,230,602.82"
2022/05/06,"$6,968,312.61","$24,342,836.37"
2022/05/07,"$6,908,461.64","$24,445,444.88"
2022/05/08,"$6,696,352.86","$23,976,027.78"
2022/05/09,"$6,478,641.92","$23,447,218.97"
2022/05/10,"$6,151,879.65","$22,387,133.66"
2022/05/11,"$6,320,285.58","$24,229,698.30"
2022/05/12,"$6,153,447.01","$23,079,023.44"
2022/05/13,"$5,730,039.34","$22,867,379.68"
2022/05/14,"$5,883,294.23","$22,694,930.72"
2022/05/15,"$6,042,377.85","$23,601,973.00"
