Date,Borrowed_Assets
2020/05/19,"$12,345,606.30"
2020/05/20,"$12,298,508.45"
2020/05/21,"$12,404,565.39"
2020/05/22,"$12,502,397.22"
2020/05/23,"$12,845,598.30"
2020/05/24,"$12,958,645.01"
2020/05/25,"$13,066,997.12"
2020/05/26,"$13,154,443.74"
2020/05/27,"$13,346,137.38"
2020/05/28,"$13,399,804.54"
2020/05/29,"$13,726,760.50"
2020/05/30,"$14,277,012.30"
2020/05/31,"$14,448,760.83"
2020/06/01,"$14,495,392.07"
2020/06/02,"$14,995,814.88"
2020/06/03,"$15,051,605.62"
2020/06/04,"$15,149,364.47"
2020/06/05,"$15,235,173.67"
2020/06/06,"$15,357,921.75"
2020/06/07,"$15,456,444.10"
2020/06/08,"$15,596,599.65"
2020/06/09,"$15,844,505.45"
2020/06/10,"$16,248,049.07"
2020/06/11,"$16,562,496.60"
2020/06/12,"$17,031,496.90"
2020/06/13,"$17,286,591.70"
2020/06/14,"$16,773,277.81"
2020/06/15,"$16,824,846.24"
2020/06/16,"$17,407,971.04"
2020/06/17,"$17,732,509.28"
2020/06/18,"$18,585,692.22"
2020/06/19,"$20,010,776.36"
2020/06/20,"$22,685,962.85"
2020/06/21,"$26,390,581.31"
2020/06/22,"$24,881,716.41"
2020/06/23,"$20,920,317.32"
2020/06/24,"$21,334,319.18"
2020/06/25,"$21,392,747.88"
2020/06/26,"$21,005,139.14"
2020/06/27,"$20,965,444.41"
2020/06/28,"$20,708,881.13"
2020/06/29,"$21,092,511.46"
2020/06/30,"$21,085,001.07"
2020/07/01,"$21,218,120.53"
2020/07/02,"$21,616,695.51"
2020/07/03,"$22,099,556.81"
2020/07/04,"$23,822,884.40"
2020/07/05,"$24,415,502.00"
2020/07/06,"$24,927,130.19"
2020/07/07,"$26,359,407.14"
2020/07/08,"$27,464,976.66"
2020/07/09,"$27,431,904.76"
2020/07/10,"$27,846,905.43"
2020/07/11,"$28,801,433.30"
2020/07/12,"$29,674,201.73"
2020/07/13,"$30,410,038.21"
2020/07/14,"$33,222,128.85"
2020/07/15,"$34,132,918.07"
2020/07/16,"$34,363,271.63"
2020/07/17,"$36,646,568.94"
2020/07/18,"$41,152,707.23"
2020/07/19,"$47,610,870.85"
2020/07/20,"$56,791,539.10"
2020/07/21,"$71,778,085.00"
2020/07/22,"$77,384,734.98"
2020/07/23,"$93,209,187.91"
2020/07/24,"$95,986,245.61"
2020/07/25,"$106,835,953.27"
2020/07/26,"$91,093,903.41"
2020/07/27,"$83,144,996.86"
2020/07/28,"$84,171,663.41"
2020/07/29,"$85,994,482.77"
2020/07/30,"$94,311,979.67"
2020/07/31,"$97,585,088.96"
2020/08/01,"$97,535,414.70"
2020/08/02,"$100,293,939.03"
2020/08/03,"$101,898,740.10"
2020/08/04,"$108,585,783.17"
2020/08/05,"$108,726,923.78"
2020/08/06,"$110,889,754.94"
2020/08/07,"$127,033,815.83"
2020/08/08,"$104,300,928.03"
2020/08/09,"$103,253,354.22"
2020/08/10,"$100,234,756.48"
2020/08/11,"$115,069,733.87"
2020/08/12,"$122,805,605.55"
2020/08/13,"$91,775,273.36"
2020/08/14,"$129,438,167.85"
2020/08/15,"$133,677,629.33"
2020/08/16,"$125,205,887.20"
2020/08/17,"$154,543,476.80"
2020/08/18,"$145,108,879.73"
2020/08/19,"$154,673,330.81"
2020/08/20,"$164,261,409.56"
2020/08/21,"$166,922,126.64"
2020/08/22,"$163,052,001.27"
2020/08/23,"$165,006,052.26"
2020/08/24,"$176,712,284.19"
2020/08/25,"$176,423,884.27"
2020/08/26,"$180,673,627.91"
2020/08/27,"$169,545,331.06"
2020/08/28,"$213,276,489.57"
2020/08/29,"$223,307,586.51"
2020/08/30,"$251,398,460.01"
2020/08/31,"$284,295,108.18"
2020/09/01,"$294,401,924.56"
2020/09/02,"$292,357,108.66"
2020/09/03,"$275,625,505.57"
2020/09/04,"$275,931,498.42"
2020/09/05,"$253,779,722.45"
2020/09/06,"$293,541,283.13"
2020/09/07,"$303,548,997.15"
2020/09/08,"$281,987,747.93"
2020/09/09,"$307,076,933.35"
2020/09/10,"$329,655,882.76"
2020/09/11,"$333,121,378.31"
2020/09/12,"$348,388,656.91"
2020/09/13,"$342,909,118.24"
2020/09/14,"$346,724,611.89"
2020/09/15,"$339,752,380.86"
2020/09/16,"$318,006,763.54"
2020/09/17,"$322,392,157.39"
2020/09/18,"$306,548,764.69"
2020/09/19,"$302,294,605.82"
2020/09/20,"$299,765,341.65"
2020/09/21,"$270,244,181.04"
2020/09/22,"$273,872,212.46"
2020/09/23,"$261,752,588.72"
2020/09/24,"$264,684,435.71"
2020/09/25,"$272,084,671.50"
2020/09/26,"$278,074,457.11"
2020/09/27,"$296,935,354.63"
2020/09/28,"$270,620,894.52"
2020/09/29,"$261,236,961.61"
2020/09/30,"$263,776,128.86"
2020/10/01,"$266,446,288.53"
2020/10/02,"$257,791,160.83"
2020/10/03,"$255,087,092.98"
2020/10/04,"$244,409,287.70"
2020/10/05,"$241,048,148.41"
2020/10/06,"$238,791,949.85"
2020/10/07,"$244,679,702.21"
2020/10/08,"$228,495,729.55"
2020/10/09,"$243,288,878.04"
2020/10/10,"$241,753,474.26"
2020/10/11,"$248,352,936.42"
2020/10/12,"$247,309,297.11"
2020/10/13,"$255,915,467.23"
2020/10/14,"$261,072,527.54"
2020/10/15,"$251,432,418.29"
2020/10/16,"$254,747,372.76"
2020/10/17,"$253,764,178.49"
2020/10/18,"$258,033,628.15"
2020/10/19,"$261,441,767.01"
2020/10/20,"$255,914,698.29"
2020/10/21,"$264,184,130.94"
2020/10/22,"$258,984,279.34"
2020/10/23,"$260,303,631.50"
2020/10/24,"$268,527,856.20"
2020/10/25,"$270,432,218.76"
2020/10/26,"$247,403,324.25"
2020/10/27,"$262,562,457.29"
2020/10/28,"$264,265,022.73"
2020/10/29,"$266,126,042.53"
2020/10/30,"$262,451,402.09"
2020/10/31,"$268,274,171.38"
2020/11/01,"$269,964,699.17"
2020/11/02,"$263,194,450.18"
2020/11/03,"$248,725,069.37"
2020/11/04,"$252,294,299.03"
2020/11/05,"$262,189,163.91"
2020/11/06,"$271,729,191.85"
2020/11/07,"$290,720,757.13"
2020/11/08,"$285,146,632.99"
2020/11/09,"$289,702,523.91"
2020/11/10,"$295,955,562.34"
2020/11/11,"$300,006,536.86"
2020/11/12,"$294,377,392.38"
2020/11/13,"$299,663,439.68"
2020/11/14,"$293,105,280.05"
2020/11/15,"$296,446,926.88"
2020/11/16,"$293,657,250.45"
2020/11/17,"$301,891,212.96"
2020/11/18,"$320,979,824.70"
2020/11/19,"$336,092,553.75"
2020/11/20,"$359,673,008.74"
2020/11/21,"$362,003,181.97"
2020/11/22,"$358,688,682.32"
2020/11/23,"$378,645,965.83"
2020/11/24,"$394,333,275.58"
2020/11/25,"$376,475,696.59"
2020/11/26,"$358,878,566.59"
2020/11/27,"$356,274,137.99"
2020/11/28,"$353,571,086.40"
2020/11/29,"$358,226,854.70"
2020/11/30,"$376,611,584.61"
2020/12/01,"$379,555,195.33"
2020/12/02,"$376,259,670.02"
2020/12/03,"$397,070,549.12"
2020/12/04,"$389,267,169.00"
2020/12/05,"$377,643,763.41"
2020/12/06,"$378,271,490.15"
2020/12/07,"$383,313,659.42"
2020/12/08,"$386,173,161.51"
2020/12/09,"$376,215,343.59"
2020/12/10,"$371,349,121.51"
2020/12/11,"$364,011,894.61"
2020/12/12,"$370,681,191.22"
2020/12/13,"$377,595,905.38"
2020/12/14,"$380,844,356.00"
2020/12/15,"$385,035,077.47"
2020/12/16,"$400,314,126.64"
2020/12/17,"$416,141,434.87"
2020/12/18,"$412,030,058.73"
2020/12/19,"$422,414,323.06"
2020/12/20,"$431,643,943.68"
2020/12/21,"$429,072,042.74"
2020/12/22,"$425,682,659.94"
2020/12/23,"$423,795,735.67"
2020/12/24,"$420,103,466.67"
2020/12/25,"$429,999,691.88"
2020/12/26,"$426,337,034.50"
2020/12/27,"$430,335,292.10"
2020/12/28,"$458,410,124.82"
2020/12/29,"$464,872,527.62"
2020/12/30,"$579,245,507.43"
2020/12/31,"$593,937,927.99"
2021/01/01,"$612,004,765.58"
2021/01/02,"$616,262,072.85"
2021/01/03,"$631,390,122.47"
2021/01/04,"$529,975,981.47"
2021/01/05,"$589,849,905.77"
2021/01/06,"$616,015,425.84"
2021/01/07,"$652,090,448.32"
2021/01/08,"$663,204,357.68"
2021/01/09,"$667,082,831.68"
2021/01/10,"$693,955,597.56"
2021/01/11,"$626,715,291.23"
2021/01/12,"$638,730,887.97"
2021/01/13,"$642,556,684.80"
2021/01/14,"$637,143,320.24"
2021/01/15,"$668,828,944.03"
2021/01/16,"$674,623,763.06"
2021/01/17,"$693,301,570.22"
2021/01/18,"$689,515,994.37"
2021/01/19,"$708,440,598.44"
2021/01/20,"$677,809,544.85"
