Date,justlend,aave-v2,aave-v3,compound,compound-v3,venus,morpho-aave,radiant-v2,fraxlend,tectonic,benqi-lending,kava-lend,uwu-lend,spark,morpho-aavev3,solend,moneyonchain,hatom-lending,eos-rex,flux-finance,sonne-finance,dforce,vires-finance,moonwell-artemis,b.protocol,exactly,silo-finance,notional,parallel-lending,folks-finance-lending,liqee,iron-bank,liqwid,marginfi,agave,rex-staking,ajna,torches,bifi,canto-lending,strike,alpaca-finance-2.0,pando-rings,aave-v1,burrow,wing-finance,tarot,lodestar-v1,filda,granary-finance,realt-rmm-marketplace,umee,green-planet,mars-protocol,aada,lineabank,trader-joe-lend,mare-finance-v2,shadelend,wepiggy,optim-finance,onyx-protocol,ghost,omm,venus-isolated-pools,dolomite,port-finance,morpho-compound,apeswap-lending,tender-finance,larix,reactorfusion,karura-dollar-(kusd),sio2-finance,zklend,moola-market,klaybank,sturdy,algofi-lend,proton-loan,cat-in-a-box,valas-finance,moonwell-apollo,wanlend,bastion,goledo,eralend,yield-protocol,klap,sovryn-lend,channels-finance,lodestar-v0,starlay-finance,aurigami,cream-lending,prime-protocol,0vix,beta-finance,tropykus-rsk,paladin-vote,starfish-finance,hadouken-lend,apricot-finance,puzzle-lend,mango-markets-v4,wemix.fi-lend,mesher,equilibrium-lending,annex,fortube,lenen,timeswap-v2,mantra-dao,smartcredit,lendflare,aries-markets,mimas-finance,illuminate,tonpound,increment-lending,vendor-v1,midas-capital,rabbit-finance,pinjam-labs,tashi,vigor,pilot-protocol,hector-lending,yupana,88mph,mochifi,tranquil-finance,spiritswap-lending,radiant-v1,ooki,lendexe-finance,percent-finance,unilend,ram-protocol,neku,moremoney,nereus-finance,unfederalreserve,xbank-finance,arbor-finance,demeter,ape-finance,geist-finance,fuji-v1,market,myso,vendor-v2,shoebill-finance,sigmafi,hundred-finance,sushi-kashi,abel-finance,alkemi,lendle,usdfi-lending,poof-cash,basilisk,orbiter-one,fountain-protocol,whitehole-finance,scallop,jet-margin,jet-fixed-term,bfly-finance,aptin-finance,reax-lending,unlockd,cashcow-finance,swirllend,commodo,trava-finance,rikkei-finance,forlend,wefi,roe-finance,metastreet-v1,debtdao,teller,themis-protocol,monolend,euler,jet-v1,paribus,aave-arc,klend,fringe,rocifi-v2,mahalend,timeswap-v1,daolama,oxygen,warp-protocol,kinza-finance,fluidtokens,multiplier,qubit,agora,rocifi-v1,bondappetit,coslend,wild-credit,orcadao,hodltree,ocp-finance,huckleberry-lending,chfry-finance,fuji-v2,scream,vee-finance,omnidex-lend,edge-protocol,lendhub,zerolend,bnpl-pay,surge,brainiac-finance,lending-pond,agile-finance,sculptor-finance,fortress-loans,atlantis-loans,tropykus-zkevm,bonqdao,bao-markets,chee-finance,chintai,quickswap-lend,augmented-finance,fenrir-finance,metapoly,definer,l2finance,evolve,waterloan,bencufi,bank-of-cronos-loans,deerfi,omni-protocol,bitlend,defil,paperdao,bodh-finance,soda-protocol,owna,stake1,baksdao,flux-protocol,0xlend,ssap,milkyway,ecodefi,goldbank-finance,mare-finance-v1,toreus,sohei,mango-markets-v3,anchor,ruler,acumen,mensa-protocol,pizza,genshiro,amy-finance,blizz-finance,xensa,freeliquid,meld,everlend,ethichub,crolend-finance,kokomo-finance
2020-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12345606.30373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12298508.44938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12404565.38872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12502397.21923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12845598.30159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12958645.01232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13066997.11912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13154443.73976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13346137.38136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13399804.5369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13726760.49713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
