date,Bitcoin,Ethereum
2021-06-01,688726381047.1788,306488816882.1444
2021-06-02,704531333543.3906,315313344228.8267
2021-06-03,733150718114.4554,333964598115.05035
2021-06-04,691747462828.3618,312991097366.8545
2021-06-05,662913486273.3402,302743417251.8253
2021-06-06,671131079523.7289,315044778229.29706
2021-06-07,626527049947.8439,299857516850.1987
2021-06-08,629018966290.4011,294068580258.7281
2021-06-09,705292677171.4633,304761367058.1624
2021-06-10,691681868464.4717,289444120869.42664
2021-06-11,698528023663.5321,272748408238.43475
2021-06-12,668148892256.3638,278223731471.048
2021-06-13,733402631079.1185,292767118262.08405
2021-06-14,761104314502.2867,300405113218.4146
2021-06-15,756522207420.3483,298324322330.12646
2021-06-16,718016373177.285,274666655404.67456
2021-06-17,715652442155.1261,275415199641.5411
2021-06-18,673761687974.4922,260039646334.19235
2021-06-19,666901325910.3705,253396709038.79898
2021-06-20,670634370556.6146,261478202409.18997
2021-06-21,598335733135.868,223202708788.72086
2021-06-22,606580031922.7239,216876757208.59253
2021-06-23,631634847766.2311,229518675836.76538
2021-06-24,650340461975.8141,231644258719.40115
2021-06-25,598703019611.4526,213871849531.6296
2021-06-26,600235334320.8247,209989265221.48502
2021-06-27,649262127990.3759,229354016311.0035
2021-06-28,647741224116.9337,243040539437.43396
2021-06-29,674231340724.4149,253607549372.41992
2021-06-30,660200427590.4775,265951575833.03497
2021-07-01,629863895571.7473,247210647940.18707
2021-07-02,633684390025.5607,250754468066.2188
2021-07-03,650382046624.6503,259079167729.78622
2021-07-04,663571591568.1959,271472550895.4458
2021-07-05,636061920914.8282,258719784082.81683
2021-07-06,640405812761.686,270697947572.19247
2021-07-07,636246944189.2604,270116728160.1227
2021-07-08,617861633771.9894,248124573571.6789
2021-07-09,637000370375.4657,251611015863.3228
2021-07-10,632185737683.1548,247860822594.06396
2021-07-11,643335853171.1349,250027222000.60455
2021-07-12,623350567666.981,238086643137.17004
2021-07-13,613002045101.37,227135827760.92883
2021-07-14,616691143979.958,232939479730.00745
2021-07-15,595342431373.8641,223534356736.75906
2021-07-16,588495008675.5178,218477848474.5608
2021-07-17,592581931071.2119,221838551362.95905
2021-07-18,597872278369.1111,222305469349.28598
2021-07-19,580252472382.7122,214106247241.3399
2021-07-20,561743228116.5483,209392844466.0158
2021-07-21,605357009416.7555,233005814487.5354
2021-07-22,607621607805.3499,236554595198.76672
2021-07-23,627747173675.4332,247068794868.14566
2021-07-24,642012590040.6406,255023351844.8617
2021-07-25,664681184168.7764,258067996305.1722
2021-07-26,701921012034.6644,261543645427.02673
2021-07-27,732311951673.3547,267339757878.51932
2021-07-28,751371299910.5153,268838784855.6686
2021-07-29,750407963580.4731,278785893426.22424
2021-07-30,786531956383.648,287344044145.01373
2021-07-31,784039345926.1898,297505707149.10004
2021-08-01,747403845431.8284,297290528238.90314
2021-08-02,737440183775.5553,306483554365.1923
2021-08-03,720835141114.3336,294760000421.45154
2021-08-04,747085951935.0547,319613239659.44226
2021-08-05,768416417393.5968,330223699956.3277
2021-08-06,803853127161.2805,337961452767.8669
2021-08-07,838457486987.6113,368235028077.73975
2021-08-08,821704814136.0109,352872000029.7298
2021-08-09,861862844505.6104,363242219000.13837
2021-08-10,854344953098.7552,368146417310.3951
2021-08-11,857660568377.3856,371120421692.36896
2021-08-12,836054770491.896,356667351344.9034
2021-08-13,895084141168.7996,387650495386.42346
2021-08-14,886593539912.8141,383333523376.4307
2021-08-15,882888202377.7089,387075388591.617
2021-08-16,866391335029.3693,369733082268.3038
2021-08-17,836777066605.9799,354390048289.18036
2021-08-18,847143004614.999,357527359807.9584
2021-08-19,867650725472.864,360685430760.7975
2021-08-20,923013359587.4719,383483277312.2806
2021-08-21,920750216465.3846,378500212583.48236
2021-08-22,925630106451.4792,380718215752.5816
2021-08-23,930729196214.2946,389578100858.59686
2021-08-24,902489541307.5308,373455291323.226
2021-08-25,921328247353.5629,378980836224.52765
2021-08-26,887832142450.1957,367860898491.3749
2021-08-27,922969799298.9401,383644799228.1656
2021-08-28,920017911098.7555,380750077080.94684
2021-08-29,919515378468.8468,378786220548.79956
2021-08-30,885729258052.6316,378977088509.6317
2021-08-31,890014982634.8986,403657783560.1046
2021-09-01,918058330851.4829,444243407062.371
2021-09-02,927323146557.2119,444936758974.6008
2021-09-03,937295558515.289,462019852288.094
2021-09-04,940538655659.8085,456929768632.2518
2021-09-05,971284117138.44,463973074693.0737
2021-09-06,992868819862.2306,463012228435.44434
2021-09-07,881943904968.6511,404516339491.4938
2021-09-08,866885887154.3109,413866162089.43915
2021-09-09,876179332243.7437,403936419964.8866
2021-09-10,842222636395.4677,376789025177.2447
2021-09-11,849828231595.6722,383321475836.21576
2021-09-12,869122611514.091,402834673220.724
2021-09-13,848992511473.5618,387934440817.1596
2021-09-14,886524004596.6061,402557959131.82196
2021-09-15,906727769791.0696,421477522819.9356
2021-09-16,900990520811.9348,419510540250.7301
2021-09-17,892585184977.8329,401297385415.4547
2021-09-18,907957032341.1344,403306688199.6298
