Date,centrifuge,maple,goldfinch,credix,truefi,clearpool,homecoin,ribbon-lend
2020-10-18,20165.14407,,,,,,,
2020-10-19,20179.06802,,,,,,,
2020-10-20,20163.35196,,,,,,,
2020-10-21,20135.5929,,,,,,,
2020-10-22,27818.67583,,,,,,,
2020-10-23,27720.09234,,,,,,,
2020-10-24,133244.36926,,,,,,,
2020-10-25,133673.76179,,,,,,,
2020-10-26,203242.86836,,,,,,,
2020-10-27,203476.12841,,,,,,,
2020-10-28,139677.1391,,,,,,,
2020-10-29,139463.3191,,,,,,,
2020-10-30,185051.43302,,,,,,,
2020-10-31,120665.22512,,,,,,,
2020-11-01,218666.39007,,,,,,,
2020-11-02,218621.75165,,,,,,,
2020-11-03,217827.29401,,,,,,,
2020-11-04,233311.75449,,,,,,,
2020-11-05,233356.41463,,,,,,,
2020-11-06,176375.59094,,,,,,,
2020-11-07,196701.18897,,,,,,,
2020-11-08,196581.43576,,,,,,,
2020-11-09,196646.76901,,,,,,,
2020-11-10,197469.56702,,,,,,,
2020-11-11,191997.15201,,,,,,,
2020-11-12,201524.34229,,,,,,,
2020-11-13,202223.66972,,,,,,,
2020-11-14,232509.18234,,,,,,,
2020-11-15,213550.59867,,,,,,,
2020-11-16,211722.89926,,,,,,,
2020-11-17,211456.84472,,,,,,,
2020-11-18,230137.62283,,,,,,,
2020-11-19,229731.125,,,,,,,
2020-11-20,202147.45956,,,,,,,
2020-11-21,372403.6548,,,,,,,
2020-11-22,371338.31966,,,,31636685,,,
2020-11-23,371195.97571,,,,33095569.67,,,
2020-11-24,372005.657,,,,30986030.8,,,
2020-11-25,371946.05605,,,,27486443.43,,,
2020-11-26,431503.19073,,,,17219701.74,,,
2020-11-27,493918.86023,,,,1150234.14,,,
2020-11-28,516000.92603,,,,1701922.02,,,
2020-11-29,445050.63745,,,,2077172.21,,,
2020-11-30,509385.73579,,,,2097730.68,,,
2020-12-01,386149.66407,,,,2135305.6,,,
2020-12-02,385440.93379,,,,2290228.36,,,
2020-12-03,425374.34123,,,,3138396.26,,,
2020-12-04,425082.33825,,,,1774003.05,,,
2020-12-05,474689.54698,,,,2750283.8,,,
2020-12-06,475605.40919,,,,3906736.09,,,
2020-12-07,516128.46897,,,,2792190.37,,,
2020-12-08,515710.60163,,,,3608015.24,,,
2020-12-09,425696.98691,,,,4008431.69,,,
2020-12-10,431039.0515,,,,4629405.33,,,
2020-12-11,428752.19343,,,,1346120.3,,,
2020-12-12,429502.50186,,,,2231565.89,,,
2020-12-13,427862.6274,,,,5045847.58,,,
2020-12-14,427374.28249,,,,1666137.34,,,
2020-12-15,427351.48362,,,,2298406.85,,,
2020-12-16,427309.57575,,,,3165191.29,,,
2020-12-17,427839.99907,,,,3348847.3,,,
2020-12-18,541709.02539,,,,2487169.19,,,
2020-12-19,512132.78396,,,,2563120.69,,,
2020-12-20,513983.45356,,,,2477653.84,,,
2020-12-21,513406.94673,,,,2616660.2,,,
2020-12-22,589981.76247,,,,2866416.66,,,
2020-12-23,423158.97439,,,,2866416.66,,,
2020-12-24,531843.21213,,,,3672409.63,,,
2020-12-25,553266.80479,,,,3709900.15,,,
2020-12-26,553145.1499,,,,5214012.99,,,
2020-12-27,582614.43055,,,,5375396.69,,,
2020-12-28,592339.8439,,,,,,,
2020-12-29,687224.17075,,,,9002609.76,,,
2020-12-30,619771.2769,,,,9079491.46,,,
2020-12-31,546295.42044,,,,9098154.8,,,
2021-01-01,418413.88554,,,,2813665.87,,,
2021-01-02,495698.87858,,,,2945154.39,,,
2021-01-03,472476.36182,,,,3586550.86,,,
2021-01-04,314439.03919,,,,3844472.54,,,
2021-01-05,312870.75482,,,,5578667.27,,,
2021-01-06,313550.55658,,,,6202876.92,,,
2021-01-07,297566.68982,,,,7763157.01,,,
2021-01-08,342812.20233,,,,5138580.27,,,
2021-01-09,469669.60549,,,,5071916.64,,,
2021-01-10,239863.08479,,,,5646921.6,,,
2021-01-11,240305.63043,,,,4985660.81,,,
2021-01-12,273784.53292,,,,5678540.93,,,
2021-01-13,282478.65231,,,,11449294.37,,,
2021-01-14,376821.8669,,,,11709692.12,,,
2021-01-15,378629.9751,,,,6820865.18,,,
2021-01-16,508442.40035,,,,7273076.85,,,
2021-01-17,508079.85331,,,,6942286.04,,,
2021-01-18,337760.99017,,,,8058529.41,,,
2021-01-19,337487.96843,,,,9061098.88,,,
2021-01-20,364834.64408,,,,10142838.62,,,
2021-01-21,376659.09604,,,,8974688.59,,,
2021-01-22,290380.75937,,,,,,,
2021-01-23,152475.8864,,,,7742884.95243,,,
2021-01-24,164686.51678,,,,9602736.08144,,,
2021-01-25,174303.81082,,,,9612761.57987,,,
2021-01-26,236969.00938,,,,11173199.26037,,,
2021-01-27,207615.14055,,,,9887144.20829,,,
2021-01-28,423406.01714,,,,9976114.65412,,,
2021-01-29,422781.70259,,,,10329313.40321,,,
2021-01-30,421163.67296,,,,10412382.21088,,,
2021-01-31,418081.73081,,,,11707003.72805,,,
2021-02-01,500858.76598,,,,11787536.7179,,,
2021-02-02,403864.99894,,,,11709301.57451,,,
2021-02-03,334055.02067,,,,12018550.10755,,,
2021-02-04,247109.83034,,,,11872885.47337,,,
2021-02-05,475246.53924,,,,11864960.66746,,,
2021-02-06,473478.10748,,,,11914861.3108,,,
2021-02-07,489829.60051,,,,12139721.3444,,,
2021-02-08,506174.82506,,,,12361834.35708,,,
2021-02-09,507553.26042,,,,13425385.69019,,,
2021-02-10,562390.24406,,,,13702741.88503,,,
2021-02-11,537850.67786,,,,22105518.05404,,,
2021-02-12,343300.53796,,,,12295448.28479,,,
2021-02-13,456166.56706,,,,11477879.09424,,,
2021-02-14,367564.30239,,,,11888431.82947,,,
2021-02-15,410825.16672,,,,14688370.38449,,,
2021-02-16,411614.29091,,,,14680014.13443,,,
2021-02-17,431237.62452,,,,23170526.57221,,,
2021-02-18,564055.72722,,,,27455977.75716,,,
2021-02-19,342147.07565,,,,28847105.35347,,,
2021-02-20,493522.05982,,,,29265316.98793,,,
2021-02-21,496290.52109,,,,33434152.11655,,,
2021-02-22,641548.25008,,,,37167677.87241,,,
2021-02-23,639993.37139,,,,36883019.93398,,,
2021-02-24,681037.32987,,,,27332260.51239,,,
2021-02-25,742440.8562,,,,29982374.59777,,,
2021-02-26,434299.55265,,,,29965116.14608,,,
2021-02-27,470783.70548,,,,17320571.95818,,,
2021-02-28,562811.25325,,,,9815860.80185,,,
2021-03-01,545435.74223,,,,9574155.40643,,,
2021-03-02,551598.73954,,,,9658228.02608,,,
2021-03-03,575918.11833,,,,9477829.42861,,,
2021-03-04,1063339.52537,,,,9665843.14977,,,
