Date,centrifuge-Ethereum,centrifuge-Ethereum-borrowed,centrifuge-borrowed
2020-10-18,20165.14407,0,0
2020-10-19,20179.06802,0,0
2020-10-20,20163.35196,0,0
2020-10-21,20135.5929,0,0
2020-10-22,27818.67583,53107.91131,53107.91131
2020-10-23,27720.09234,52919.70814,52919.70814
2020-10-24,133244.36926,58160.8135,58160.8135
2020-10-25,133673.76179,58365.82925,58365.82925
2020-10-26,203242.86836,58083.31519,58083.31519
2020-10-27,203476.12841,58167.50419,58167.50419
2020-10-28,139677.1391,122966.87921,122966.87921
2020-10-29,139463.3191,122815.6469,122815.6469
2020-10-30,185051.43302,122676.98909,122676.98909
2020-10-31,120665.22512,188302.43792,188302.43792
2020-11-01,218666.39007,188402.17706,188402.17706
2020-11-02,218621.75165,188420.49246,188420.49246
2020-11-03,217827.29401,187792.37073,187792.37073
2020-11-04,233311.75449,188248.22098,188248.22098
2020-11-05,233356.41463,188337.6529,188337.6529
2020-11-06,176375.59094,245613.3543,245613.3543
2020-11-07,196701.18897,245942.29344,245942.29344
2020-11-08,196581.43576,245862.26909,245862.26909
2020-11-09,196646.76901,245943.98068,245943.98068
2020-11-10,197469.56702,247043.08724,247043.08724
2020-11-11,191997.15201,245627.80155,245627.80155
2020-11-12,201524.34229,245034.57216,245034.57216
2020-11-13,202223.66972,245954.62169,245954.62169
2020-11-14,232509.18234,246072.36505,246072.36505
2020-11-15,213550.59867,363769.63799,363769.63799
2020-11-16,211722.89926,375781.96559,375781.96559
2020-11-17,211456.84472,375309.75169,375309.75169
2020-11-18,230137.62283,357945.5971,357945.5971
2020-11-19,229731.125,357313.34885,357313.34885
2020-11-20,202147.45956,421759.8084,421759.8084
2020-11-21,372403.6548,421151.23338,421151.23338
2020-11-22,371338.31966,419946.44605,419946.44605
2020-11-23,371195.97571,441845.42117,441845.42117
2020-11-24,372005.657,442920.35851,442920.35851
2020-11-25,371946.05605,442960.55664,442960.55664
2020-11-26,431503.19073,383538.7742,383538.7742
2020-11-27,493918.86023,385574.91371,385574.91371
2020-11-28,516000.92603,387174.0813,387174.0813
2020-11-29,445050.63745,455478.76492,455478.76492
2020-11-30,509385.73579,389430.3895,389430.3895
2020-12-01,386149.66407,514035.476,514035.476
2020-12-02,385440.93379,513221.48121,513221.48121
2020-12-03,425374.34123,513043.20657,513043.20657
2020-12-04,425082.33825,512820.37665,512820.37665
2020-12-05,474689.54698,445509.22894,445509.22894
2020-12-06,475605.40919,446368.79089,446368.79089
2020-12-07,516128.46897,446438.93689,446438.93689
2020-12-08,515710.60163,446186.41943,446186.41943
2020-12-09,425696.98691,489971.54908,489971.54908
2020-12-10,431039.0515,490582.59776,490582.59776
2020-12-11,428752.19343,537598.74263,537598.74263
2020-12-12,429502.50186,538671.3423,538671.3423
2020-12-13,427862.6274,536745.99394,536745.99394
2020-12-14,427374.28249,536264.59827,536264.59827
2020-12-15,427351.48362,536367.24057,536367.24057
2020-12-16,427309.57575,536445.91219,536445.91219
2020-12-17,427839.99907,537243.27331,537243.27331
2020-12-18,541709.02539,519931.69318,519931.69318
2020-12-19,512132.78396,628337.2153,628337.2153
2020-12-20,513983.45356,630763.84196,630763.84196
2020-12-21,513406.94673,630212.24801,630212.24801
2020-12-22,589981.76247,628086.80916,628086.80916
2020-12-23,423158.97439,800795.03373,800795.03373
2020-12-24,531843.21213,800738.67859,800738.67859
2020-12-25,553266.80479,782419.05473,782419.05473
2020-12-26,553145.1499,782247.01278,782247.01278
2020-12-27,582614.43055,781535.90569,781535.90569
2020-12-28,592339.8439,781313.86619,781313.86619
2020-12-29,687224.17075,781036.15799,781036.15799
2020-12-30,619771.2769,856737.02192,856737.02192
2020-12-31,546295.42044,926610.8653,926610.8653
2021-01-01,418413.88554,1054410.88066,1054410.88066
2021-01-02,495698.87858,976216.62186,976216.62186
2021-01-03,472476.36182,977464.90019,977464.90019
2021-01-04,314439.03919,1057064.36582,1057064.36582
2021-01-05,312870.75482,1052068.70569,1052068.70569
2021-01-06,313550.55658,1056927.484,1056927.484
2021-01-07,297566.68982,1072029.94253,1072029.94253
2021-01-08,342812.20233,1074900.04906,1074900.04906
2021-01-09,469669.60549,1055382.09206,1055382.09206
2021-01-10,239863.08479,1348886.51111,1348886.51111
2021-01-11,240305.63043,1351375.19689,1351375.19689
2021-01-12,273784.53292,1379715.55159,1379715.55159
2021-01-13,282478.65231,1370457.46529,1370457.46529
2021-01-14,376821.8669,1372060.32121,1372060.32121
2021-01-15,378629.9751,1379005.97721,1379005.97721
2021-01-16,508442.40035,1374032.83415,1374032.83415
2021-01-17,508079.85331,1373413.7011,1373413.7011
2021-01-18,337760.99017,1545910.20251,1545910.20251
2021-01-19,337487.96843,1545056.47705,1545056.47705
2021-01-20,364834.64408,1515076.92779,1515076.92779
2021-01-21,376659.09604,1516215.16108,1516215.16108
2021-01-22,290380.75937,1593220.56553,1593220.56553
2021-01-23,152475.8864,1728654.6226,1728654.6226
2021-01-24,164686.51678,1731577.70791,1731577.70791
2021-01-25,174303.81082,1728296.54227,1728296.54227
2021-01-26,236969.00938,1734692.16606,1734692.16606
2021-01-27,207615.14055,1776935.5656,1776935.5656
2021-01-28,423406.01714,1742892.88663,1742892.88663
2021-01-29,422781.70259,1747890.44476,1747890.44476
2021-01-30,421163.67296,1741650.41069,1741650.41069
2021-01-31,418081.73081,1737679.0262,1737679.0262
2021-02-01,500858.76598,1741076.73143,1741076.73143
2021-02-02,403864.99894,1880089.6102,1880089.6102
2021-02-03,334055.02067,1952596.69019,1952596.69019
2021-02-04,247109.83034,2035980.55504,2035980.55504
2021-02-05,475246.53924,2044983.47588,2044983.47588
2021-02-06,473478.10748,2037909.56267,2037909.56267
2021-02-07,489829.60051,2024692.23209,2024692.23209
2021-02-08,506174.82506,2018601.88687,2018601.88687
2021-02-09,507553.26042,2024630.86903,2024630.86903
2021-02-10,562390.24406,2034688.92842,2034688.92842
2021-02-11,537850.67786,2276135.47903,2276135.47903
2021-02-12,343300.53796,2656182.53973,2656182.53973
2021-02-13,456166.56706,2598529.42905,2598529.42905
2021-02-14,367564.30239,2722054.54884,2722054.54884
2021-02-15,410825.16672,2709235.86763,2709235.86763
2021-02-16,411614.29091,2715127.29376,2715127.29376
2021-02-17,431237.62452,2723945.56983,2723945.56983
2021-02-18,564055.72722,2663085.22578,2663085.22578
2021-02-19,342147.07565,2958179.05421,2958179.05421
2021-02-20,493522.05982,2997239.66794,2997239.66794
2021-02-21,496290.52109,3014052.98315,3014052.98315
2021-02-22,641548.25008,2996912.37005,2996912.37005
2021-02-23,639993.37139,2989648.94883,2989648.94883
2021-02-24,681037.32987,3065211.59743,3065211.59743
2021-02-25,742440.8562,3020498.81317,3020498.81317
2021-02-26,434299.55265,3427296.9975,3427296.9975
2021-02-27,470783.70548,3441901.02697,3441901.02697
2021-02-28,562811.25325,3388995.60324,3388995.60324
2021-03-01,545435.74223,3464202.44793,3464202.44793
2021-03-02,551598.73954,3440657.1697,3440657.1697
2021-03-03,575918.11833,3443230.49474,3443230.49474
2021-03-04,1063339.52537,3611583.95907,3611583.95907
2021-03-05,1149605.22869,3532447.15029,3532447.15029
2021-03-06,1255660.05339,3539362.81624,3539362.81624
2021-03-07,1115191.20476,3685539.41819,3685539.41819
2021-03-08,1145540.23571,3672376.19112,3672376.19112
2021-03-09,1169275.43692,3688160.2744,3688160.2744
2021-03-10,1418554.54566,3780901.51661,3780901.51661
2021-03-11,1238393.10571,4048223.72569,4048223.72569
2021-03-12,847202.58378,4536195.19004,4536195.19004
2021-03-13,1213315.7706,4443605.38718,4443605.38718
2021-03-14,1077814.06368,4589397.80118,4589397.80118
2021-03-15,1099780.30579,4572825.91357,4572825.91357
2021-03-16,1108719.71665,4579104.39807,4579104.39807
2021-03-17,1106180.96092,4588249.85301,4588249.85301
2021-03-18,1256239.9108,4512779.18785,4512779.18785
2021-03-19,1283152.20601,4502307.27157,4502307.27157
2021-03-20,1289406.39683,4524251.89255,4524251.89255
2021-03-21,1377031.27819,4533578.49182,4533578.49182
2021-03-22,1393122.74659,4521769.72084,4521769.72084
2021-03-23,1393716.49554,4524882.85165,4524882.85165
2021-03-24,1518461.28767,4528473.0631,4528473.0631
