Date,clearpool-borrowed,clearpool-Polygon-borrowed,clearpool-Ethereum-borrowed,clearpool-Ethereum,clearpool-Polygon,clearpool-Ethereum-staking,clearpool-staking
2022-04-11,,,,25412090.16443,,,
2022-04-12,,,,25449839.29453,,,
2022-04-13,,,,23762515.74742,,,
2022-04-14,32804432.77161,,32804432.77161,23735963.39242,,,
2022-04-15,34822846.32611,,34822846.32611,22890634.7658,,,
2022-04-16,36388913.07402,,36388913.07402,21965270.14935,,,
2022-04-17,38820666.04516,,38820666.04516,17660506.93908,,,
2022-04-18,37840954.07249,,37840954.07249,18790257.95105,,,
2022-04-19,37850183.7286,,37850183.7286,20922093.14286,,,
2022-04-20,36866367.25925,,36866367.25925,21725948.72508,,,
2022-04-21,38334261.56404,,38334261.56404,20277989.3786,,,
2022-04-22,38382143.81601,,38382143.81601,19099568.30186,,,
2022-04-23,38389728.84976,,38389728.84976,18797244.12059,,,
2022-04-24,38423514.84293,,38423514.84293,18799546.24572,,,
2022-04-25,38431930.63423,,38431930.63423,18864782.71551,,,
2022-04-26,38427286.46042,,38427286.46042,18531004.53039,,,
2022-04-27,38357170.78416,,38357170.78416,20840709.53744,,,
2022-04-28,38367473.95451,,38367473.95451,21345168.38186,,,
2022-04-29,38414688.39994,,38414688.39994,21234388.49639,,,
2022-04-30,38375359.21643,,38375359.21643,20958590.81898,,,
2022-05-01,38405764.39655,,38405764.39655,20970442.48,,,
2022-05-02,38436232.94518,,38436232.94518,21082619.337,,,
2022-05-03,38423750.0499,,38423750.0499,19564945.59958,,,
2022-05-04,38432459.19254,,38432459.19254,16316420.90088,,,
2022-05-05,38509611.43089,,38509611.43089,16917272.16287,,,
2022-05-06,38498221.70109,,38498221.70109,17150274.22084,,,
2022-05-07,38450874.22663,,38450874.22663,17322654.95862,,,
2022-05-08,38460031.07215,,38460031.07215,17323058.71953,,,
2022-05-09,38633539.88355,,38633539.88355,18748264.15278,,,
2022-05-10,38604028.5247,,38604028.5247,18196340.50724,,,
2022-05-11,33574807.20159,,33574807.20159,20784919.88528,,,
2022-05-12,33683265.17866,,33683265.17866,17698518.58347,,,
2022-05-13,17573390.27095,,17573390.27095,12956929.03837,,,
2022-05-14,14285620.66224,,14285620.66224,13258391.32741,,,
2022-05-15,13300157.64967,,13300157.64967,17217338.63511,,,
2022-05-16,13289684.65254,,13289684.65254,17200189.89145,,,
2022-05-17,8880138.71524,,8880138.71524,16760930.63731,,,
2022-05-18,0,,0,23456995.69978,,,
2022-05-19,3507969.93813,0,3507969.93813,17614721.10324,0,,
2022-05-20,15860390.03915,0,15860390.03915,11556589.27397,0,,
2022-05-21,15832739.06109,0,15832739.06109,15359172.06534,0,,
2022-05-22,15846050.45267,0,15846050.45267,16102194.40712,0,,
