Date,credix-Solana-borrowed,credix-borrowed,credix-Solana
2022-05-26,5460900,5460900,3933289.37893
2022-05-27,5455450,5455450,3929363.94043
2022-05-28,5460900,5460900,3933289.37893
2022-05-29,5460900,5460900,3933289.37893
2022-05-30,5455450,5455450,3929363.94043
2022-05-31,5450000,5450000,3925438.50193
2022-06-01,5450000,5450000,4675438.50193
2022-06-02,5460900,5460900,4684789.37893
2022-06-03,8434477.35,8434477.35,1672360.7214
2022-06-04,8458450,8458450,1677113.94043
2022-06-05,8450000,8450000,1975438.50193
2022-06-06,8458450,8458450,1977413.94043
2022-06-07,8475350,8475350,1989263.44244
2022-06-08,8458450,8458450,2019080.56543
2022-06-09,10450000,10450000,17063.50193
2022-06-10,10448004.05,10448004.05,5016105.2428
2022-06-11,10450000,10450000,5017063.50193
2022-06-12,10450000,10450000,5017063.50193
2022-06-13,10460450,10460450,5022080.56543
2022-06-14,15496350,15496350,19371.44244
2022-06-15,15480900,15480900,19352.12893
2022-06-16,15465450,15465450,30031.00293
2022-06-17,15465450,15465450,30031.00293
2022-06-18,15449273.85,15449273.85,29999.59188
2022-06-19,15450000,15450000,30001.00193
2022-06-20,15447327.15,15447327.15,29995.81176
2022-06-21,15436357.65,15436357.65,29974.51105
2022-06-22,15442568.55,15442568.55,29986.57145
2022-06-23,15440776.35,15440776.35,35604.73321
2022-06-24,15450000,15450000,35626.00193
2022-06-25,15465450,15465450,35661.62793
2022-06-26,15465450,15465450,35661.62793
2022-06-27,15450000,15450000,35626.00193
2022-06-28,15496350,15496350,35732.87994
2022-06-29,15436867.5,15436867.5,35695.63483
2022-06-30,15465450,15465450,35761.72793
2022-07-01,15300521.25,15300521.25,35380.35286
2022-07-02,15527250,15527250,69823.38194
2022-07-03,15465450,15465450,69545.47793
2022-07-04,15465450,15465450,69545.47793
2022-07-05,15450000,15450000,71726.00193
2022-07-06,15443032.05,15443032.05,105428.43225
2022-07-07,15555000,15555000,8351.00193
2022-07-08,15555000,15555000,8251.00193
