Date,goldfinch-borrowed,goldfinch-Ethereum-borrowed,goldfinch-Ethereum
2021-08-26,5206154.70568,5206154.70568,14796495.9184
2021-08-27,5200853.90874,5200853.90874,14781430.58113
2021-08-28,5707499.93586,5707499.93586,14799812.46664
2021-08-29,5717883.44476,5717883.44476,14826737.06687
2021-08-30,5708418.76328,5708418.76328,14802194.70867
2021-08-31,5709296.27345,5709296.27345,14811249.54788
2021-09-01,7341355.2319,7341355.2319,14885420.47405
2021-09-02,7330983.63403,7330983.63403,14864390.89702
2021-09-03,7315895.64378,7315895.64378,12668545.29358
2021-09-04,12213879.61267,12213879.61267,7826925.11215
2021-09-05,12205688.81382,12205688.81382,7820678.91209
2021-09-06,12184077.03217,12184077.03217,7807831.81964
2021-09-07,12218369.33985,12218369.33985,7829807.10513
2021-09-08,12202942.78171,12202942.78171,7535968.09919
2021-09-09,12202942.78171,12202942.78171,7402410.84919
2021-09-10,12202942.78171,12202942.78171,7481807.84919
2021-09-11,12195657.62487,12195657.62487,7507112.76666
2021-09-12,12202942.78171,12202942.78171,7841669.44009
2021-09-13,12202942.78171,12202942.78171,7751221.19009
2021-09-14,12224216.1605,12224216.1605,7855339.18402
2021-09-15,12202942.78171,12202942.78171,7841584.46008
2021-09-16,12202942.78171,12202942.78171,7841669.44009
2021-09-17,12220318.31788,12220318.31788,12901508.25345
2021-09-18,12256861.02862,12256861.02862,20069168.86533
2021-09-19,12202942.78143,12202942.78143,22207588.68246
2021-09-20,12202942.78143,12202942.78143,23049379.11946
2021-09-21,12148383.42426,12148383.42426,23085725.3279
2021-09-22,12324972.20925,12324972.20925,23253764.97505
2021-09-23,12202942.78143,12202942.78143,22714798.11496
2021-09-24,12202942.78143,12202942.78143,22688780.34496
2021-09-25,12202942.78143,12202942.78143,22704603.69496
2021-09-26,12202942.78143,12202942.78143,22970067.87856
2021-09-27,12202942.78143,12202942.78143,23000982.09257
2021-09-28,12164100.81456,12164100.81456,22990790.23405
2021-09-29,12324972.20925,12324972.20925,23360621.31865
2021-09-30,12202942.78143,12202942.78143,23299169.73381
2021-10-01,12202942.78143,12202942.78143,23368986.76738
2021-10-02,12165858.03832,12165858.03832,23111657.05982
2021-10-03,12202942.78143,12202942.78143,25780822.24673
2021-10-04,12202942.78143,12202942.78143,25786092.64642
2021-10-05,12202942.78143,12202942.78143,25927069.76437
2021-10-06,12202942.75735,12202942.75735,26043405.46899
2021-10-07,12180245.28382,12180245.28382,25474747.93637
2021-10-08,12202942.75735,12202942.75735,25594274.25201
2021-10-09,12202942.75735,12202942.75735,25743988.20665
2021-10-10,12202942.75735,12202942.75735,25814447.91207
2021-10-11,12202942.75735,12202942.75735,25842046.69106
2021-10-12,12202942.75735,12202942.75735,25867949.45378
2021-10-13,12202942.75735,12202942.75735,23597849.41427
2021-10-14,12202942.75735,12202942.75735,23627717.34183
