Date,homecoin-Ethereum,homecoin-borrowed,homecoin-Ethereum-borrowed
2022-07-27,8042.18978,6746765.48801,6746765.48801
2022-07-28,2822.75483,6738238.9484,6738238.9484
2022-07-29,4856.5631,6730131.37262,6730131.37262
2022-07-30,10501.55582,6742949.58632,6742949.58632
2022-07-31,10783.15351,6733720.974,6733720.974
2022-08-01,812.14476,6736213.37295,6736213.37295
2022-08-02,985.9928,6749685.79969,6749685.79969
2022-08-03,6099.53905,6724362.10625,6724362.10625
2022-08-04,609.4843,6747452.94071,6747452.94071
2022-08-05,2609.98806,6740718.95574,6740718.95574
2022-08-06,5977.41177,6724443.16314,6724443.16314
2022-08-07,6345.39974,6739781.04648,6739781.04648
2022-08-08,6335.33965,6729095.69931,6729095.69931
2022-08-09,1340.39974,6739781.04648,6739781.04648
2022-08-10,5885.26772,6742347.36598,6742347.36598
2022-08-11,895.30772,6742347.36598,6742347.36598
2022-08-12,6956.40308,6734677.05949,6734677.05949
2022-08-13,614.49363,6723831.60552,6723831.60552
2022-08-14,617.10167,6741405.0086,6741405.0086
2022-08-15,616.4858,6734677.05949,6734677.05949
2022-08-16,890.49288,6734677.05949,6734677.05949
2022-08-17,673.19699,6740769.42524,6740769.42524
2022-08-18,672.52513,6734042.11045,6734042.11045
2022-08-19,971.85328,6727253.8572,6727253.8572
2022-08-20,1018.29125,6733981.11106,6733981.11106
2022-08-21,1018.29125,6733981.11106,6733981.11106
2022-08-22,518.3127,6740708.36491,6740708.36491
2022-08-23,584.53701,6721770.31826,6721770.31826
2022-08-24,1456.61735,6716235.64067,6716235.64067
2022-08-25,637.20632,6723085.94431,6723085.94431
2022-08-26,1246.07727,6738277.33003,6738277.33003
2022-08-27,540.59703,6739857.84406,6739857.84406
2022-08-28,538.88145,6718469.04295,6718469.04295
2022-08-29,538.98009,6719698.74782,6719698.74782
2022-08-30,521.22078,6725706.40456,6725706.40456
2022-08-31,2540.40527,6716781.00067,6716781.00067
2022-09-01,1833.26559,6703590.39972,6703590.39972
2022-09-02,4771.68331,6714166.36562,6714166.36562
2022-09-03,573.38008,6715146.77705,6715146.77705
2022-09-04,573.38008,6715146.77705,6715146.77705
2022-09-05,573.38008,6715146.77705,6715146.77705
2022-09-06,521.4576,6742007.36416,6742007.36416
2022-09-07,499.37008,6715146.77705,6715146.77705
2022-09-08,499.86945,6721861.92383,6721861.92383
2022-09-09,499.86945,6721861.92383,6721861.92383
2022-09-10,499.86945,6721861.92383,6721861.92383
2022-09-11,499.86945,6721861.92383,6721861.92383
2022-09-12,499.23125,6713279.96625,6713279.96625
2022-09-13,502.71008,6714260.65577,6714260.65577
2022-09-14,505.11604,6706492.25619,6706492.25619
2022-09-15,503.35113,6709587.08299,6709587.08299
2022-09-16,502.78285,6702011.95918,6702011.95918
2022-09-17,505.53743,6708181.67329,6708181.67329
2022-09-18,494.09473,6715736.0377,6715736.0377
2022-09-19,551.42037,6701942.27817,6701942.27817
2022-09-20,553.1073,6722445.06472,6722445.06472
2022-09-21,1521.32086,6699547.89867,6699547.89867
2022-09-22,505.82861,6708615.35029,6708615.35029
2022-09-23,505.82861,6708615.35029,6708615.35029
2022-09-24,505.82861,6708615.35029,6708615.35029
2022-09-25,505.19847,6700258.06424,6700258.06424
2022-09-26,516.86926,6722019.17716,6722019.17716
2022-09-27,505.82861,6708615.35029,6708615.35029
2022-09-28,506.33393,6715317.26373,6715317.26373
2022-09-29,506.83926,6722019.17716,6722019.17716
2022-09-30,505.64328,6700082.99133,6700082.99133
2022-10-01,506.14893,6706783.07432,6706783.07432
2022-10-02,506.65457,6713483.15731,6713483.15731
2022-10-03,580.62993,6699928.88942,6699928.88942
2022-10-04,580.64328,6700082.99133,6700082.99133
2022-10-05,505.01115,6692945.25474,6692945.25474
2022-10-06,504.7546,6689220.0317,6689220.0317
2022-10-07,1237.98828,6691149.90312,6691149.90312
2022-10-08,540.15868,6713595.18502,6713595.18502
2022-10-09,536.86324,6672636.3103,6672636.3103
2022-10-10,537.16442,6676379.71986,6676379.71986
2022-10-11,539.71054,6708025.2642,6708025.2642
2022-10-12,538.4593,6692473.62479,6692473.62479
2022-10-13,539.17191,6701330.62821,6701330.62821
2022-10-14,539.71054,6708025.2642,6708025.2642
2022-10-15,538.09734,6687974.8294,6687974.8294
2022-10-16,538.33649,6690947.24778,6690947.24778
2022-10-17,538.26377,6690043.47192,6690043.47192
2022-10-18,539.17191,6701330.62821,6701330.62821
2022-10-19,538.46253,6692513.79261,6692513.79261
2022-10-20,508.02074,6725676.48869,6725676.48869
2022-10-21,494.31327,6692215.41164,6692215.41164
2022-10-22,494.80759,6698907.62705,6698907.62705
2022-10-23,494.31327,6692215.41164,6692215.41164
2022-10-24,494.11703,6689558.60212,6689558.60212
2022-10-25,494.80759,6698907.62705,6698907.62705
2022-10-26,494.31327,6692215.41164,6692215.41164
2022-10-27,494.31327,6692215.41164,6692215.41164
