Date,ribbon-lend-borrowed,ribbon-lend-Ethereum-borrowed,ribbon-lend-Ethereum
2022-10-04,1449345.71257,1449345.71257,7673120.7303
2022-10-05,5266894.68902,5266894.68902,4107585.41973
2022-10-06,7962226.44112,7962226.44112,5943777.50662
2022-10-07,12026117.11048,12026117.11048,6526700.21066
2022-10-08,12569392.43389,12569392.43389,6669838.24055
2022-10-09,12551071.68005,12551071.68005,6375063.15831
2022-10-10,12232732.76647,12232732.76647,6126345.26831
2022-10-11,15450759.67346,15450759.67346,2962545.01366
2022-10-12,15998886.02342,15998886.02342,2932810.07166
2022-10-13,15996075.29165,15996075.29165,1822819.97027
2022-10-14,16866411.04304,16866411.04304,3691078.55808
2022-10-15,16821270.45111,16821270.45111,10408128.18385
2022-10-16,16835025.91618,16835025.91618,12977275.11067
2022-10-17,16839330.61118,16839330.61118,17086026.7372
2022-10-18,25664039.92257,25664039.92257,10141044.99435
2022-10-19,31186802.83508,31186802.83508,5315555.66
2022-10-20,31361341.7851,31361341.7851,10529597.57455
2022-10-21,35094280.95376,35094280.95376,7137525.98837
2022-10-22,35138488.81264,35138488.81264,7964135.25319
2022-10-23,35112982.58064,35112982.58064,9461585.62858
2022-10-24,35109482.48221,35109482.48221,11067347.6131
2022-10-25,35168884.22775,35168884.22775,10627890.43414
2022-10-26,35144251.87745,35144251.87745,12459660.8801
2022-10-27,35155353.24939,35155353.24939,13140459.76656
2022-10-28,39712122.39522,39712122.39522,10166779.45115
2022-10-29,52945270.94728,52945270.94728,10386385.45721
2022-10-30,53007108.32341,53007108.32341,10316141.4479
2022-10-31,53013105.88185,53013105.88185,13408970.94436
2022-11-01,52996503.30561,52996503.30561,14990408.12354
2022-11-02,53050967.3078,53050967.3078,16494151.02544
2022-11-03,53066434.62385,53066434.62385,17187338.71912
2022-11-04,53082275.1922,53082275.1922,17406471.23225
2022-11-05,52636856.92696,52636856.92696,17871465.98539
2022-11-06,53071074.39096,53071074.39096,22549846.21114
2022-11-07,55250595.83665,55250595.83665,20645623.52745
2022-11-08,55212167.00336,55212167.00336,9826544.50432
2022-11-09,27521306.6421,27521306.6421,5308309.30524
2022-11-10,19044840.84638,19044840.84638,2663008.13561
2022-11-11,18397963.90487,18397963.90487,4184935.5907
2022-11-12,15457877.64756,15457877.64756,2499995.00526
2022-11-13,11128317.29807,11128317.29807,8987888.4853
2022-11-14,11124581.01005,11124581.01005,8505256.17686
2022-11-15,11141639.09102,11141639.09102,10103839.45596
2022-11-16,11157181.31212,11157181.31212,16960446.47048
2022-11-17,11150458.73757,11150458.73757,17453429.3103
2022-11-18,11142546.3264,11142546.3264,17436404.99725
2022-11-19,11181628.28851,11181628.28851,16790028.74421
2022-11-20,11174899.45258,11174899.45258,16774042.41181
2022-11-21,11179334.41312,11179334.41312,16586879.91907
2022-11-22,11183763.7626,11183763.7626,15610467.40634
2022-11-23,11199374.65502,11199374.65502,15724891.8809
2022-11-24,11203814.69011,11203814.69011,15924281.01129
2022-11-25,11197071.06188,11197071.06188,15848011.69198
2022-11-26,11189304.69938,11189304.69938,18378665.86282
2022-11-27,11205960.99017,11205960.99017,18377277.64906
2022-11-28,11210413.55615,11210413.55615,23326371.58105
2022-11-29,11214868.34524,11214868.34524,22319907.98699
2022-11-30,11275365.50771,11275365.50771,22013893.03692
2022-12-01,11246209.54942,11246209.54942,22187622.44417
2022-12-02,11261895.66756,11261895.66756,22560620.81464
2022-12-03,11217446.04823,11217446.04823,22716356.24815
2022-12-04,11224880.16995,11224880.16995,24299688.74855
2022-12-05,11252869.19064,11252869.19064,24728175.82715
2022-12-06,11246107.53546,11246107.53546,20698713.69599
2022-12-07,11231310.03344,11231310.03344,19373647.60754
2022-12-08,11255044.05228,11255044.05228,19595399.32677
2022-12-09,11240313.92596,11240313.92596,19657880.94757
2022-12-10,36.29748,36.29748,30119008.20703
2022-12-11,36.31266,36.31266,28425915.04303
2022-12-12,36.34062,36.34062,28760694.24855
2022-12-13,36.35506,36.35506,32018657.33253
2022-12-14,36.35655,36.35655,32360021.94499
2022-12-15,36.38122,36.38122,30484021.00886
2022-12-16,36.4348,36.4348,26267868.34239
2022-12-17,36.44928,36.44928,25489309.67253
2022-12-18,36.42734,36.42734,22973648.27257
2022-12-19,36.44142,36.44142,23226092.08002
2022-12-20,36.4563,36.4563,20164996.04133
2022-12-21,36.4403,36.4403,18551350.31515
2022-12-22,36.55825,36.55825,17501709.02366
2022-12-23,36.53628,36.53628,16984688.82257
2022-12-24,36.51429,36.51429,16965480.96701
2022-12-25,36.56534,36.56534,16521095.00431
2022-12-26,36.61641,36.61641,19183161.83392
2022-12-27,36.59441,36.59441,19654467.07298
2022-12-28,36.54744,36.54744,20654597.96131
2022-12-29,36.58692,36.58692,19817140.19437
2022-12-30,36.60146,36.60146,19817039.35873
2022-12-31,36.61601,36.61601,20686907.25754
2023-01-01,36.6672,36.6672,18490998.82468
2023-01-02,36.64154,36.64154,18456183.42385
2023-01-03,36.65969,36.65969,18457992.3071
2023-01-04,36.67427,36.67427,17862483.27204
2023-01-05,36.72553,36.72553,17877439.03527
2023-01-06,36.74013,36.74013,17878515.57848
2023-01-07,36.71802,36.71802,15577167.51089
2023-01-08,36.76934,36.76934,15056521.91817
2023-01-09,36.74721,36.74721,14938847.26175
2023-01-10,36.79858,36.79858,14953788.11101
2023-01-11,36.73381,36.73381,14921265.74531
2023-01-12,37.08537,37.08537,15047582.90962
2023-01-13,36.84248,36.84248,14943085.80608
2023-01-14,36.89394,36.89394,14120497.15023
2023-01-15,36.90861,36.90861,14119480.90113
2023-01-16,36.99698,36.99698,13677797.65269
2023-01-17,36.86422,36.86422,13069774.38623
2023-01-18,36.86328,36.86328,13354346.31338
2023-01-19,36.8869,36.8869,13357592.7928
2023-01-20,36.90119,36.90119,13057516.19282
2023-01-21,36.88452,36.88452,11528153.88648
2023-01-22,37.01143,37.01143,9846142.83019
2023-01-23,36.98919,36.98919,9836316.34034
2023-01-24,36.96693,36.96693,9826489.85049
2023-01-25,36.94871,36.94871,9129139.97776
2023-01-26,36.8635,36.8635,9655204.36303
2023-01-27,37.01103,37.01103,9389991.43228
2023-01-28,37.02574,37.02574,9033834.12159
2023-01-29,37.0775,37.0775,9042867.95571
2023-01-30,37.0445,37.0445,8737205.61165
2023-01-31,37.10697,37.10697,8748462.37443
2023-02-01,37.12173,37.12173,8747443.59135
2023-02-02,37.13603,37.13603,8315951.31072
2023-02-03,37.15124,37.15124,8115751.31072
2023-02-04,37.16601,37.16601,7853114.68515
2023-02-05,37.12737,37.12737,7841403.397
2023-02-06,37.15785,37.15785,7155013.48629
2023-02-07,37.21035,37.21035,5258004.81766
2023-02-08,37.13224,37.13224,5244883.443
2023-02-09,37.20273,37.20273,4851515.32374
2023-02-10,37.21752,37.21752,4845454.48306
2023-02-11,37.23231,37.23231,4634161.78178
2023-02-12,37.24711,37.24711,4634161.78178
2023-02-13,37.09252,37.09252,4613094.88232
2023-02-14,37.27285,37.27285,4632672.58727
