Date,truefi-staking,truefi-Ethereum-borrowed,truefi-borrowed,truefi-Ethereum,truefi-Ethereum-staking
2020-11-22,,,,31636685,
2020-11-23,,,,33095569.67,
2020-11-24,,,,30986030.8,
2020-11-25,,,,27486443.43,
2020-11-26,,,,17219701.74,
2020-11-27,,,,1150234.14,
2020-11-28,,,,1701922.02,
2020-11-29,,,,2077172.21,
2020-11-30,,,,2097730.68,
2020-12-01,,,,2135305.6,
2020-12-02,,,,2290228.36,
2020-12-03,,,,3138396.26,
2020-12-04,,,,1774003.05,
2020-12-05,,,,2750283.8,
2020-12-06,,,,3906736.09,
2020-12-07,,,,2792190.37,
2020-12-08,,,,3608015.24,
2020-12-09,,,,4008431.69,
2020-12-10,,,,4629405.33,
2020-12-11,,,,1346120.3,
2020-12-12,,,,2231565.89,
2020-12-13,,,,5045847.58,
2020-12-14,,,,1666137.34,
2020-12-15,,,,2298406.85,
2020-12-16,,,,3165191.29,
2020-12-17,,,,3348847.3,
2020-12-18,,,,2487169.19,
2020-12-19,,,,2563120.69,
2020-12-20,,,,2477653.84,
2020-12-21,,,,2616660.2,
2020-12-22,,,,2866416.66,
2020-12-23,,,,2866416.66,
2020-12-24,,,,3672409.63,
2020-12-25,,,,3709900.15,
2020-12-26,,,,5214012.99,
2020-12-27,,,,5375396.69,
2020-12-29,,,,9002609.76,
2020-12-30,,,,9079491.46,
2020-12-31,,,,9098154.8,
2021-01-01,,,,2813665.87,
2021-01-02,,,,2945154.39,
2021-01-03,,,,3586550.86,
2021-01-04,,,,3844472.54,
2021-01-05,,,,5578667.27,
2021-01-06,,,,6202876.92,
2021-01-07,,,,7763157.01,
2021-01-08,,,,5138580.27,
2021-01-09,,,,5071916.64,
2021-01-10,,,,5646921.6,
2021-01-11,,,,4985660.81,
2021-01-12,,,,5678540.93,
2021-01-13,,,,11449294.37,
2021-01-14,,,,11709692.12,
2021-01-15,,,,6820865.18,
2021-01-16,,,,7273076.85,
2021-01-17,,,,6942286.04,
2021-01-18,,,,8058529.41,
2021-01-19,,,,9061098.88,
2021-01-20,,,,10142838.62,
2021-01-21,,,,8974688.59,
2021-01-23,0,,,7742884.95243,0
2021-01-24,0,,,9602736.08144,0
2021-01-25,0,,,9612761.57987,0
2021-01-26,0,,,11173199.26037,0
2021-01-27,0,,,9887144.20829,0
2021-01-28,0,,,9976114.65412,0
2021-01-29,0,,,10329313.40321,0
2021-01-30,0,,,10412382.21088,0
2021-01-31,0,,,11707003.72805,0
2021-02-01,0,,,11787536.7179,0
2021-02-02,0,,,11709301.57451,0
