Date,Individual_Stablecoin_Supply,Total_Chain_Supply,stablecoin_dominance
2020-12-30 19:00:00,3723974310.96,19526560545.14,19.07%
2020-12-31 19:00:00,3887615676.5,20048646166.99,19.39%
2021-01-01 19:00:00,4032332328.73,20322701409.99,19.84%
2021-01-02 19:00:00,4101275668.4,20437448407.31,20.07%
2021-01-03 19:00:00,4201727881.57,20712796404.49,20.29%
2021-01-04 19:00:00,4243468812.77,20730503258.61,20.47%
2021-01-05 19:00:00,4204574509.72,20902224134.65,20.12%
2021-01-06 19:00:00,4372802579.77,21334330480.89,20.50%
2021-01-07 19:00:00,4465396757.48,21674191029.27,20.60%
2021-01-08 19:00:00,4515478958.98,21898595003.34,20.62%
2021-01-09 19:00:00,4621879049.97,22184875290.29,20.83%
2021-01-10 19:00:00,4585058420.97,21923168605.27,20.91%
2021-01-11 19:00:00,4607700007.23,22184782759.27,20.77%
2021-01-12 19:00:00,4597408443.37,22404947451.6,20.52%
2021-01-13 19:00:00,4624801304.98,22670728546.64,20.40%
2021-01-14 19:00:00,4679244191.07,22676083923.55,20.64%
2021-01-15 19:00:00,4833442138.86,22864893527.19,21.14%
2021-01-16 19:00:00,4992372823.62,23074977421.72,21.64%
2021-01-17 19:00:00,5000752464.56,23141608959.74,21.61%
2021-01-18 19:00:00,5049788282.28,23162845221.53,21.80%
2021-01-19 19:00:00,5137028854.23,23375595968.47,21.98%
2021-01-20 19:00:00,5278771247.43,23489146661.34,22.47%
2021-01-21 19:00:00,5316890513.4,23408976627.7,22.71%
2021-01-22 19:00:00,5411629442.32,23644899883.44,22.89%
2021-01-23 19:00:00,5464235173.3,23758746453.15,23.00%
2021-01-24 19:00:00,5454174560.66,23822162234.22,22.90%
2021-01-25 19:00:00,5327644578.26,23861209250.3,22.33%
2021-01-26 19:00:00,5364360737.86,24115977862.39,22.24%
2021-01-27 19:00:00,5469150279.85,24211376329.07,22.59%
2021-01-28 19:00:00,5676659246.41,24846065964.22,22.85%
2021-01-29 19:00:00,5745914093.07,25337484486.57,22.68%
2021-01-30 19:00:00,5762357694.98,25389153732.73,22.70%
2021-01-31 19:00:00,5818608275.84,25487686931.51,22.83%
2021-02-01 19:00:00,5871305254.16,25468679152.62,23.05%
2021-02-02 19:00:00,5870814384.81,26321098995.83,22.30%
2021-02-03 19:00:00,6007114345.03,28462337695.76,21.11%
2021-02-04 19:00:00,6144846472.84,28814855591.76,21.33%
2021-02-05 19:00:00,6212261697.22,29216662336.92,21.26%
2021-02-06 19:00:00,6341691853.42,29369072938.36,21.59%
2021-02-07 19:00:00,6415933271.08,29794685913.69,21.53%
2021-02-08 19:00:00,6382643022.93,30016128525.05,21.26%
2021-02-09 19:00:00,6584544368.37,30455308965.06,21.62%
2021-02-10 19:00:00,6700000420.2,30611363904.94,21.89%
2021-02-11 19:00:00,6771837960.89,30690939037.58,22.06%
2021-02-12 19:00:00,6939819931.82,31042025478.28,22.36%
2021-02-13 19:00:00,7152759456.56,31338864748.96,22.82%
2021-02-14 19:00:00,7282662599.51,31389016221.92,23.20%
2021-02-15 19:00:00,7239525981.42,31413204241.55,23.05%
2021-02-16 19:00:00,7056361315.83,31363691788.72,22.50%
2021-02-17 19:00:00,7039887657.24,31684025371.78,22.22%
2021-02-18 19:00:00,7160208170.64,31892567757.74,22.45%
2021-02-19 19:00:00,7372861727.64,32477301613.56,22.70%
2021-02-20 19:00:00,7494827587.37,32728049133.92,22.90%
2021-02-21 19:00:00,7552343891.01,32722587996.64,23.08%
2021-02-22 19:00:00,7796496349.77,32683253536.89,23.85%
2021-02-23 19:00:00,7902382427.3,32790477057.49,24.10%
2021-02-24 19:00:00,8093061852,33057422917.06,24.48%
2021-02-25 19:00:00,8201999943.4,33112000499.71,24.77%
2021-02-26 19:00:00,8450682965.32,33351101302.8,25.34%
2021-02-27 19:00:00,8579670226.98,33475268356.39,25.63%
2021-02-28 19:00:00,8665511851.86,33875949389.25,25.58%
2021-03-01 19:00:00,8571507946.59,33896844037,25.29%
2021-03-02 19:00:00,8456761391.48,33985723174.67,24.88%
2021-03-03 19:00:00,8381174943.8,33807175335.65,24.79%
2021-03-04 19:00:00,8353491179.5,33764524108.53,24.74%
2021-03-05 19:00:00,8494763164.85,33919947222.35,25.04%
2021-03-06 19:00:00,8709769373.81,34007492245.3,25.61%
2021-03-07 19:00:00,8727025072.49,34151215343.14,25.55%
2021-03-08 19:00:00,8677049501.65,34051820773.6,25.48%
2021-03-09 19:00:00,8697517567.18,34379921615.2,25.30%
2021-03-10 19:00:00,8762546244.42,34528141979.67,25.38%
2021-03-11 19:00:00,8788304821.4,34679746074.29,25.34%
