Date,Individual_Stablecoin_Supply,Total_Chain_Supply,stablecoin_dominance
2020-12-30 19:00:00,3726406372.6,19559297838.5,19.05%
2020-12-31 19:00:00,3893410589.34,20060609045.05,19.41%
2021-01-01 19:00:00,4030246722.22,20362770483.4,19.79%
2021-01-02 19:00:00,4111944150.29,20513412495.87,20.05%
2021-01-03 19:00:00,4187290358.96,20707513277.83,20.22%
2021-01-04 19:00:00,4162394452.88,20609083298.46,20.20%
2021-01-05 19:00:00,4204437071.31,20939846425.87,20.08%
2021-01-06 19:00:00,4373929536.16,21455277364.06,20.39%
2021-01-07 19:00:00,4482501678.82,21710498475.35,20.65%
2021-01-08 19:00:00,4521776452.58,21940812868.21,20.61%
2021-01-09 19:00:00,4615646420.95,22257098578.22,20.74%
2021-01-10 19:00:00,4593196234.14,21967587792.84,20.91%
2021-01-11 19:00:00,4624912409.74,22337407710.31,20.70%
2021-01-12 19:00:00,4611488585.59,22467456172.8,20.53%
2021-01-13 19:00:00,4635586712.67,22738992978.16,20.39%
2021-01-14 19:00:00,4696667631.31,22675227152.06,20.71%
2021-01-15 19:00:00,4841660925.35,22885507301.73,21.16%
2021-01-16 19:00:00,4994597398.19,23109087071.17,21.61%
2021-01-17 19:00:00,4989332779,23097696828.66,21.60%
2021-01-18 19:00:00,5047622307.91,23164266275.66,21.79%
2021-01-19 19:00:00,5108423625.42,23308933393.64,21.92%
2021-01-20 19:00:00,5286807354.29,23471460454.56,22.52%
2021-01-21 19:00:00,5324277785.64,23426829991.97,22.73%
2021-01-22 19:00:00,5419148344.56,23663032178.27,22.90%
2021-01-23 19:00:00,5462421712.34,23736255695.26,23.01%
2021-01-24 19:00:00,5458574588.92,23825253488.55,22.91%
2021-01-25 19:00:00,5322529924.12,23872493088.94,22.30%
2021-01-26 19:00:00,5363649068.63,24166012634.98,22.20%
2021-01-27 19:00:00,5472160350.5,24255302621.32,22.56%
2021-01-28 19:00:00,5635472364.03,24770548228.44,22.75%
2021-01-29 19:00:00,5733251799.13,25237243495.7,22.72%
2021-01-30 19:00:00,5742216926.48,25295924854.94,22.70%
2021-01-31 19:00:00,5802763845.5,25481357230.93,22.77%
2021-02-01 19:00:00,5860606863.27,25411290428.17,23.06%
2021-02-02 19:00:00,5864792328.42,26329527309.13,22.27%
2021-02-03 19:00:00,6005166213.17,28465637365.55,21.10%
2021-02-04 19:00:00,6114854976.29,28797858102.74,21.23%
2021-02-05 19:00:00,6218282354.77,29273610775.36,21.24%
2021-02-06 19:00:00,6345399802.53,29359415916.8,21.61%
2021-02-07 19:00:00,6388269712.12,29736620143.02,21.48%
2021-02-08 19:00:00,6397010400.8,30091689899,21.26%
2021-02-09 19:00:00,6594766788.04,30380268280.97,21.71%
2021-02-10 19:00:00,6678416994.45,30550697679.99,21.86%
2021-02-11 19:00:00,6750731783.29,30624574081.56,22.04%
2021-02-12 19:00:00,6933549130.17,30979598872.22,22.38%
2021-02-13 19:00:00,7148154580.08,31307805630.89,22.83%
2021-02-14 19:00:00,7256216323.14,31285781265.46,23.19%
2021-02-15 19:00:00,7234779333.61,31409904322.19,23.03%
2021-02-16 19:00:00,7066837503.53,31407113490.14,22.50%
2021-02-17 19:00:00,7033392320.81,31700287979.15,22.19%
2021-02-18 19:00:00,7174858206.06,31916436709.46,22.48%
2021-02-19 19:00:00,7410067143.46,32675493966.1,22.68%
2021-02-20 19:00:00,7560517565.84,32925219133.74,22.96%
2021-02-21 19:00:00,7572010356.63,32838312417.27,23.06%
2021-02-22 19:00:00,7839954018.26,32867467178.92,23.85%
2021-02-23 19:00:00,7949776868.8,32959559139.27,24.12%
2021-02-24 19:00:00,8133250501.58,33339517098.11,24.40%
2021-02-25 19:00:00,8141918466.25,33106243396.57,24.59%
2021-02-26 19:00:00,8509906286.05,33605797685.68,25.32%
2021-02-27 19:00:00,8657611663.75,33496220724.23,25.85%
2021-02-28 19:00:00,8641553805.15,34069121880.98,25.36%
2021-03-01 19:00:00,8593827062.63,34110777479.4,25.19%
2021-03-02 19:00:00,8508877601.52,34244901414.44,24.85%
2021-03-03 19:00:00,8355218839.77,33765692990.22,24.74%
2021-03-04 19:00:00,8433096111.75,33947735154.41,24.84%
2021-03-05 19:00:00,8532820568.51,33953242268.18,25.13%
2021-03-06 19:00:00,8710160895.19,34053741755.06,25.58%
2021-03-07 19:00:00,8748205976.31,34250626952.69,25.54%
2021-03-08 19:00:00,8708806159.13,34115762940.64,25.53%
2021-03-09 19:00:00,8713082526.41,34461211025.57,25.28%
2021-03-10 19:00:00,8744090977.36,34444400775.99,25.39%
2021-03-11 19:00:00,8780711257.36,34731003707.24,25.28%
2021-03-12 19:00:00,8952912052.52,35039230399.79,25.55%
2021-03-13 19:00:00,8880033192.88,34979772715.96,25.39%
2021-03-14 20:00:00,8895561247.24,35032529765.58,25.39%
2021-03-15 20:00:00,8951564504.09,34702871573.02,25.79%
2021-03-16 20:00:00,9023655973.83,35063532463.77,25.74%
2021-03-17 20:00:00,9105581177.51,35360511338.53,25.75%
