date,total_circulating_usd,total_minted_usd,total_bridged_to_usd
2020-12-30,19559297838.5,19927590563.72,133578118.32
2020-12-31,20060609045.05,20444807672.36,128739781.06
2021-01-01,20362770483.4,20756071514.99,124877673.55
2021-01-02,20513412495.87,20920928243.63,122158563.53
2021-01-03,20707513277.83,21086571584.76,121240869.51
2021-01-04,20609083298.46,21019290213.4,121307525.53
2021-01-05,20939846425.87,21352008305.13,122712645.11
2021-01-06,21455277364.06,21891428036.91,122824753.07
2021-01-07,21710498475.35,22140507817.63,124659893.5
2021-01-08,21940812868.21,22351434079.87,123827099.98
2021-01-09,22257098578.22,22605582492.23,122748113.17
2021-01-10,21967587792.84,22335384572.4,122747022.91
2021-01-11,22337407710.31,22631294756.93,123811581.99
2021-01-12,22467456172.8,22758695394.14,122775760.85
2021-01-13,22738992978.16,23041639952.66,123626319.15
2021-01-14,22675227152.06,22977804147.78,124383723.74
2021-01-15,22885507301.73,23172378692.7,123218818.5
2021-01-16,23109087071.17,23404155079.19,122345169.77
2021-01-17,23097696828.66,23397425248.7,122853799.41
2021-01-18,23164266275.66,23452874654.54,127642170.76
2021-01-19,23308933393.64,23634227780.68,127676571.68
2021-01-20,23471460454.56,23772222929.18,139293276.43
2021-01-21,23426829991.97,23709587412.18,141492853.04
2021-01-22,23663032178.27,23919052449.74,143679706.93
2021-01-23,23736255695.26,23995901217.2,144566912.2
2021-01-24,23825253488.55,24098295147.17,147313459.46
2021-01-25,23872493088.94,24171791467.15,147683245.15
2021-01-26,24166012634.98,24536930288.21,152756870.86
2021-01-27,24255302621.32,24664747241.8,152307258.83
2021-01-28,24770548228.44,25181187964.59,146896091.7
2021-01-29,25237243495.7,25658017079.4,152921292.36
2021-01-30,25295924854.94,25721181625.05,153453251.48
2021-01-31,25481357230.93,25898365286.39,149486877.96
2021-02-01,25411290428.17,25822456713.95,155614291.46
2021-02-02,26329527309.13,26722879498.14,159080069.3
2021-02-03,28465637365.55,28827091606.93,160882816.56
2021-02-04,28797858102.74,29152074806.4,165086497.55
2021-02-05,29273610775.36,29607354594.06,168129785.79
2021-02-06,29359415916.8,29709059849.84,167879552.26
2021-02-07,29736620143.02,30077405053.62,171861997.88
2021-02-08,30091689899,30477976997.36,180141734.06
2021-02-09,30380268280.97,30809705714.37,189272690.6
2021-02-10,30550697679.99,31024948753.07,191164443.34
2021-02-11,30624574081.56,31125331135.03,194981100.79
2021-02-12,30979598872.22,31503613353.92,204034693.64
2021-02-13,31307805630.89,31822769603.81,208473588.67
2021-02-14,31285781265.46,31822238687.11,221016139.39
2021-02-15,31409904322.19,31889264375.35,231283340.59
2021-02-16,31407113490.14,31894174235.47,240736525.12
2021-02-17,31700287979.15,32242819697.28,252880677.8
2021-02-18,31916436709.46,32570902579.4,249052951.29
2021-02-19,32675493966.1,33409655096.43,252803045.62
2021-02-20,32925219133.74,33777926536.93,250172069
2021-02-21,32838312417.27,33830534586.18,252411082.75
2021-02-22,32867467178.92,34110882984.87,258410499.22
2021-02-23,32959559139.27,34269012484.4,258886553.97
2021-02-24,33339517098.11,34796083991.2,265684200.37
2021-02-25,33106243396.57,34605474553.49,274570455.98
2021-02-26,33605797685.68,35147465648.7,276775975.74
2021-02-27,33496220724.23,35055594296.91,276549348.98
2021-02-28,34069121880.98,35679949732.85,276426257.76
2021-03-01,34110777479.4,36120948135.71,291141106.37
2021-03-02,34244901414.44,36276813344.1,293803816.24
2021-03-03,33765692990.22,35965161731.39,295976790.61
2021-03-04,33947735154.41,36399461894.37,295333744.6
2021-03-05,33953242268.18,36590292524.95,299484653.99
2021-03-06,34053741755.06,36675056677,299640250.22
2021-03-07,34250626952.69,36791130312.73,313077410.91
2021-03-08,34115762940.64,36707681967.46,310025110.39
2021-03-09,34461211025.57,37063582739.56,311216520.21
2021-03-10,34444400775.99,37063394876.81,305519512.46
2021-03-11,34731003707.24,37437636929.2,323002310.41
2021-03-12,35039230399.79,37716053249.81,337652980.76
2021-03-13,34979772715.96,37727420642.22,339812278.71
2021-03-14,35032529765.58,37776733716.98,332120787.53
2021-03-15,34702871573.02,38079799966.58,352635748.68
2021-03-16,35063532463.77,38463367420.87,361554385.7
2021-03-17,35360511338.53,38775570825.66,361827054.51
2021-03-18,35677401107.43,39050967259.68,396396830.14
2021-03-19,35888515385.37,39240157266.79,399836263.19
2021-03-20,35988715136.1,39438606982.38,399402564.73
2021-03-21,36167668979.85,39607254991.08,397751611.53
2021-03-22,36378960174.58,39812014516.37,397377172.57
2021-03-23,36263431832.69,39722594142.24,401508006.04
2021-03-24,36402179263.24,39879276034.47,401407578.7
2021-03-25,36517518418.47,40055417202.12,401663085.18
2021-03-26,36956755470.85,40544700405.1,439116890.9
2021-03-27,36625981900.11,40726970814.46,438118782.99
2021-03-28,36668804636.36,40958601635.13,457018546.22
2021-03-29,36487753171.48,40799414898.86,452781159.43
2021-03-30,36832056370.65,41092769060.99,458551643.64
2021-03-31,36715767392.68,40944256500.69,457726941.84
2021-04-01,36301657921.03,41458759167.42,471225107.36
2021-04-02,36585645536.56,41704941967.5,474290630.64
2021-04-03,38980022703.7,44304532402.23,477437393.93
2021-04-04,38713920607.71,44292432948.56,482668202.25
2021-04-05,38833057748.22,44666509106.2,467272133.03
2021-04-06,39142265203.57,45009116929.84,466427880.52
2021-04-07,38965090070.87,44824797678.81,482756467.46
2021-04-08,39665208090.6,45546993050.77,504466775.38
2021-04-09,40131784886.2,46021070155.74,502243947.75
2021-04-10,40076023138.65,46088081178.8,491993260.01
2021-04-11,40120217925.79,46160737447.86,466395506.05
2021-04-12,39718901228.63,46178726348.94,475493713.42
2021-04-13,40313190169.63,46821834399.84,473780455.22
2021-04-14,40801779928.57,47425255818.42,474451744.17
2021-04-15,41312301283.3,48347455443.83,497888799.95
2021-04-16,42140638134.45,49642979478.24,505376308.17
2021-04-17,42708745318.89,50590489426.3,513223670.23
2021-04-18,43072941945.96,51236298162.33,519860082.83
2021-04-19,43136573043.85,51338862358.61,520685976.54
2021-04-20,44124058756.77,52496810522.96,523981180.31
2021-04-21,44062162087.93,52684572882.67,521426251.9
2021-04-22,43820224703.57,52506133846.17,532295535.89
2021-04-23,44453867687.73,53181275749.18,537988143.96
2021-04-24,44530331970.34,53255251736.89,536188551.77
2021-04-25,45154256259.54,53932311764.56,536188369.53
2021-04-26,45543025535.54,54365342529.29,545955576.19
2021-04-27,45304120287.35,54147237510.26,548848861.39
2021-04-28,45794604143.3,54742090647,551592500.93
2021-04-29,45351381293.97,54526963457.73,556735610.01
2021-04-30,45626599486.73,55027325379.52,556403606.3
2021-05-01,46017021389.29,55514636936.96,557505423.01
2021-05-02,45336935833.98,55314072220.82,556495523.41
2021-05-03,46163973080.61,56137394529.33,562772478.26
2021-05-04,46346632353.6,56252503458.97,562663008.45
2021-05-05,46953263543.1,57007279882.56,585483714.73
2021-05-06,47492719101.73,57635471501.89,583253928.28
2021-05-07,47976272872.12,58122797123.81,583830815.17
2021-05-08,48267323884.01,58487130606.33,582876094.94
2021-05-09,48606484725.7,58794764265.51,585956276.84
2021-05-10,49110076436.18,59381963483.85,595500944.73
2021-05-11,49651458706.43,59941102020.54,602671389.66
2021-05-12,49508519503.82,59744154941.24,598674586.47
2021-05-13,49090613186.46,59483636745.23,612393482.44
2021-05-14,49618993438.19,60035404566.57,640239373.79
2021-05-15,49729787592.57,60320073932.23,636515385.56
2021-05-16,49832995147.86,60509195945.27,650022856
2021-05-17,50853230046.24,61573711376.99,647837556.11
2021-05-18,50652418856.09,61343617362.34,653249004.12
2021-05-19,50253415604.24,60840939118.55,644145976.01
2021-05-20,51835539512.73,62633773969.85,664852901.52
2021-05-21,53020317764.45,63762259515.99,677529364.22
2021-05-22,53224521241.36,63955020396.62,651579773.95
2021-05-23,53303844491.3,63923878254.2,646232305.22
2021-05-24,53628438686.67,64338433036.9,640395611.5
2021-05-25,54238385995.08,65076083474.85,668437993.82
2021-05-26,54892621386.82,65822693727.12,656711737.65
2021-05-27,55125339225.65,66118027388.42,661222396.85
2021-05-28,55332230090.53,66508425985.37,605532799.84
2021-05-29,55164232894.33,66365216819.88,572566625.44
2021-05-30,55449927548.72,66751297493.01,557230385.98
2021-05-31,57559810688.42,68993279478.74,553399647.92
2021-06-01,58790985360.97,70279743304.86,535640099.85
2021-06-02,58803580277.92,70298090182.48,550203751.59
2021-06-03,59055487670.21,70578686926.74,565065114.92
2021-06-04,59430664960.78,70945336176.14,586530399.57
2021-06-05,59793978600.19,71330305447.14,593272036.86
2021-06-06,60283610115.21,71864372488.18,608516935.68
2021-06-07,59937687441.33,71415697167.69,593903304.63
2021-06-08,60151060303.23,71742359747.75,604724933.46
2021-06-09,60136538952.97,71737375269.25,610881152.08
2021-06-10,60090814728.28,71902346732.03,606830616.69
2021-06-11,60164054795.22,72035103151.56,618012611.53
2021-06-12,60205897349.52,72195865720.59,616764684.59
2021-06-13,60401134672.22,72503322518.1,619786601.15
2021-06-14,60202276024.77,72612582598.8,625219316.51
2021-06-15,60055409818.91,72682582869.55,620162779.74
2021-06-16,59635362297.32,72119226497.11,612048852.78
2021-06-17,59851114356.98,72311392838.75,623743288.69
2021-06-18,60086632653.42,72389265684.78,634468546.59
2021-06-19,60231828170.21,72542821294.57,638388325.12
2021-06-20,61002799865.88,73218947565.12,654569332.34
2021-06-21,60811783387.38,72816933377.29,640309354.85
2021-06-22,61648910466.64,73537212909.65,644042949.37
2021-06-23,61832703306.86,73719061946.13,647625424.02
2021-06-24,62129518609.44,73942263746.76,629665901.66
2021-06-25,62268230874.19,74075780638.24,650577302.55
2021-06-26,62525746624.24,74291093582.64,642383048.03
2021-06-27,62755672232.18,74500875464.87,650489826.32
2021-06-28,62098241656.27,73866421873.59,644611510.2
2021-06-29,61805083574.32,73557827798.71,638360384.7
2021-06-30,62131651370.67,73951078230.54,644580849.37
2021-07-01,62435067124.02,74228685618.48,642425600.41
2021-07-02,62974823799.95,74717254372.67,641130731.77
2021-07-03,62963003519.34,74702682860.32,644344443.61
2021-07-04,62815174234.34,74493148955.92,645504858.29
2021-07-05,63247344153.13,74915140402.1,649914106.41
2021-07-06,63614337146.05,75253714124.61,656021018.89
2021-07-07,63563091497.24,75178068473.83,649657581.83
2021-07-08,63757141109.05,75392823626.34,640516038.04
2021-07-09,63737737803.85,75414725578.43,642091780.44
2021-07-10,63809674114.78,75494252697.36,630722766.16
2021-07-11,63685550354.7,75375263799.65,632115537.48
2021-07-12,62797792730.78,75556814411.9,633148877.41
2021-07-13,62831390487.51,75662281362.87,617355752.24
2021-07-14,63534842609.63,75856381372.77,607293804.54
2021-07-15,63632444954.77,75942046236.04,604528081.01
2021-07-16,63075233739.95,75383795568.43,606921445.86
2021-07-17,63226545573.07,75631204958.06,621082935.48
2021-07-18,63554302276.9,75930640107.13,617699167.62
2021-07-19,63743616308.27,75713058036.2,610252156.6
2021-07-20,63783655471.38,75893562117.32,603495999.72
2021-07-21,64157839624.63,76329709322.64,598981563.08
2021-07-22,63842148053.88,76104322469.49,601379467.57
2021-07-23,64031359642.97,76314737226.62,608452753.26
2021-07-24,64358099073,76643555558.19,605580012.64
2021-07-25,64493812323.66,76807482741.46,606839599.61
2021-07-26,64552425534.65,76765203540.93,601881751.23
2021-07-27,65010749850.11,77199053050.38,607639111.92
2021-07-28,64829701297,76915884183.12,606353546.69
2021-07-29,65013396670.89,77146899578.55,605237210.83
2021-07-30,65438584607.75,77569004727.96,632895536.08
2021-07-31,65227694292.47,77276749435.49,625693033.52
2021-08-01,65179906292.95,77229292058.42,624134293.62
2021-08-02,65160333502.71,77242746791.63,625541605.32
2021-08-03,65263658593.51,77338141652.18,643620955.94
2021-08-04,66084935424.78,78043161953.17,636122256.71
2021-08-05,66619907273.81,78513374646.84,627086504.59
2021-08-06,66860243606.38,78735831928.52,628022923.1
2021-08-07,67238435683.59,79073599191.11,634206124.64
2021-08-08,67381426223.72,79149406282.62,631754579.53
2021-08-09,67116329424.73,78913393321.44,632321210.61
2021-08-10,66892974729.58,78662032236.85,642219689.62
2021-08-11,67094132362.68,78770526248.65,670044992.23
2021-08-12,67192724927.03,78866553180.48,674998137.71
2021-08-13,66859002958.13,78614833922.7,663249780.07
2021-08-14,66914605101.44,78646612516.26,668172766.57
2021-08-15,66990121571.11,78742460283.18,672906348.34
2021-08-16,66962945458.81,78735546062.04,657393694.5
2021-08-17,66849097048.62,78579465681.21,667219506.52
2021-08-18,67069397949.71,78796542271.79,677215350.33
2021-08-19,67456039452.82,79205702631.93,708244717.96
2021-08-20,67352609777.18,79029647602.05,694635696.99
2021-08-21,67308700609.61,78920422889.17,688966949.65
2021-08-22,67620585635.36,79335097100.39,697962156.03
2021-08-23,67675236017.04,79406860045.09,700171922.27
2021-08-24,69444545573.7,81220118622.8,732677080.74
2021-08-25,69524265558.34,81302012593.65,738933197.28
2021-08-26,69449735178.45,81305965030.05,737490806.6
2021-08-27,69735456435.25,81610981747.61,758784129.06
2021-08-28,69809520371.01,81734512539.45,756817179.67
2021-08-29,69705167824.35,81651183602.13,754426725.89
2021-08-30,69505047988.39,81523875878.64,762445442.75
2021-08-31,70074876046.03,82126373110.55,757184606.23
2021-09-01,70265067408.65,82257742975.63,755868971.78
2021-09-02,70442466343.51,82395817293.13,766524955.28
2021-09-03,70550011849.98,82551115461.65,763213942.24
2021-09-04,70600999536.51,82617570631.07,737272323.92
2021-09-05,70816859708.35,82807448402.01,748626761.89
2021-09-06,70876766493.22,82859218694.24,752116409.18
2021-09-07,71297557412.58,83431704751,754282130.66
2021-09-08,71366286432.25,83442360354.8,779658285.83
2021-09-09,71475203255.63,83693286011.82,802897028.15
2021-09-10,71285642261.28,83450048463.68,813975831.67
2021-09-11,71406702652.8,83623189428.96,833667104.94
2021-09-12,71403936184.19,83715036493.95,832603194.08
2021-09-13,71104897764.05,83484574776.13,827205912.67
2021-09-14,71072063149.74,83775132200.09,840791848.51
2021-09-15,71053926229.03,83795882561.08,840173722.68
2021-09-16,71093566283.67,83920483902.73,831304672.4
2021-09-17,71352649902.85,84239124078.98,838312077.73
2021-09-18,71252874049.07,84300876054.05,835691369.84
2021-09-19,71410129104.1,84565250219.64,833075526.98
2021-09-20,70917482876.16,84032764311.78,838417012.33
2021-09-21,70895327717.52,83922290389.68,835360841.47
2021-09-22,71573690511.55,84765816970.93,843167651.18
2021-09-23,72175541852.55,85562218495.67,842301801.3
2021-09-24,72632871536.3,86083935684.47,843159471.85
2021-09-25,72916377824.8,86416329611.57,838705431.71
2021-09-26,73217994154.34,86771678373.79,832744757.47
2021-09-27,72326401564.41,85772918907.28,822945454.57
2021-09-28,72247486315.62,85722083591.54,825437410.81
2021-09-29,72431674652.2,85915105468.04,827465234.97
2021-09-30,72297993421.29,85629781523.2,814017985.6
2021-10-01,72389324682.22,85709013427.86,802967155.56
2021-10-02,72533106486.68,85880353548.93,791625043.81
2021-10-03,72757389345.99,86123373686.6,780204680.86
2021-10-04,72684002325.74,86054102113.71,771218484.3
2021-10-05,73064907302.88,86481089256.54,774024029.8
2021-10-06,72494707216.3,86559077264.7,763815692.99
2021-10-07,72363554008.01,86896759459.73,761566287.24
2021-10-08,72323371919.05,87108130508.29,785505964.58
2021-10-09,72504181857.13,87397986458.04,780751648.86
2021-10-10,72585105621.89,87498492086.65,781049854.23
2021-10-11,73291321808.95,88228102587.24,784300384.84
2021-10-12,72700885079.09,87670521365.09,781723446.47
2021-10-13,73207775606.78,88244295272.55,824006863.67
2021-10-14,73374311361.73,88369447608.03,825634364.58
2021-10-15,73370450831.54,88295872866.34,819569659.91
2021-10-16,73494841077.49,88248612182.77,812443537.62
2021-10-17,73520896690,88297860233.47,810869104.9
2021-10-18,72868885882.42,87727140066.13,801777905.96
2021-10-19,73240902787.66,88063167863.28,803791733.1
2021-10-20,73689458520.02,88583277207.21,833620840.42
2021-10-21,73706601226.63,88596362388.83,828507990.01
2021-10-22,73935060155.15,88955721799.84,818087300.83
2021-10-23,73997854159.83,89047002064.76,822416369.58
2021-10-24,74031392925.13,89084789472.21,814161664.2
2021-10-25,73911906231.03,89143131156.2,816520412.37
2021-10-26,73882924991.57,88783541328.22,816196884.18
2021-10-27,74179698354.81,89629530081.66,823916021.28
2021-10-28,74398359325.2,89834532288.04,810372548.86
2021-10-29,75303168008.21,90842136304.6,774316994.36
2021-10-30,75425958424.17,91148574823.51,770679860.16
2021-10-31,75406977576.01,91134918784.86,767480251.38
2021-11-01,75991636145.95,91803233452.7,767963906.91
2021-11-02,76917957729.43,92651391105.7,759308487.61
2021-11-03,76825035025.96,92653786333.49,752770250.18
2021-11-04,78062853682.04,94014364882.74,760499191.77
2021-11-05,78384698446.88,94357787106.84,755697914.2
2021-11-06,78315602785.72,94373717888.97,761069093.6
2021-11-07,78395570049.72,94489631614.45,769958416.36
2021-11-08,78324196567.39,94636145622.66,762405693.32
2021-11-09,80731540644.44,96936405497.61,772370232.1
2021-11-10,80744088266.1,96937602266.4,771565069.69
2021-11-11,80322337296.85,96455620058.13,777670151.11
2021-11-12,80392058558.29,96710225052.64,785934895.11
2021-11-13,80482741750.32,96816264990.37,776330269.99
2021-11-14,81002828757.51,97402300317.56,791080500.36
2021-11-15,80380365889.1,96887645735.58,786159123.22
2021-11-16,80775879553.07,97513336036.54,823679207.36
2021-11-17,80501240191.94,97463602580.63,840848793.95
2021-11-18,80303693567.53,97053845882.95,903688974.26
2021-11-19,81233660359.23,98176258974.63,903844427.85
2021-11-20,81615704913.41,98676342508.91,900636872.72
2021-11-21,81053952876.23,98190662640.38,927663775.82
2021-11-22,80483774714.91,97726821358.92,933219353.28
2021-11-23,80748708485.84,98172803149.56,931661090.74
2021-11-24,81030099511.55,98713019438.76,913925377.16
2021-11-25,81063038660.96,98675125047.91,930710727.46
2021-11-26,81441742248.76,99173304685.67,938063785.91
2021-11-27,81663123631.75,99436221695.11,943410804.44
2021-11-28,81763477167.51,99527151807.56,949075468.7
2021-11-29,82179000164.39,100016661696.96,939080360.63
2021-11-30,83888143028.87,101521261187.88,1171750557.45
2021-12-01,84506729012.03,102435062843.59,1034282590.49
2021-12-02,84613405710,102406711889.22,1072691048.32
2021-12-03,84807934573.23,102705715758.61,1111413534.45
2021-12-04,85103509219.42,103097342925.52,1113258070.88
2021-12-05,85614435376.46,103506402187.38,1239827919.86
2021-12-06,84952799337.9,103002165777.43,1215684393.63
2021-12-07,85266361322.64,103351711009.53,1227159095.18
2021-12-08,85331470946.52,103298486747.3,1398945540.79
2021-12-09,87532490850.09,105448486421.64,1476409116.91
2021-12-10,87891211696.61,105680774899.24,1529206666.15
2021-12-11,88381907854.76,106131148315.22,1561082919.83
2021-12-12,88632984635.35,106306009180.71,1522879529.74
2021-12-13,88446723942.69,106073482550.11,1562633855.41
2021-12-14,88910679505.15,106632707683.85,1554039446.32
2021-12-15,89098749749.64,106649237315.06,1530505116.69
2021-12-16,88740125293.09,106335072807.14,1479216455.9
2021-12-17,88720373471.67,106506286297.61,1402321382.12
2021-12-18,89097871479.95,106950756021.93,1357391311.11
2021-12-19,88983358889.85,106749030988.36,1439388883.1
2021-12-20,89427704301.68,107377930161.17,1505440479.12
2021-12-21,89569231011.78,107828691281.11,1145368149.4
2021-12-22,89617804064.78,107805901586.14,1265150868.94
2021-12-23,91427219640.93,109603668827.22,1374096207.38
2021-12-24,91310555242.56,109492357998.61,1362497210.36
2021-12-25,91280563253.56,109430938646.37,1403102776.48
2021-12-26,91375627241.72,109513333889.89,1452324408.14
2021-12-27,91377479654.47,109461131736.13,1441193073.28
2021-12-28,91037957691.81,109095237989.48,1439981078.62
2021-12-29,90904298328.09,109031114392.71,1417017878.65
2021-12-30,90237710368.75,108432511023.49,1426913171.61
2021-12-31,89887433381.14,108039591133.73,1414677866.04
2022-01-01,90445308970.57,108801659633.79,1392033499.47
2022-01-02,90203848855.17,108542462632.57,1374370388.03
2022-01-03,90198750094.1,108555232159.69,1459427105.57
2022-01-04,89879030576.81,108436205289.81,1487801108
2022-01-05,90011893657.5,108547170469.13,1482601632.44
2022-01-06,89901451309.16,108504908199.5,1472879856.72
2022-01-07,90599531711.1,109154542949.38,1464433212.42
2022-01-08,90175598524.1,108668777148.83,1422295144.65
2022-01-09,90225753578.86,108784902859.71,1437082650.54
2022-01-10,90545665474.53,109153986251.7,1439959755.22
2022-01-11,90776114616.21,109393376804.36,1432418722.14
2022-01-12,91462677134.25,110137946419.17,1431636712.52
2022-01-13,91673817572.5,110464159330.25,1440420970.07
2022-01-14,92011909103.14,110945833976.64,1424385236.54
2022-01-15,91698658448.36,111186129534.96,1426567699.49
2022-01-16,91766078749.76,111232924197.52,1449057711.47
2022-01-17,91796148332.64,111316257211.45,1463535717.78
2022-01-18,91513697967.52,111309504628.67,1468495410.17
2022-01-19,91397234475.03,111895841891.89,1427900378.23
2022-01-20,90989257564.53,112046454199.46,1336641051.01
2022-01-21,90669145474.5,112334175364,1431749004.28
2022-01-22,92544207788.55,114619589251.48,1504826919.01
2022-01-23,92442496819.49,114683661872.88,1502926095.34
2022-01-24,93009604718.04,115040644737.19,1469601060.26
2022-01-25,94028501738.38,115452598808.76,1394588089.96
2022-01-26,94816441157.49,116121473108.66,1395040022.15
2022-01-27,95263041088.04,116018072426.64,1646641049.19
2022-01-28,94892466539.13,115469801577.13,1785272385.29
2022-01-29,95387307837.82,115994678880.84,1869709336.52
2022-01-30,95253184658.91,115883295815.67,1895063103.67
2022-01-31,95468948220.69,116280457361.87,1757652777.67
2022-02-01,95834713509.02,116763654637.16,1759466115.15
2022-02-02,96405744666.37,117424403652.21,1746043548.75
2022-02-03,97049341152.31,118067474436.86,1823316925.72
2022-02-04,98223416800.44,119352309737.23,1810136732.67
2022-02-05,97668242232.49,118566460975,1843263496.79
2022-02-06,97890043583.09,118899164318.05,1766954453.67
2022-02-07,98326071040.78,119547296827.17,1749182421.28
2022-02-08,98871094795.86,120184453536.43,1685242198.49
2022-02-09,99354815008.21,120732476562.75,1694182215.95
2022-02-10,99577999000.8,121114938128.5,1578684115.77
2022-02-11,100107345880.8,121517970918.12,1596710966.59
2022-02-12,99984336325.46,121372770304.08,1557452298.77
2022-02-13,99950702314.07,121331265250.37,1557372034.58
2022-02-14,99848869691.67,121218613492.39,1437715639.87
2022-02-15,100357381232,121684741906.45,1429878774.22
2022-02-16,100093486264.23,121462660749.98,1393889480.74
2022-02-17,100094166151.52,121328064033.1,1398706117.06
2022-02-18,100665052841.29,121928190276.28,1338035551.06
2022-02-19,100781809456.71,122128775486.25,1290070788.07
2022-02-20,100515022462.4,121822893382.08,1286835223.93
2022-02-21,100618984011.96,121821472862.18,1262094954.14
2022-02-22,100690227328.33,121961402553.13,1197234708.63
2022-02-23,100665187339.54,122146569909.92,1205961390.3
2022-02-24,100222015904.99,122125180038.33,1147472541.04
2022-02-25,99909785786.11,122043988772.91,1137592410.27
2022-02-26,99880446820.3,122256371431.45,1110707436.95
2022-02-27,99807837427.09,122353324865.75,1145457419.24
2022-02-28,99574210813.4,122201038547.07,1072341742.47
2022-03-01,99368008856.08,121998433319.77,1079202204.25
2022-03-02,99439462915.59,121769145563.96,1088075125.71
2022-03-03,98923663161.47,120883536428.77,1099542514.21
2022-03-04,99133239191.15,120967549524.45,1108456736.77
2022-03-05,99431023683.32,121039849471.16,1099948630.22
2022-03-06,99554651543.67,120913993015.23,1141117809.57
2022-03-07,99465704319.39,120822764431.37,1043646217.67
2022-03-08,99362243035.47,120664072900.93,1039976277.08
2022-03-09,99553886577.47,120765772310.85,1050664721.57
2022-03-10,99865500007.49,121013892935.65,1081719083.41
2022-03-11,99611706469.16,120717520203.19,1054230126.08
2022-03-12,99694684441.44,120820211185.07,1089181109.82
2022-03-13,99811583294.95,120914929596.07,1083364079.77
2022-03-14,99705894473.04,120742510989.11,1094686156.29
2022-03-15,99671824726.15,120422981713.19,1205500650.66
2022-03-16,99939213567.06,120622737221.61,1198227791.96
2022-03-17,100071011416.41,120741560635.8,1177624617.15
2022-03-18,100334778598.22,120924792811.51,1136189047.29
2022-03-19,100305219667.94,120888082185.73,1119570197.32
2022-03-20,100268568116.98,120857561027.75,1128020654.7
2022-03-21,100093241520.42,120676801372.24,1099007940.57
2022-03-22,99642720857.81,120064917354.2,1102593452.69
2022-03-23,99485545923.32,119612601178.54,1100729668.96
2022-03-24,99257141035.06,119424107719.06,1255488538.51
2022-03-25,98681280961.72,118639530174.89,1244840152.42
2022-03-26,98849635963.38,118644297450.06,1422802257.96
2022-03-27,98829556404.42,118597487597.06,1480370058.51
2022-03-28,98456278705.11,118219725424.63,1472192637.52
2022-03-29,98704558526.94,118513207885.6,1467159033.13
2022-03-30,98604765851.4,118453146421.31,1468527478.72
2022-03-31,98461795861.38,118223013541.82,1560454140.72
2022-04-01,98782155310.5,118564959333.84,1542304312.83
2022-04-02,98417185730.96,118168138922.91,1545022900.05
2022-04-03,98313211547.87,118029661059.9,1604594255.29
2022-04-04,98155162259.02,117858288345.3,1531826638.14
