date,total_circulating_usd
2020-12-30,19526560545.14
2020-12-31,20048646166.99
2021-01-01,20322701409.99
2021-01-02,20437448407.31
2021-01-03,20712796404.49
2021-01-04,20730503258.61
2021-01-05,20902224134.65
2021-01-06,21334330480.89
2021-01-07,21674191029.27
2021-01-08,21898595003.34
2021-01-09,22184875290.29
2021-01-10,21923168605.27
2021-01-11,22184782759.27
2021-01-12,22404947451.6
2021-01-13,22670728546.64
2021-01-14,22676083923.55
2021-01-15,22864893527.19
2021-01-16,23074977421.72
2021-01-17,23141608959.74
2021-01-18,23162845221.53
2021-01-19,23375595968.47
2021-01-20,23489146661.34
2021-01-21,23408976627.7
2021-01-22,23644899883.44
2021-01-23,23758746453.15
2021-01-24,23822162234.22
2021-01-25,23861209250.3
2021-01-26,24115977862.39
2021-01-27,24211376329.07
2021-01-28,24846065964.22
2021-01-29,25337484486.57
2021-01-30,25389153732.73
2021-01-31,25487686931.51
2021-02-01,25468679152.62
2021-02-02,26321098995.83
2021-02-03,28462337695.76
2021-02-04,28814855591.76
2021-02-05,29216662336.92
2021-02-06,29369072938.36
2021-02-07,29794685913.69
2021-02-08,30016128525.05
2021-02-09,30455308965.06
2021-02-10,30611363904.94
2021-02-11,30690939037.58
2021-02-12,31042025478.28
2021-02-13,31338864748.96
2021-02-14,31389016221.92
2021-02-15,31413204241.55
2021-02-16,31363691788.72
2021-02-17,31684025371.78
2021-02-18,31892567757.74
2021-02-19,32477301613.56
2021-02-20,32728049133.92
2021-02-21,32722587996.64
2021-02-22,32683253536.89
2021-02-23,32790477057.49
2021-02-24,33057422917.06
2021-02-25,33112000499.71
2021-02-26,33351101302.8
2021-02-27,33475268356.39
2021-02-28,33875949389.25
2021-03-01,33896844037
2021-03-02,33985723174.67
2021-03-03,33807175335.65
2021-03-04,33764524108.53
2021-03-05,33919947222.35
2021-03-06,34007492245.3
2021-03-07,34151215343.14
2021-03-08,34051820773.6
2021-03-09,34379921615.2
2021-03-10,34528141979.67
2021-03-11,34679746074.29
2021-03-12,34965417005.4
2021-03-13,34912529103.47
2021-03-14,35016705152.55
2021-03-15,34643608869.86
2021-03-16,34957104791.44
2021-03-17,35214852107.98
2021-03-18,35517837949.07
2021-03-19,35749814792.45
2021-03-20,35895776224.13
2021-03-21,36018115655.65
2021-03-22,36337157463.88
2021-03-23,36303618129.37
2021-03-24,36474815066.8
2021-03-25,36609237615.22
2021-03-26,36891679268.76
2021-03-27,36647563593.34
2021-03-28,36526456316.42
2021-03-29,36446160333.98
2021-03-30,36803558888.75
2021-03-31,36688442238.95
2021-04-01,36285551446.81
2021-04-02,36578532745.2
2021-04-03,39115026908.27
2021-04-04,38725096644.44
2021-04-05,38974967451.46
2021-04-06,39276051456.56
2021-04-07,39341216036.86
2021-04-08,40047083629.4
2021-04-09,40566569995.63
2021-04-10,40384849588.68
2021-04-11,40465299015.84
2021-04-12,40219107200.76
2021-04-13,40821343262.71
2021-04-14,41227957598.25
2021-04-15,41787456767.51
2021-04-16,42637576522.11
2021-04-17,43215322906.43
2021-04-18,43593684678.58
2021-04-19,43732601240
2021-04-20,44477740944.09
2021-04-21,44456824524.85
2021-04-22,44046825040.97
2021-04-23,44716143547.87
2021-04-24,45011498804.17
2021-04-25,45306564590.08
2021-04-26,45702992970.68
2021-04-27,45586014653.75
2021-04-28,45895854931.79
2021-04-29,45351983393.4
2021-04-30,45608269960.23
2021-05-01,46025059344.57
2021-05-02,45371540086.82
2021-05-03,46142822797.35
2021-05-04,46466596002.35
2021-05-05,47035709880.1
2021-05-06,47571394992.75
2021-05-07,47926418429.71
2021-05-08,48315746318.47
2021-05-09,48745749754.97
2021-05-10,49112296780.05
2021-05-11,49663639798.11
2021-05-12,49633447030.03
2021-05-13,49326008369.09
2021-05-14,49795775241.66
2021-05-15,49937190464.06
2021-05-16,49778885771.1
2021-05-17,50782391964.05
2021-05-18,50785387108.9
2021-05-19,50657067510.79
2021-05-20,51870843859.06
2021-05-21,53121901904.11
2021-05-22,53249134660.83
2021-05-23,53302657855.23
2021-05-24,53554619366.13
2021-05-25,54223840746.49
2021-05-26,54886914711.58
2021-05-27,55137194429.85
2021-05-28,55150325350.16
2021-05-29,55251002859.22
2021-05-30,55490610273.46
2021-05-31,57561494639.55
2021-06-01,58659145550.35
2021-06-02,58838205587.23
2021-06-03,58947323180.33
2021-06-04,59391802760.38
2021-06-05,59693724959.12
2021-06-06,60099863847.28
2021-06-07,60010408860.73
2021-06-08,60009018778.28
2021-06-09,59985782640.4
2021-06-10,59944532380.78
2021-06-11,60105560448.7
2021-06-12,60063864029.36
2021-06-13,60232252368.79
2021-06-14,60005911967.81
2021-06-15,59860742963.45
2021-06-16,59669307974.9
