Date,Individual_Stablecoin_Supply,Total_Chain_Supply,stablecoin_dominance
2021-11-12 19:00:00,11762816.42,114877211.49,10.24%
2021-11-13 19:00:00,11960683.28,115922480.92,10.32%
2021-11-14 19:00:00,12256730.33,118254084.14,10.36%
2021-11-15 19:00:00,12468687.12,117412103.43,10.62%
2021-11-16 19:00:00,11846518.47,125021121.99,9.48%
2021-11-17 19:00:00,12313771.02,140632053.17,8.76%
2021-11-18 19:00:00,11922173.6,143911515.54,8.28%
2021-11-19 19:00:00,12509008.11,153724977.89,8.14%
2021-11-20 19:00:00,12712098.73,154233605.45,8.24%
2021-11-21 19:00:00,12437317.12,153694286.22,8.09%
2021-11-22 19:00:00,15394668.43,160927388.04,9.57%
2021-11-23 19:00:00,15795775.58,162460806.08,9.72%
2021-11-24 19:00:00,18165283.3,164483650.91,11.04%
2021-11-25 19:00:00,18168097.45,185193843.36,9.81%
2021-11-26 19:00:00,18199450.62,186611860.51,9.75%
2021-11-27 19:00:00,18775469.12,187055852.07,10.04%
2021-11-28 19:00:00,18800338.36,187733815.22,10.01%
2021-11-29 19:00:00,21744134.72,190684145.2,11.40%
2021-11-30 19:00:00,22888980.6,191017787.05,11.98%
2021-12-01 19:00:00,22910405.46,191267413.8,11.98%
2021-12-02 19:00:00,23303905.46,193542762.35,12.04%
2021-12-03 19:00:00,23512267.46,192088545.1,12.24%
2021-12-04 19:00:00,23517945.03,192406651.6,12.22%
2021-12-05 19:00:00,23689710.22,189001443.45,12.53%
2021-12-06 19:00:00,25315641.75,194567882.92,13.01%
2021-12-07 19:00:00,25328938.95,176576127.09,14.34%
2021-12-08 19:00:00,25363640.56,179134466.88,14.16%
2021-12-09 19:00:00,25643812.14,184564181.64,13.89%
2021-12-10 19:00:00,24351100.38,190266629.23,12.80%
2021-12-11 19:00:00,24400571,189907760.63,12.85%
2021-12-12 19:00:00,23718068.25,188024880.32,12.61%
2021-12-13 19:00:00,23848487.18,185687649.02,12.84%
2021-12-14 19:00:00,23807405.26,184958007.96,12.87%
2021-12-15 19:00:00,24267564.57,185534787.11,13.08%
2021-12-16 19:00:00,24311937.84,184849561.18,13.15%
2021-12-17 19:00:00,24065257.5,184463071.03,13.05%
2021-12-18 19:00:00,24106890.83,186737710.1,12.91%
2021-12-19 19:00:00,24350885.2,188416613.4,12.92%
2021-12-20 19:00:00,25232594.71,191758880.78,13.16%
2021-12-21 19:00:00,25180969.89,186369267.14,13.51%
2021-12-22 19:00:00,25283710.91,188473166.44,13.42%
2021-12-23 19:00:00,25205024.36,192238326.3,13.11%
2021-12-24 19:00:00,25651380.96,198081709.54,12.95%
2021-12-25 19:00:00,25853176.89,262775763.59,9.84%
2021-12-26 19:00:00,26226020.15,249708211.31,10.50%
2021-12-27 19:00:00,26689267.59,247146128.66,10.80%
2021-12-28 19:00:00,28816777.32,242781878.18,11.87%
2021-12-29 19:00:00,28821830.43,240904242.22,11.96%
2021-12-30 19:00:00,28668476.43,241149564.69,11.89%
2021-12-31 19:00:00,28819958.63,240097999.09,12.00%
2022-01-01 19:00:00,28509544.19,239316171.52,11.91%
2022-01-02 19:00:00,28660386.63,239327151.38,11.98%
2022-01-03 19:00:00,28683833.34,240389362.66,11.93%
2022-01-04 19:00:00,28720646.93,246304576.72,11.66%
2022-01-05 19:00:00,29946965.27,236486040,12.66%
2022-01-06 19:00:00,30577846.05,220567501,13.86%
2022-01-07 19:00:00,31320750.07,204185506.55,15.34%
2022-01-08 19:00:00,31898450.48,201568403.22,15.83%
2022-01-09 19:00:00,32031108.22,200509537.53,15.97%
2022-01-10 19:00:00,32069740.72,197407098.1,16.25%
2022-01-11 19:00:00,31656367.28,195369003.24,16.20%
2022-01-12 19:00:00,31445794.76,194880851.54,16.14%
2022-01-13 19:00:00,31446941.3,195749645.79,16.06%
2022-01-14 19:00:00,31655016.6,194635284.08,16.26%
2022-01-15 19:00:00,31711194.66,194745832.51,16.28%
2022-01-16 19:00:00,30770295.58,188497152.82,16.32%
2022-01-17 19:00:00,31597495.58,187771236.21,16.83%
2022-01-18 19:00:00,33717123.59,191334201.28,17.62%
2022-01-19 19:00:00,38482495.46,195756231.11,19.66%
2022-01-20 19:00:00,39866460.16,197794851.64,20.16%
2022-01-21 19:00:00,40155920.6,193749824.84,20.73%
2022-01-22 19:00:00,40451879.8,187935871.55,21.52%
2022-01-23 19:00:00,40038776.67,187165014.61,21.39%
2022-01-24 19:00:00,41180918.13,187645754.9,21.95%
2022-01-25 19:00:00,41326283.96,187272505.63,22.07%
2022-01-26 19:00:00,42297537.03,188063679.75,22.49%
2022-01-27 19:00:00,42740072.62,193781959.55,22.06%
2022-01-28 19:00:00,45853040.01,199310614.5,23.01%
2022-01-29 19:00:00,45868343.01,200284567.52,22.90%
2022-01-30 19:00:00,46284061.73,200422085.84,23.09%
2022-01-31 19:00:00,46294261.73,200341056.17,23.11%
2022-02-01 19:00:00,46655884.13,206696696.09,22.57%
2022-02-02 19:00:00,47258329.51,208202753.37,22.70%
2022-02-03 19:00:00,47747306.65,214175641.73,22.29%
2022-02-04 19:00:00,47718970.64,209779051.76,22.75%
2022-02-05 19:00:00,47886239.17,209376459.31,22.87%
2022-02-06 19:00:00,48730375.73,209646360.75,23.24%
2022-02-07 19:00:00,48758362.71,209338256.63,23.29%
2022-02-08 19:00:00,48776373,208633613.89,23.38%
2022-02-09 19:00:00,48944590.33,207099734.75,23.63%
2022-02-10 19:00:00,49346042.4,208324673.55,23.69%
2022-02-11 19:00:00,50514197.6,209078318.82,24.16%
2022-02-12 19:00:00,50947530.84,209079538.53,24.37%
2022-02-13 19:00:00,50954953.01,208061360.22,24.49%
2022-02-14 19:00:00,51166483.98,207686333.82,24.64%
2022-02-15 19:00:00,51628637.23,207593903.78,24.87%
2022-02-16 19:00:00,52117740.96,208265235.15,25.02%
2022-02-17 19:00:00,56119944.79,212296189.09,26.43%
2022-02-18 19:00:00,56231697.7,211985933.15,26.53%
2022-02-19 19:00:00,56248245.54,210768758.26,26.69%
2022-02-20 19:00:00,56273145.54,210605069.7,26.72%
2022-02-21 19:00:00,57289749.07,209445698.66,27.35%
2022-02-22 19:00:00,57868141.58,210346423.54,27.51%
2022-02-23 19:00:00,57929253.43,209106540.94,27.70%
2022-02-24 19:00:00,57140611.7,220122453.16,25.96%
2022-02-25 19:00:00,56336755.94,202920383.37,27.76%
2022-02-26 19:00:00,56683804.06,205968496.83,27.52%
2022-02-27 19:00:00,57593543.71,207555816.1,27.75%
2022-02-28 19:00:00,57915476.33,208142687.67,27.82%
2022-03-01 19:00:00,57010655.47,203593915.87,28.00%
2022-03-02 19:00:00,57582892.83,204693816.21,28.13%
2022-03-03 19:00:00,56462944.98,205200233.55,27.52%
2022-03-04 19:00:00,56699892.59,202565153.81,27.99%
2022-03-05 19:00:00,57860444.36,202401741.6,28.59%
2022-03-06 19:00:00,56838839.09,200829475.76,28.30%
2022-03-07 19:00:00,56883839.74,201027126.6,28.30%
2022-03-08 19:00:00,56999048.07,203208827.07,28.05%
2022-03-09 19:00:00,56822797.78,204050151.86,27.85%
2022-03-10 19:00:00,56842050.87,202946507.32,28.01%
2022-03-11 19:00:00,58019812.5,204487443.67,28.37%
2022-03-12 19:00:00,59351795.13,205265746.8,28.91%
2022-03-13 20:00:00,58546338.56,204537465.14,28.62%
2022-03-14 20:00:00,58581873.03,204668793.1,28.62%
2022-03-15 20:00:00,58771730.27,204562155.71,28.73%
2022-03-16 20:00:00,60422028.25,203067692.65,29.75%
2022-03-17 20:00:00,70381345.26,214619235.17,32.79%
2022-03-18 20:00:00,78053624.37,221748553.78,35.20%
2022-03-19 20:00:00,78380402.39,222908379.1,35.16%
2022-03-20 20:00:00,78473750.2,222621338.29,35.25%
2022-03-21 20:00:00,79281105.61,223583986.04,35.46%
2022-03-22 20:00:00,79788728.51,229173987.27,34.82%
