Date,Individual_Stablecoin_Supply,Total_Chain_Supply,stablecoin_dominance
2021-11-12 19:00:00,11833056.28,115483305.74,10.25%
2021-11-13 19:00:00,12004004.45,116225591.97,10.33%
2021-11-14 19:00:00,12376356.98,119318839.82,10.37%
2021-11-15 19:00:00,12504620.22,117320927.22,10.66%
2021-11-16 19:00:00,11886035.5,125139057.55,9.50%
2021-11-17 19:00:00,12397746.24,141232084.96,8.78%
2021-11-18 19:00:00,11931324.45,143768702.85,8.30%
2021-11-19 19:00:00,12577909.93,154568387.41,8.14%
2021-11-20 19:00:00,12792365.4,155252558.46,8.24%
2021-11-21 19:00:00,12473919.17,154817698.46,8.06%
2021-11-22 19:00:00,15393155.58,161341259.77,9.54%
2021-11-23 19:00:00,15815308.74,162571325.63,9.73%
2021-11-24 19:00:00,18164520.4,164383872.9,11.05%
2021-11-25 19:00:00,18131086.09,184777405.3,9.81%
2021-11-26 19:00:00,18198411.98,186625416,9.75%
2021-11-27 19:00:00,18770529.16,187063162.38,10.03%
2021-11-28 19:00:00,18809614.47,187669341.13,10.02%
2021-11-29 19:00:00,21710595.56,190294093.53,11.41%
2021-11-30 19:00:00,22837842.08,191051905.15,11.95%
2021-12-01 19:00:00,22928353.99,191607055.4,11.97%
2021-12-02 19:00:00,23261602.79,192879523.87,12.06%
2021-12-03 19:00:00,23560851.34,191949070.96,12.27%
2021-12-04 19:00:00,23497534.86,192208437.58,12.23%
2021-12-05 19:00:00,23718180.24,189488686.88,12.52%
2021-12-06 19:00:00,25338988.22,194520584.65,13.03%
2021-12-07 19:00:00,25379723.74,176811069.17,14.35%
2021-12-08 19:00:00,25366165.93,179163928.67,14.16%
2021-12-09 19:00:00,25607262.13,184540061.98,13.88%
2021-12-10 19:00:00,24256719.31,188977929.58,12.84%
2021-12-11 19:00:00,24343576.69,189601131.93,12.84%
2021-12-12 19:00:00,23699842.84,187685309.67,12.63%
2021-12-13 19:00:00,23811089.33,184966418.02,12.87%
2021-12-14 19:00:00,23844238.02,185139451.12,12.88%
2021-12-15 19:00:00,24255486.38,185902252.93,13.05%
2021-12-16 19:00:00,24322272.99,185123814.98,13.14%
2021-12-17 19:00:00,24059540.25,184689871.06,13.03%
2021-12-18 19:00:00,24118180.77,188455184.05,12.80%
2021-12-19 19:00:00,24320647.66,187844580.26,12.95%
2021-12-20 19:00:00,25312838.11,192231955.74,13.17%
2021-12-21 19:00:00,25232228.05,186692354.69,13.52%
2021-12-22 19:00:00,25339464.56,188892463.39,13.41%
2021-12-23 19:00:00,25298365.93,192945407.28,13.11%
2021-12-24 19:00:00,25705707.52,198616938.89,12.94%
2021-12-25 19:00:00,25853018.02,263588180.68,9.81%
2021-12-26 19:00:00,26227184.24,250097488.92,10.49%
2021-12-27 19:00:00,26689115.76,246049351.26,10.85%
2021-12-28 19:00:00,28815766.44,242500948.58,11.88%
2021-12-29 19:00:00,28973119.68,240941740.55,12.02%
2021-12-30 19:00:00,28761338.84,241096914.97,11.93%
2021-12-31 19:00:00,28832369.05,240621930.08,11.98%
2022-01-01 19:00:00,28651126.84,239760723.4,11.95%
2022-01-02 19:00:00,28669787.11,239488437.81,11.97%
2022-01-03 19:00:00,28707622.76,240573114.91,11.93%
2022-01-04 19:00:00,28715126.46,245768893.94,11.68%
2022-01-05 19:00:00,29993232,237635025.62,12.62%
2022-01-06 19:00:00,30596123.46,220849920.3,13.85%
2022-01-07 19:00:00,31389883.46,203852769.28,15.40%
2022-01-08 19:00:00,31879405.34,200590254.19,15.89%
2022-01-09 19:00:00,32050113.78,200070188.12,16.02%
2022-01-10 19:00:00,32092682.94,197852245.46,16.22%
2022-01-11 19:00:00,31651905.66,195746847.16,16.17%
2022-01-12 19:00:00,31490093.3,194763975.75,16.17%
2022-01-13 19:00:00,31453906.29,195686298.92,16.07%
2022-01-14 19:00:00,31682164.97,194332688.22,16.30%
2022-01-15 19:00:00,31715039.23,194296579.96,16.32%
2022-01-16 19:00:00,30761999.75,188378805.93,16.33%
2022-01-17 19:00:00,31673524.95,187731470.33,16.87%
2022-01-18 19:00:00,33703672.92,189940251.17,17.74%
2022-01-19 19:00:00,38436039.96,195077438.24,19.70%
2022-01-20 19:00:00,39874686.73,197495592.97,20.19%
2022-01-21 19:00:00,40272438.82,194187114.5,20.74%
2022-01-22 19:00:00,40616912.96,189307754.64,21.46%
2022-01-23 19:00:00,40242780.52,188563541.96,21.34%
2022-01-24 19:00:00,41221517.25,188786585.1,21.83%
2022-01-25 19:00:00,41440121.75,189041937.45,21.92%
2022-01-26 19:00:00,42332913.72,189637635.66,22.32%
2022-01-27 19:00:00,42850979.67,195156983.19,21.96%
2022-01-28 19:00:00,45869116.16,199896925.49,22.95%
2022-01-29 19:00:00,46011502.45,201851636.92,22.79%
2022-01-30 19:00:00,46317063.51,201370657.29,23.00%
2022-01-31 19:00:00,46344927.98,201553978.55,22.99%
2022-02-01 19:00:00,46686275.22,207622243.47,22.49%
2022-02-02 19:00:00,47300427.99,209174985.37,22.61%
2022-02-03 19:00:00,47834232.02,214726142.33,22.28%
2022-02-04 19:00:00,48240287.6,209839226.87,22.99%
2022-02-05 19:00:00,47813487.6,209787697.76,22.79%
2022-02-06 19:00:00,48809025.99,210532015.76,23.18%
2022-02-07 19:00:00,48716161.03,209590627.64,23.24%
2022-02-08 19:00:00,48824740.6,209042701.5,23.36%
2022-02-09 19:00:00,49009803.11,207657871.73,23.60%
2022-02-10 19:00:00,49442140.72,208854993.18,23.67%
2022-02-11 19:00:00,50530339.3,209336876.6,24.14%
2022-02-12 19:00:00,50993338.27,209551010.24,24.33%
2022-02-13 19:00:00,50965524,208526190.92,24.44%
2022-02-14 19:00:00,51164078.92,208206276.18,24.57%
