Date,Optimism_Circulating,DFK_Circulating,Kadena_Circulating,ThunderCore_Circulating,BSC_Circulating,Flow_Circulating,Dogechain_Circulating,Astar_Circulating,Oasis_Circulating,Telos_Circulating,Arbitrum_Circulating,Tron_Circulating,TomoChain_Circulating,zkSync Lite_Circulating,Evmos_Circulating,Arbitrum Nova_Circulating,Milkomeda C1_Circulating,SXnetwork_Circulating,Aptos_Circulating,RSK_Circulating,Moonbeam_Circulating,zkSync Era_Circulating,Hedera_Circulating,Aurora_Circulating,Loopring_Circulating,Stellar_Circulating,Algorand_Circulating,Polygon_Circulating,DefiChain_Circulating,Canto_Circulating,Karura_Circulating,Metis_Circulating,Wanchain_Circulating,Kava_Circulating,Ontology_Circulating,Moonriver_Circulating,Mixin_Circulating,Avalanche_Circulating,Klaytn_Circulating,Meter_Circulating,REINetwork_Circulating,Osmosis_Circulating,Ethereum_Circulating,Gnosis_Circulating,EthereumClassic_Circulating,Celo_Circulating,Fuse_Circulating,Fantom_Circulating,Polygon zkEVM_Circulating,OKExChain_Circulating,Terra Classic_Circulating,Kardia_Circulating,KCC_Circulating,Near_Circulating,Crab_Circulating,Elastos_Circulating,Boba_Circulating,Theta_Circulating,Syscoin_Circulating,Solana_Circulating,Ronin_Circulating,MultiversX_Circulating,Everscale_Circulating
2022-05-11 20:00:00,125804856.35236,0,0,0,1781349898.242744,13790337,0,56829240.986479,2380931.87756117,1721438.313857,682789321.089572,570887491.94,171.642596,13804263.214465,11463042.25033,0,15731243.230967,0,0,88.85942,55573457.269482,0,19530104,493846898.252709,29825490.771474,173978127,218931143.735296,1492624866.2861426,0,0,0,46478858.479376,0,0,0,56196068.965994,0,1884767126.7146232,0,581475.366258,24.999978,0,37120632685.70677,75128966.373691,0,0,3042792.712062,677893902.5620368,0,6254777.9053677395,1397012.599111,0,27971960.23900106,0,89857.007516,1529526.64256,24185031.014604,174163.256271,2191009.682432,3889835603.116569,32940762.123233,0,0
2022-05-12 20:00:00,125804856.35236,0,0,0,1781349898.242744,13790337,0,56829240.986479,2380931.87756117,1721438.313857,682789321.089572,570887491.94,171.642596,13804263.214465,11463042.25033,0,15731243.230967,0,0,88.85942,55573457.269482,0,19530104,493846898.252709,29825490.771474,173978127,218931143.735296,1492624866.2861426,0,0,0,46478858.479376,0,0,0,56196068.965994,0,1884767126.7146232,0,581475.366258,24.999978,0,37120632685.70677,75128966.373691,0,0,3042792.712062,677893902.5620368,0,6254777.9053677395,1397012.599111,0,27971960.23900106,0,89857.007516,1529526.64256,24185031.014604,174163.256271,2191009.682432,3889835603.116569,32940762.123233,0,0
2022-05-13 20:00:00,124267367.264241,0,0,0,1781565496.2628407,12944391,0,50458303.284996994,2381011.87016817,1738832.444073,690382680.124918,981492456.93,171.642596,14163218.47171,10890845.170626001,0,14429240.881831,0,0,88.85942,54962814.339075,0,20113917,474275010.222062,30636768.624248,173195184,241714495.954944,1484029762.1612926,0,0,0,45175580.498498,0,0,0,61375189.230421,0,1926065352.140792,0,579026.381104,24.999978,0,37550098190.485374,71498538.897091,0,0,3028516.158301,668963474.6411301,0,6254777.9053677395,581561.296494,0,27986268.668194704,0,89857.007516,1518539.2984,22266094.486423,167163.256271,2266504.599601,4116533252.4337506,32940762.123233,0,0
2022-05-14 20:00:00,124388568.713945,0,0,0,1781560636.5451732,12944391,0,49963271.438513994,2369388.2264321703,1688832.444073,687878812.161032,1408908771.97,171.642596,14180013.559035,10697363.494897999,0,13808213.794300001,0,0,88.85942,54923932.931905,0,20113917,469087940.195772,30912058.163759,173217126,239142723.98336,1477053064.318176,0,0,0,43948922.940926,0,0,0,61275008.974721,0,2010334309.852423,0,579026.381104,24.999978,0,37382493221.91092,64055333.541391,0,0,3019418.673435,667732016.5313627,0,6254777.9053677395,480914.01939699997,0,27990803.731736865,0,89857.007516,1498347.965255,22407187.722089,167163.256271,2216044.087156,4117320856.6724234,32940762.123233,0,0
2022-05-15 20:00:00,124491197.93861,0,0,0,1781503030.2377279,12944391,0,50185593.897422,2382206.7290561697,1701033.783217,690658287.557175,1381679964.64,171.642596,14226259.851834,10693326.109841,0,13843543.423695,0,0,88.85942,54725053.585530005,0,20113917,454487742.514029,32221403.906042,173071820,239142723.98336,1482035644.527984,0,0,0,42447229.584773,0,0,0,64975332.934814,0,2005086380.8829846,0,579026.381104,24.999978,0,37469339854.39893,61855938.522091,0,0,3005907.591893,660750982.3145438,0,6254777.9053677395,397056.234532,0,27996953.79102509,0,89857.007516,1487493.605255,22407187.722089,167163.256271,2192033.096927,4117327474.284534,32940762.123233,0,0
2022-05-16 20:00:00,124859876.494648,0,0,0,1781531872.7513266,15539597,0,49204618.903344996,1829102.45643917,1701033.783217,693473850.971017,2015507501.89,171.642596,14129755.84836,10644033.180147,0,13920956.557991,0,0,88.85942,53155041.277691,0,20113917,241227897.994715,31432526.744099,176025234,250314054.803456,1486690662.4672472,0,0,0,41904932.533578,0,0,0,65001493.307531,0,2019190624.4505348,0,579026.381104,24.999978,0,37891942228.64521,57604438.058353,0,0,3003905.593393,658944846.9341872,0,6254777.9053677395,376113.99726900004,0,27997355.95410437,0,89857.007516,1487493.605255,22325610.953885,167163.256271,2670100.789617,4154602741.619981,32940762.123233,0,0
2022-05-17 20:00:00,105726455.395192,0,0,0,1781603273.671225,15278930,0,49226854.110558994,1802201.79671617,1699833.072371,696748611.839836,2015335766.79,171.642596,13226578.063216,10113438.521129001,0,13948202.645259,0,0,88.85942,52994517.680628,0,20113917,244108609.328517,31290499.586722,175606866,252570990.174208,1496081848.3692667,0,0,0,41267102.928691,0,0,0,65352621.263576,0,2015429833.5929468,0,570725.665354,24.999978,0,38122907179.60539,56226840.735153,0,0,3023895.593393,632889519.1282055,0,6254777.9053677395,370046.01639500004,0,28997541.694104373,0,89857.007516,1450652.289184,21798806.482456,167163.256271,2298059.365334,4161214871.0117126,32940762.123233,0,0
2022-05-18 20:00:00,106132102.012641,0,0,0,1781584866.8469336,13330113,0,48365633.148495995,3227211.4370091697,1685485.356133,700267583.721413,2009289050.13,171.642596,13481270.297098,10238150.03466,0,13815292.013388999,0,0,88.85942,53217101.174207,0,9964576,231841894.484064,30654520.934318,173849173,241447683.60448,1492306969.601777,0,0,0,42811256.596349,0,0,0,65835321.999685,0,2015815145.4795535,0,574925.407278,24.999978,0,38311732091.276794,47225095.033953,0,0,3048845.593393,601674954.4539415,0,6254777.9053677395,368046.335824,0,29004092.69410437,0,89857.007516,1383262.508236,21900302.982456,162963.514347,2331906.615334,4158930243.8079033,32940762.123233,0,0
2022-05-19 20:00:00,106344463.355974,0,0,0,1781588104.2730334,14620275,0,46331514.58613,3228221.96227124,1625485.356133,702400366.407107,2012933207.92,171.642596,13437833.230692,10100806.961189,0,13664913.303877998,0,0,88.85942,53069488.213279,0,11251803,230866553.179387,30866279.43563,175090957,245814733.01504,1494244456.746708,0,0,0,42660704.097371,0,0,0,65160621.123822,0,2063345006.814856,0,573822.877119,24.999978,0,38597757743.24793,45031888.15888,0,0,3062772.365997,598052921.7385294,0,6254777.9053677395,366854.20226299996,0,29005094.640927687,0,89857.007516,1383262.508236,21900303.402456,164066.044506,2326288.237121,4173822021.317599,32940762.123233,0,0
2022-05-20 20:00:00,106989555.765903,0,0,0,1881586968.7975123,13607498,0,48391932.856855996,3238034.4447492403,1625485.356133,704133676.080257,2009294596.31,171.642596,13218756.67019,10197291.556568,0,13770613.361972,0,0,88.85942,52972428.020326,0,10235749,221475614.644032,30826081.696088,174159039,266630373.175296,1516241207.4347448,0,0,0,42308097.495577,0,0,0,65347890.222127,0,2100692907.2454636,0,573822.877119,24.999978,0,38644621063.357285,44973412.037284,0,0,3048504.774785,598006818.6718086,0,6254777.9053677395,366854.20226299996,0,29005094.640927687,0,89857.007516,1383262.508236,21900303.402456,164066.044506,2311332.997121,4192314783.496079,32940762.123233,0,0
