Date,Individual_Stablecoin_Supply,Total_Chain_Supply,stablecoin_dominance
2021-08-31 20:00:00,471704.63,2943435.14,16.03%
2021-09-01 20:00:00,611138.7,4958790.9,12.32%
2021-09-02 20:00:00,2766858.32,14730861.45,18.78%
2021-09-03 20:00:00,5501450.55,21814074.52,25.22%
2021-09-04 20:00:00,5641283.26,23439730.58,24.07%
2021-09-05 20:00:00,5756536.78,28924150.28,19.90%
2021-09-06 20:00:00,6386683.75,31732084.34,20.13%
2021-09-07 20:00:00,6575222.12,32124747.44,20.47%
2021-09-08 20:00:00,8185864.41,35735848.54,22.91%
2021-09-09 20:00:00,8806462.87,37410799.57,23.54%
2021-09-10 20:00:00,9077917.15,40472110.65,22.43%
2021-09-11 20:00:00,10221336.07,49472726.17,20.66%
2021-09-12 20:00:00,14315530.02,65824552.6,21.75%
2021-09-13 20:00:00,17293722.33,76338508.98,22.65%
2021-09-14 20:00:00,19588578.69,83117455.53,23.57%
2021-09-15 20:00:00,65082472.62,172733883.74,37.68%
2021-09-16 20:00:00,80217675.59,214832988.48,37.34%
2021-09-17 20:00:00,82181584.88,221001199.59,37.19%
2021-09-18 20:00:00,88363440.46,233075041.72,37.91%
2021-09-19 20:00:00,89321624.27,245513533.24,36.38%
2021-09-20 20:00:00,86378812.4,256842364.33,33.63%
2021-09-21 20:00:00,87631935.25,263692573.33,33.23%
2021-09-22 20:00:00,87543497.2,294955138.09,29.68%
2021-09-23 20:00:00,92091430.52,313304827.23,29.39%
2021-09-24 20:00:00,93450781.62,322955645.91,28.94%
2021-09-25 20:00:00,94854058.54,330252664.54,28.72%
2021-09-26 20:00:00,95691740.12,359055760.8,26.65%
2021-09-27 20:00:00,97788768.01,356128703.19,27.46%
2021-09-28 20:00:00,99052015.14,361138964.4,27.43%
2021-09-29 20:00:00,100350599.48,365345979.76,27.47%
2021-09-30 20:00:00,100726420.45,365427251.39,27.56%
2021-10-01 20:00:00,103423268.28,370220484.78,27.94%
2021-10-02 20:00:00,105170618.97,391967380.28,26.83%
2021-10-03 20:00:00,106021362.63,422507307.55,25.09%
2021-10-04 20:00:00,107390675.9,426508455.9,25.18%
2021-10-05 20:00:00,128616443.1,469945999.55,27.37%
2021-10-06 20:00:00,128979971.62,485920268.83,26.54%
2021-10-07 20:00:00,131322572.99,494658661.57,26.55%
2021-10-08 20:00:00,152347435.86,583364812.87,26.12%
2021-10-09 20:00:00,165851832.43,593774177.83,27.93%
2021-10-10 20:00:00,167175512.13,614005841.11,27.23%
2021-10-11 20:00:00,170945098.19,636152951.95,26.87%
2021-10-12 20:00:00,177984751.57,669123884.13,26.60%
2021-10-13 20:00:00,178582966.49,692690195.18,25.78%
2021-10-14 20:00:00,184219979.99,704823490.79,26.14%
2021-10-15 20:00:00,188934200.7,719330575.28,26.27%
2021-10-16 20:00:00,189676976.41,731474729.64,25.93%
2021-10-17 20:00:00,190248292.67,751457508.31,25.32%
2021-10-18 20:00:00,197372466.84,769032598.15,25.67%
2021-10-19 20:00:00,197576886.82,772876472.51,25.56%
2021-10-20 20:00:00,198662060.61,804461911.84,24.70%
2021-10-21 20:00:00,188973650.36,783141376.01,24.13%
2021-10-22 20:00:00,189152927.83,780646708.83,24.23%
2021-10-23 20:00:00,189468003.66,792486110.85,23.91%
2021-10-24 20:00:00,189988229.96,792991372.99,23.96%
2021-10-25 20:00:00,190686704.62,798829561.33,23.87%
2021-10-26 20:00:00,190946718.77,796064168.11,23.99%
2021-10-27 20:00:00,191115691.8,798835970.79,23.92%
2021-10-28 20:00:00,191188186.6,806445669.05,23.71%
2021-10-29 20:00:00,191780903.03,802191020.87,23.91%
2021-10-30 20:00:00,191832791.42,813419297.94,23.58%
2021-10-31 20:00:00,194228618.63,863444566.4,22.49%
2021-11-01 20:00:00,194136508.38,873367140.96,22.23%
2021-11-02 20:00:00,194223027.93,880342192.38,22.06%
2021-11-03 20:00:00,194545763.24,890328648.79,21.85%
2021-11-04 20:00:00,192651659.33,897794456.38,21.46%
2021-11-05 20:00:00,193426507.12,887307644.07,21.80%
2021-11-06 20:00:00,193780712.29,888781628.28,21.80%
2021-11-07 19:00:00,195817434.04,904880665.15,21.64%
2021-11-08 19:00:00,196045069.68,907747484.64,21.60%
2021-11-09 19:00:00,196054954.26,904773381.97,21.67%
2021-11-10 19:00:00,196349172.28,906460433.34,21.66%
2021-11-11 19:00:00,196567543.92,890509648.28,22.07%
2021-11-12 19:00:00,196921988.96,889197758.46,22.15%
2021-11-13 19:00:00,197744070.95,885285627.96,22.34%
2021-11-14 19:00:00,200149470.57,888440283.31,22.53%
2021-11-15 19:00:00,200364214.18,877275157.11,22.84%
2021-11-16 19:00:00,200775411.16,851099565.23,23.59%
2021-11-17 19:00:00,203565476.6,860109763.51,23.67%
2021-11-18 19:00:00,197731794.97,837170752.51,23.62%
2021-11-19 19:00:00,198282250.39,823565168.49,24.08%
2021-11-20 19:00:00,198016132.78,821005533.12,24.12%
2021-11-21 19:00:00,198130800.07,817917680.26,24.22%
2021-11-22 19:00:00,198387289.93,808068198.46,24.55%
2021-11-23 19:00:00,199369378.23,811939833.64,24.55%
2021-11-24 19:00:00,199642527.89,807962649.17,24.71%
2021-11-25 19:00:00,199742367.8,801346658.6,24.93%
2021-11-26 19:00:00,199606138.83,805165212.44,24.79%
2021-11-27 19:00:00,176407817.35,744077893.05,23.71%
2021-11-28 19:00:00,176580936.99,736758858.76,23.97%
2021-11-29 19:00:00,177154596.73,741139571.03,23.90%
2021-11-30 19:00:00,169779142.89,739002268.46,22.97%
2021-12-01 19:00:00,169580535.82,739037347.36,22.95%
2021-12-02 19:00:00,169790961.3,733676038.54,23.14%
2021-12-03 19:00:00,167070389.97,727672496.78,22.96%
2021-12-04 19:00:00,167382805.85,704427506.48,23.76%
2021-12-05 19:00:00,158508029.64,694610279.89,22.82%
2021-12-06 19:00:00,159709345.51,698980399.2,22.85%
2021-12-07 19:00:00,159633591.46,703046360.17,22.71%
2021-12-08 19:00:00,159757847.71,712205331.02,22.43%
2021-12-09 19:00:00,159696917.75,719363926.33,22.20%
2021-12-10 19:00:00,160065300.44,721108201.26,22.20%
2021-12-11 19:00:00,160089195.44,721511869.94,22.19%
2021-12-12 19:00:00,160119787.51,707593407.7,22.63%
2021-12-13 19:00:00,160159624.14,706967678.49,22.65%
2021-12-14 19:00:00,160151719.4,701914463.56,22.82%
2021-12-15 19:00:00,160170427.93,698321343.57,22.94%
2021-12-16 19:00:00,160201860.38,679796610.62,23.57%
2021-12-17 19:00:00,160361825.52,681556438.19,23.53%
2021-12-18 19:00:00,160467456.98,682824636.42,23.50%
2021-12-19 19:00:00,161011422.16,684717151.34,23.52%
2021-12-20 19:00:00,161042696.32,694886184.36,23.18%
2021-12-21 19:00:00,160744466.2,702978289.14,22.87%
2021-12-22 19:00:00,160994781.88,708959795.8,22.71%
2021-12-23 19:00:00,162063245.35,714570492.99,22.68%
2021-12-24 19:00:00,162106154.29,716761890.73,22.62%
2021-12-25 19:00:00,161106151.57,701350763.38,22.97%
2021-12-26 19:00:00,161131410.01,701311295.74,22.98%
2021-12-27 19:00:00,164168258.52,713191091.2,23.02%
2021-12-28 19:00:00,164214031.48,708465935.22,23.18%
2021-12-29 19:00:00,164470197.73,709761529.38,23.17%
2021-12-30 19:00:00,164876215.83,709851056.15,23.23%
2021-12-31 19:00:00,165371522.21,712370179.81,23.21%
2022-01-01 19:00:00,166066170.86,703760679.48,23.60%
2022-01-02 19:00:00,167836241.47,707953198.79,23.71%
2022-01-03 19:00:00,168635373.9,714057956.53,23.62%
2022-01-04 19:00:00,168878994.2,719241060.58,23.48%
2022-01-05 19:00:00,169426746.75,715171321,23.69%
2022-01-06 19:00:00,169884271.24,714766389.69,23.77%
2022-01-07 19:00:00,170518638.31,709903375.12,24.02%
2022-01-08 19:00:00,170607465.88,677100793.63,25.20%
2022-01-09 19:00:00,170669631.49,678197563.63,25.17%
2022-01-10 19:00:00,170807701.47,710610831.95,24.04%
2022-01-11 19:00:00,170794862.89,714712695.15,23.90%
2022-01-12 19:00:00,170893142.7,712999980.42,23.97%
2022-01-13 19:00:00,172039401.92,718068628.39,23.96%
2022-01-14 19:00:00,172205194.63,726265662.46,23.71%
2022-01-15 19:00:00,171238836.16,708058372.55,24.18%
2022-01-16 19:00:00,172268000.17,710998053.3,24.23%
2022-01-17 19:00:00,173877752.81,715463757.04,24.30%
2022-01-18 19:00:00,175016280.26,712102376.34,24.58%
2022-01-19 19:00:00,175505560.84,710151306.1,24.71%
2022-01-20 19:00:00,175914599.14,703070065.68,25.02%
2022-01-21 19:00:00,176462261.48,695519407.5,25.37%
2022-01-22 19:00:00,177235170.15,688701820.35,25.73%
2022-01-23 19:00:00,175655167.07,683259502.48,25.71%
2022-01-24 19:00:00,175768531.12,692314626.98,25.39%
2022-01-25 19:00:00,175566082.65,704025827.84,24.94%
2022-01-26 19:00:00,177384546.97,701774573.17,25.28%
2022-01-27 19:00:00,178437765.63,705128039.76,25.31%
2022-01-28 19:00:00,178258176.72,716217434.59,24.89%
2022-01-29 19:00:00,178304232.41,711532448.71,25.06%
2022-01-30 19:00:00,188502457.01,730254517.36,25.81%
2022-01-31 19:00:00,194713628.99,739669688.22,26.32%
2022-02-01 19:00:00,181722413.53,740268394.96,24.55%
2022-02-02 19:00:00,182367448.72,744925348.23,24.48%
2022-02-03 19:00:00,182195192.83,762544897.74,23.89%
2022-02-04 19:00:00,182228872.18,771053504.61,23.63%
2022-02-05 19:00:00,182299012.72,775333248.31,23.51%
2022-02-06 19:00:00,182297595.2,780655335.14,23.35%
2022-02-07 19:00:00,182679720.33,791101467.32,23.09%
2022-02-08 19:00:00,187855831.58,825659579.65,22.75%
2022-02-09 19:00:00,192302162.59,858321829.76,22.40%
2022-02-10 19:00:00,193123436.31,865693931.66,22.31%
2022-02-11 19:00:00,193513601.94,869725013.35,22.25%
2022-02-12 19:00:00,194743027.35,871498173.99,22.35%
2022-02-13 19:00:00,199197918.43,877880707.32,22.69%
2022-02-14 19:00:00,200644079.98,885081541.58,22.67%
2022-02-15 19:00:00,201405558.15,891624263.7,22.59%
2022-02-16 19:00:00,201656395.86,893163264.78,22.58%
2022-02-17 19:00:00,201833303.64,895496836.6,22.54%
2022-02-18 19:00:00,203828327.8,900627179.88,22.63%
2022-02-19 19:00:00,208824686.07,905537403.48,23.06%
2022-02-20 19:00:00,209346981.89,907828603.83,23.06%
2022-02-21 19:00:00,211171150.92,917166418.43,23.02%
2022-02-22 19:00:00,209731043.44,913976010.74,22.95%
2022-02-23 19:00:00,211247870.13,907192415.53,23.29%
2022-02-24 19:00:00,212147577.16,906506989.79,23.40%
2022-02-25 19:00:00,212966248.55,907141288.01,23.48%
2022-02-26 19:00:00,213037759.24,909992483,23.41%
