Symbol,ID,Peg Type
USDT,1,peggedUSD
USDC,2,peggedUSD
USTC,3,peggedUSD
BUSD,4,peggedUSD
DAI,5,peggedUSD
FRAX,6,peggedUSD
TUSD,7,peggedUSD
LUSD,8,peggedUSD
FEI,9,peggedUSD
MIM,10,peggedUSD
USDP,11,peggedUSD
USDN,12,peggedUSD
YUSD,13,peggedUSD
USDD,14,peggedUSD
DOLA,15,peggedUSD
PAI,16,peggedUSD
HUSD,17,peggedUSD
NUSD,18,peggedUSD
GUSD,19,peggedUSD
ALUSD,20,peggedUSD
FLEXUSD,21,peggedUSD
SUSD,22,peggedUSD
OUSD,23,peggedUSD
CUSD,24,peggedUSD
RSV,25,peggedUSD
MUSD,26,peggedUSD
USDK,27,peggedUSD
VAI,28,peggedUSD
TOR,29,peggedUSD
DOC,30,peggedUSD
USDS,31,peggedUSD
USDS,32,peggedUSD
USDP,33,peggedUSD
USDB,34,peggedUSD
MAI,35,peggedUSD
USDR,36,peggedUSD
USDJ,37,peggedUSD
STBL,38,peggedUSD
VOLT,39,peggedVAR
RAI,40,peggedVAR
FLOAT,41,peggedVAR
USDX,42,peggedUSD
ZUSD,43,peggedUSD
USX,44,peggedUSD
aSEED,45,peggedUSD
USD+,46,peggedUSD
BAI,48,peggedUSD
EURT,49,peggedEUR
EUROC,50,peggedEUR
EURS,51,peggedEUR
CEUR,52,peggedEUR
SEUR,53,peggedEUR
USN,54,peggedUSD
AGEUR,55,peggedEUR
PAR,56,peggedEUR
USH,57,peggedUSD
3USD,58,peggedUSD
SIGUSD,59,peggedUSD
HOME,60,peggedUSD
FIAT,61,peggedUSD
PUSD,62,peggedUSD
FUSD,63,peggedUSD
UXD,64,peggedUSD
USDH,65,peggedUSD
FPI,66,peggedVAR
BEAN,67,peggedUSD
USDL,68,peggedUSD
PUSD,69,peggedUSD
DUSD,70,peggedUSD
VST,71,peggedUSD
KUSD,72,peggedUSD
USDTZ,73,peggedUSD
MONEY,74,peggedUSD
UUSD,75,peggedUSD
USDI,76,peggedUSD
EURL,77,peggedEUR
NOTE,78,peggedUSD
HAY,79,peggedUSD
USK,81,peggedUSD
ARUSD,82,peggedUSD
USDW,83,peggedUSD
BOB,84,peggedUSD
USDR,85,peggedUSD
UZD,86,peggedUSD
USDI,87,peggedUSD
IUSD,88,peggedUSD
XAI,89,peggedUSD
RUSD,90,peggedUSD
IBEUR,91,peggedEUR
PINA,92,peggedUSD
DJED,93,peggedUSD
BAOUSD,94,peggedUSD
CMST,95,peggedUSD
CUSD,96,peggedUSD
USP,97,peggedUSD
EUROe,98,peggedEUR
CASH,99,peggedUSD
DSU,100,peggedUSD
EURE,101,peggedEUR
ANONUSD,102,peggedUSD
NXUSD,103,peggedUSD
DUSD,104,peggedUSD
DCHF,105,peggedVAR
EUSD,106,peggedUSD
CZUSD,107,peggedUSD
d2O,108,peggedUSD
EUSD,109,peggedUSD
crvUSD,110,peggedUSD
DAI+,111,peggedUSD
USDT+,112,peggedUSD
SILK,113,peggedVAR
clevUSD,114,peggedUSD
R,115,peggedUSD
GRAI,116,peggedUSD
ERN,117,peggedUSD
GHO,118,peggedUSD
FDUSD,119,peggedUSD
