Date,Total Circulating ($),Total Circulating (Stablecoin Units)
2020-12-30,27953631243.81,27908717235.72
2020-12-31,28295824357.01,28286859559.18
2021-01-01,28879234261.08,28825490421.28
2021-01-02,29095776238.56,28995680791
2021-01-03,29323604589.06,29328599684.59
2021-01-04,29639283297.46,29771217419.14
2021-01-05,30186465632.81,30127739312.48
2021-01-06,30763024791.05,30572288380
2021-01-07,31332106125.38,31287207602.96
2021-01-08,32157369988.12,32091461906.29
2021-01-09,32755108829.85,32635526890.69
2021-01-10,33277526606.71,33213985552.59
2021-01-11,33483531335.99,33242308162.83
2021-01-12,33178417080.8,33094183819.96
2021-01-13,33157167559.85,33057940569.38
2021-01-14,33121776404.01,33143562570.48
2021-01-15,33232340924.72,33209216891.77
2021-01-16,33560559831.18,33508490207.62
2021-01-17,33566953208.33,33637683527.2
2021-01-18,33773383721.62,33772844565.61
2021-01-19,33668630833.41,33765627273.62
2021-01-20,34342075190.52,34385240012.24
2021-01-21,34678408846.92,34659355275.18
2021-01-22,34747751477.3,34728477881.54
2021-01-23,34754529426.1,34795084938.35
2021-01-24,34989421841.67,34995504794.98
2021-01-25,35131444961.81,35116458418.69
2021-01-26,35291019859.78,35209896604.36
2021-01-27,35693042353.34,35631608359.91
2021-01-28,35893162321.94,35983826177.59
2021-01-29,35961839783.88,36114786222.97
2021-01-30,37055040442.53,37189036128.35
2021-01-31,37459418137.36,37453306779.34
2021-02-01,37367994113.89,37455174617.55
2021-02-02,37794697709.51,37775525374.05
2021-02-03,38251771685.29,38253447749.01
2021-02-04,38825172537.66,38838426182.07
2021-02-05,39551490201.4,39480212753.95
2021-02-06,40146529086.67,40163964280.26
2021-02-07,40382597783.72,40455387483.06
2021-02-08,41046088272.78,40941231920.53
2021-02-09,42104782808.86,42236183550.45
2021-02-10,42882075563.53,42969443515.12
2021-02-11,43595379847.14,43704364849.24
2021-02-12,44094080963.78,44196689759.04
2021-02-13,44950416890.14,45007485131.65
2021-02-14,45505477456.9,45669094214.72
2021-02-15,45749726129.99,45760134565.17
2021-02-16,46093891039.41,46045085491.47
2021-02-17,46082170963,46060886036.6
2021-02-18,47078629509.51,47067029688.48
2021-02-19,48472998434.31,48196041874.99
2021-02-20,49549610677.24,49283001545
2021-02-21,49705170450.61,49544198002.79
2021-02-22,50367526632.39,50099331496.39
2021-02-23,50487269079.5,50258137160.15
2021-02-24,51310626943.97,50871818743.56
2021-02-25,50868555051.81,50846799710.85
2021-02-26,52101635179.9,51723172681.8
2021-02-27,51484591650.62,51561450529.36
2021-02-28,52230589232.77,51880451161.57
