name,category
0vix,Lending
AAVE,Lending
Abracadabra,CDP
Angle,CDP
ApeSwap AMM,Dexes
Arbitrum,Rollup
Aurora,Chain
Avalanche,Chain
BabyDogeSwap,Dexes
Balancer,Dexes
BiSwap,Dexes
Bitcoin,Chain
BlueMove,NFT Marketplace
BSC,Chain
Canto,Chain
Celo,Chain
Compound,Lending
Convex Finance,Yield
Cronos,Chain
Curve,Dexes
Defi Swap,Dexes
DODO,Dexes
Doge,Chain
Elk,Dexes
EMDX,Derivatives
Ethereum,Chain
Fantom,Chain
Frax Swap,Dexes
Gains Network,Derivatives
Geist Finance,Lending
GhostMarket,NFT Marketplace
GMX,Derivatives
Hegic,Options
Honeyswap,Dexes
Junoswap,Dexes
KPerp Exchange,Derivatives
KyberSwap,Dexes
Lido,Liquid Staking
Lifinity,Dexes
Liquity,CDP
Litecoin,Chain
Llamalend,NFT Lending
LooksRare,NFT Marketplace
Lyra,Options
MakerDAO,CDP
Metavault.Trade,Derivatives
Mimo,Dexes
MM Stableswap Polygon,Dexes
MojitoSwap,Dexes
Moonbeam,Chain
MooniSwap,Dexes
Moonriver,Chain
Moonwell Apollo,Lending
Moonwell Artemis,Lending
Mummy Finance,Derivatives
MUX Derivatives,Derivatives
Nomiswap,Dexes
Opensea,NFT Marketplace
Optimism,Rollup
Osmosis,Dexes
Pangolin,Dexes
Perp88,Derivatives
Polygon,Rollup
Premia,Options
Quickswap Dex,Dexes
RadioShack,Dexes
Raydium,Dexes
ShibaSwap,Dexes
Solana,Chain
Solarbeam,Dexes
SpiritSwap AMM,Dexes
SpookySwap,Dexes
Stargate,Cross Chain
StellaSwap,Dexes
Synthetix,Synthetics
Tarot,Lending
Trader Joe DEX,Dexes
Tron,Chain
Valas Finance,Lending
Velodrome,Dexes
Wombat Exchange,Dexes
WOOFi,Dexes
xDai,Chain
PancakeSwap,Dexes
Uniswap,Dexes
