Chain,Project,Symbol,Pool
Acala,tapio-protocol,TDOT,6cd36989-747e-4411-a629-c5ffca4d5a2f
Aptos,animeswap,ANI,05fa6198-0451-4d7b-bb7d-cef5ae93097e
Aptos,animeswap,APT-ANI,6e8873a2-eea6-49b1-a676-85083daa99cb
Aptos,animeswap,APT-ZUSDC,dd251da7-e30a-47a6-943f-25ae24fceeaf
Aptos,tortuga,TAPT,cafbed21-f8ba-45bb-b552-eca72bdcc1f9
Arbitrum,3xcalibur,DAI-USDC,cae31124-d456-4bfe-84b0-7c0761e5f3bb
Arbitrum,3xcalibur,XCAL-USDC,ead0cd4a-23d6-49fd-ba5b-a4c9bceb55c7
Arbitrum,3xcalibur,LQETH-WETH,46897546-8994-4aa9-b3a9-9379b3eac145
Arbitrum,3xcalibur,WETH-USDC,37813662-6af8-4eac-a369-924da98c6c92
Arbitrum,3xcalibur,BFR-WETH,bca65170-fa81-4407-905b-bac7037cb77e
Arbitrum,3xcalibur,GMD-WETH,bfa6e50a-b693-40ea-ba04-03a2d24b66c1
Arbitrum,3xcalibur,JONES-WETH,8232f393-af86-430b-8010-2c4d46b3f83b
Arbitrum,3xcalibur,RDPX-WETH,3575e919-7378-492e-bc78-120fc5147ffd
Arbitrum,3xcalibur,DPX-WETH,450acbbe-59ec-4049-b897-11c1badf4676
Arbitrum,3xcalibur,PLS-WETH,6433a374-9fe0-4815-a4aa-fe657598eefd
Arbitrum,3xcalibur,WETH-GMX,3ecbbe39-b992-4568-869d-1734f6116021
Arbitrum,3xcalibur,WETH-MGN,bced2e44-e743-4ade-b952-2e8de9915494
Arbitrum,3xcalibur,GMDUSDC-USDC,d5753de7-a452-45da-be3f-99253994e65a
Arbitrum,aave-v3,WETH,e302de4d-952e-4e18-9749-0a9dc86e98bc
Arbitrum,aave-v3,USDC,7aab7b0f-01c1-4467-bc0d-77826d870f19
Arbitrum,aave-v3,WBTC,7c5e69a4-2430-4fa2-b7cb-857f79d7d1bf
Arbitrum,aave-v3,DAI,a8e3d841-2788-4647-ad54-5a36fac451b1
Arbitrum,aave-v3,LINK,43644487-e26c-450c-8bcb-fb10c1e512e0
Arbitrum,aave-v3,USDT,3a6cc030-738d-4e19-8a40-e63e9c4d5a6f
Arbitrum,aave-v3,AAVE,dcc24c76-7101-4e54-9574-323b8f85d14b
Arbitrum,aave-v3,EURS,92921c59-52ce-4252-8a38-38ed52445c80
Arbitrum,abracadabra,MIM3CRV-F,c060596c-7405-480f-ba6a-5db902f20e12
Arbitrum,acryptos,USDT,f40dc63f-7e51-4091-b877-04baef8dd08e
Arbitrum,acryptos,USDC,5583b1d8-0fd8-4543-b865-93386f91cf2f
Arbitrum,acryptos,WETH,5d99d2f1-1160-4a9e-809c-e3aa2db57d33
Arbitrum,acryptos,WBTC,e2b33152-1d5e-42d9-bc7c-444d0211c7e5
Arbitrum,acryptos,DAI,444ff4dc-565b-4e48-8d8b-88b7e1ebb003
Arbitrum,angle,WBTC,8e884f82-0034-4eca-b963-ba90b1b5835c
Arbitrum,angle,USDC,d22bf433-4b3a-42c7-b2ed-7da24402216c
Arbitrum,badger-dao,WBTC-WETH,b7354ba3-917a-4683-b155-712a72dbdfa0
Arbitrum,badger-dao,TRICRYPTO,9f182e35-8f20-4afc-9fe7-eb5db1ad6c3e
