date,total_circulating_usd,total_minted_usd,total_bridged_to_usd
2022-05-11,35637426611.28,39271555124.88,0
2022-05-12,35676980761.07,39311049198.22,0
2022-05-13,35067993147.69,38702177100.66,0
2022-05-14,34505739977.07,38136013434.71,0
2022-05-15,34483982953.26,38114983201.81,0
2022-05-16,35117954480.62,38748986584.24,0
2022-05-17,34538055562.48,38168550267.29,0
2022-05-18,34534869054.81,38165609315.58,0
2022-05-19,34549470555.32,38181546648.03,0
2022-05-20,33993690000.81,37625685959.57,0
2022-05-21,33977773211.42,37608264844.26,0
2022-05-22,33984739334.09,37615992161.93,0
2022-05-23,33955049048.93,37585848394.34,0
2022-05-24,33952924411.77,37583733039.84,0
2022-05-25,33946244143.57,37576984291.4,0
2022-05-26,33903398213.09,37534643719.98,0
2022-05-27,33780900968.61,37608043481.74,0
2022-05-28,33781123519.7,37608360106.53,0
2022-05-29,33796089134.52,37623879152.61,0
2022-05-30,33789389440.48,37615530920.37,0
2022-05-31,33820794996.05,37646526715.66,0
2022-06-01,33873477672.22,37701778826.82,0
2022-06-02,34041230683.59,37868638175.82,0
2022-06-03,34040502745.1,37867823062.5,0
2022-06-04,34033460383.76,37862447495.74,0
2022-06-05,34235540602.53,38062393430.92,0
2022-06-06,34203669849.26,38031724462.06,0
2022-06-07,34188874242.79,38016866191.76,0
2022-06-08,34190118992.87,38020754089.64,0
2022-06-09,34148962331.37,37983293304.44,0
2022-06-10,34143293640.93,37979658440.94,0
2022-06-11,34149849776.2,37984401415.23,0
2022-06-12,34001344725.45,37837727351.02,0
2022-06-13,34257192326.33,38096241432.61,0
2022-06-14,33853008294.55,37696801498.58,0
2022-06-15,33296924519.6,37141718978.43,0
2022-06-16,32706676432.48,36554565567.58,0
2022-06-17,32509252462.55,36361600982.71,0
2022-06-18,32490008815.77,36341376928.19,0
2022-06-19,32325688314.33,36175603936.87,0
2022-06-20,31898373447.55,35750667410.55,0
2022-06-21,31559046951.76,35416315833.99,0
2022-06-22,31651417431.64,35609297185.89,0
2022-06-23,31657089303.31,35615106793.99,0
2022-06-24,31611796639.83,35571582834.99,0
2022-06-25,31661370825.07,35621676388.67,0
2022-06-26,31635245714.14,35593925909.16,0
2022-06-27,31640802898.12,35596648124.8,0
2022-06-28,31631366696.38,35586337341.93,0
2022-06-29,31373543204.68,35324591482.35,0
2022-06-30,31240206184.5,35188127203.3,0
2022-07-01,31247520220.03,35197307384.19,0
2022-07-02,31252034946.25,35201080441.5,0
2022-07-03,31168615712.28,35116536179.2,0
2022-07-04,31102548422.49,35048748357.34,0
2022-07-05,31077490396.96,35026107652.81,0
2022-07-06,31059558766.06,35008645217.06,0
2022-07-07,31039144654.05,34984516970.78,0
2022-07-08,31507814471.29,35448756660.06,0
2022-07-09,31492390666.44,35430180325.95,0
2022-07-10,31506916417.9,35445431297.24,0
2022-07-11,31507265230.03,35445342613.99,0
2022-07-12,31499441098.55,35437505722.56,0
2022-07-13,31471284165.72,35405125202.58,0
2022-07-14,31414533982.2,35348799643.5,0
2022-07-15,31395737586.63,35329377424.55,0
2022-07-16,31409171242.22,35344039927.76,0
2022-07-17,31426615359.88,35359185506.49,0
2022-07-18,31372294597.75,35305187060.93,0
2022-07-19,31454047613.23,35387457896.23,0
2022-07-20,31445681447.9,35379207472.29,0
2022-07-21,31515740612.34,35448732129.09,0
